,contextId,context,question
0,f52386e3-eaf6-4395-a75c-7c3551565e52," * RSVP for Convocation Ceremony opens on March 27 and closes on May 29.
* Tickets will be released to confirmed graduates on May 30.
* Contact convocation@georgebrown.ca for assistance with submitting an RSVP.
* Application deadlines, college news, upcoming events, tours can be signed up for via a link ""Sign Up Now"".
* Contact numbers: 416-415-2000 and TTY: 1-877-515-5559.
* Email address: ask.george@georgebrown.ca.
* Social Media Hub is available for visit via a link ""Visit Our Social Media Hub"" (twice in the text).
* Information on land acknowledgment is available to learn more about.",What is the opening date for RSVP for Convocation Ceremony?
1,f52386e3-eaf6-4395-a75c-7c3551565e52," * RSVP for Convocation Ceremony opens on March 27 and closes on May 29.
* Tickets will be released to confirmed graduates on May 30.
* Contact convocation@georgebrown.ca for assistance with submitting an RSVP.
* Application deadlines, college news, upcoming events, tours can be signed up for via a link ""Sign Up Now"".
* Contact numbers: 416-415-2000 and TTY: 1-877-515-5559.
* Email address: ask.george@georgebrown.ca.
* Social Media Hub is available for visit via a link ""Visit Our Social Media Hub"" (twice in the text).
* Information on land acknowledgment is available to learn more about.",", When does the RSVP for Convocation Ceremony close?"
2,f52386e3-eaf6-4395-a75c-7c3551565e52," * RSVP for Convocation Ceremony opens on March 27 and closes on May 29.
* Tickets will be released to confirmed graduates on May 30.
* Contact convocation@georgebrown.ca for assistance with submitting an RSVP.
* Application deadlines, college news, upcoming events, tours can be signed up for via a link ""Sign Up Now"".
* Contact numbers: 416-415-2000 and TTY: 1-877-515-5559.
* Email address: ask.george@georgebrown.ca.
* Social Media Hub is available for visit via a link ""Visit Our Social Media Hub"" (twice in the text).
* Information on land acknowledgment is available to learn more about.",", How can I contact the convocation team for assistance with submitting an RSVP?"
3,f52386e3-eaf6-4395-a75c-7c3551565e52," * RSVP for Convocation Ceremony opens on March 27 and closes on May 29.
* Tickets will be released to confirmed graduates on May 30.
* Contact convocation@georgebrown.ca for assistance with submitting an RSVP.
* Application deadlines, college news, upcoming events, tours can be signed up for via a link ""Sign Up Now"".
* Contact numbers: 416-415-2000 and TTY: 1-877-515-5559.
* Email address: ask.george@georgebrown.ca.
* Social Media Hub is available for visit via a link ""Visit Our Social Media Hub"" (twice in the text).
* Information on land acknowledgment is available to learn more about.",", What can be signed up for via the ""Sign Up Now"" link besides application deadlines and college news?"
4,f52386e3-eaf6-4395-a75c-7c3551565e52," * RSVP for Convocation Ceremony opens on March 27 and closes on May 29.
* Tickets will be released to confirmed graduates on May 30.
* Contact convocation@georgebrown.ca for assistance with submitting an RSVP.
* Application deadlines, college news, upcoming events, tours can be signed up for via a link ""Sign Up Now"".
* Contact numbers: 416-415-2000 and TTY: 1-877-515-5559.
* Email address: ask.george@georgebrown.ca.
* Social Media Hub is available for visit via a link ""Visit Our Social Media Hub"" (twice in the text).
* Information on land acknowledgment is available to learn more about.",", What are the contact numbers to reach George Brown College?"
5,f52386e3-eaf6-4395-a75c-7c3551565e52," * RSVP for Convocation Ceremony opens on March 27 and closes on May 29.
* Tickets will be released to confirmed graduates on May 30.
* Contact convocation@georgebrown.ca for assistance with submitting an RSVP.
* Application deadlines, college news, upcoming events, tours can be signed up for via a link ""Sign Up Now"".
* Contact numbers: 416-415-2000 and TTY: 1-877-515-5559.
* Email address: ask.george@georgebrown.ca.
* Social Media Hub is available for visit via a link ""Visit Our Social Media Hub"" (twice in the text).
* Information on land acknowledgment is available to learn more about.",", What is the TTY number for George Brown College?"
6,f52386e3-eaf6-4395-a75c-7c3551565e52," * RSVP for Convocation Ceremony opens on March 27 and closes on May 29.
* Tickets will be released to confirmed graduates on May 30.
* Contact convocation@georgebrown.ca for assistance with submitting an RSVP.
* Application deadlines, college news, upcoming events, tours can be signed up for via a link ""Sign Up Now"".
* Contact numbers: 416-415-2000 and TTY: 1-877-515-5559.
* Email address: ask.george@georgebrown.ca.
* Social Media Hub is available for visit via a link ""Visit Our Social Media Hub"" (twice in the text).
* Information on land acknowledgment is available to learn more about.",", What is the email address to reach out to George Brown College for queries?"
7,f52386e3-eaf6-4395-a75c-7c3551565e52," * RSVP for Convocation Ceremony opens on March 27 and closes on May 29.
* Tickets will be released to confirmed graduates on May 30.
* Contact convocation@georgebrown.ca for assistance with submitting an RSVP.
* Application deadlines, college news, upcoming events, tours can be signed up for via a link ""Sign Up Now"".
* Contact numbers: 416-415-2000 and TTY: 1-877-515-5559.
* Email address: ask.george@georgebrown.ca.
* Social Media Hub is available for visit via a link ""Visit Our Social Media Hub"" (twice in the text).
* Information on land acknowledgment is available to learn more about.",", Where can I visit the Social Media Hub of George Brown College?"
8,f52386e3-eaf6-4395-a75c-7c3551565e52," * RSVP for Convocation Ceremony opens on March 27 and closes on May 29.
* Tickets will be released to confirmed graduates on May 30.
* Contact convocation@georgebrown.ca for assistance with submitting an RSVP.
* Application deadlines, college news, upcoming events, tours can be signed up for via a link ""Sign Up Now"".
* Contact numbers: 416-415-2000 and TTY: 1-877-515-5559.
* Email address: ask.george@georgebrown.ca.
* Social Media Hub is available for visit via a link ""Visit Our Social Media Hub"" (twice in the text).
* Information on land acknowledgment is available to learn more about.",", What is the information about land acknowledgment available at George Brown College?"
9,f52386e3-eaf6-4395-a75c-7c3551565e52," * RSVP for Convocation Ceremony opens on March 27 and closes on May 29.
* Tickets will be released to confirmed graduates on May 30.
* Contact convocation@georgebrown.ca for assistance with submitting an RSVP.
* Application deadlines, college news, upcoming events, tours can be signed up for via a link ""Sign Up Now"".
* Contact numbers: 416-415-2000 and TTY: 1-877-515-5559.
* Email address: ask.george@georgebrown.ca.
* Social Media Hub is available for visit via a link ""Visit Our Social Media Hub"" (twice in the text).
* Information on land acknowledgment is available to learn more about.",?
