,contextId,context,question
0,36859110-b916-4d76-a257-044d9dc2b9be," The Daystrom Child Care Centre opened in September, 2014 and is located at 25 Daystrom Drive, Toronto, Ontario, M9M 2K8. It offers before and after school programs for kindergarten and school aged children enrolled in the Daystrom Public School. The centre serves as a model lab school for the diploma and degree programs in the School of Early Childhood and provides a training ground for college students.

Manager's name: Effie Ntanou
Manager's email: Effie.Ntanou@georgebrown.ca
Centre phone numbers: 647-823-3956 or 647-284-1392
Age groups accommodated: 3.8 to 10 years
Hours of operation: 8:00 a.m. - 5:30 p.m.
Food is catered by ""Yummy Catering""
The centre is approved for the CWELCC program and follows the guidelines from Toronto Children’s Services in its implementation. Fees are inclusive of all services, including extracurcurricular activities and transportation. Children under 6 are eligible for fee reduction. To join the waitlist, please complete a form and sign up for updates on application deadlines, college news, upcoming events, tours, and more.

Contact information for general inquiries: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.

The information contained in the website is subject to change without notice.",What is the name of the manager at Daystrom Child Care Centre?
1,36859110-b916-4d76-a257-044d9dc2b9be," The Daystrom Child Care Centre opened in September, 2014 and is located at 25 Daystrom Drive, Toronto, Ontario, M9M 2K8. It offers before and after school programs for kindergarten and school aged children enrolled in the Daystrom Public School. The centre serves as a model lab school for the diploma and degree programs in the School of Early Childhood and provides a training ground for college students.

Manager's name: Effie Ntanou
Manager's email: Effie.Ntanou@georgebrown.ca
Centre phone numbers: 647-823-3956 or 647-284-1392
Age groups accommodated: 3.8 to 10 years
Hours of operation: 8:00 a.m. - 5:30 p.m.
Food is catered by ""Yummy Catering""
The centre is approved for the CWELCC program and follows the guidelines from Toronto Children’s Services in its implementation. Fees are inclusive of all services, including extracurcurricular activities and transportation. Children under 6 are eligible for fee reduction. To join the waitlist, please complete a form and sign up for updates on application deadlines, college news, upcoming events, tours, and more.

Contact information for general inquiries: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.

The information contained in the website is subject to change without notice.",", What is Effie Ntanou's email address?"
2,36859110-b916-4d76-a257-044d9dc2b9be," The Daystrom Child Care Centre opened in September, 2014 and is located at 25 Daystrom Drive, Toronto, Ontario, M9M 2K8. It offers before and after school programs for kindergarten and school aged children enrolled in the Daystrom Public School. The centre serves as a model lab school for the diploma and degree programs in the School of Early Childhood and provides a training ground for college students.

Manager's name: Effie Ntanou
Manager's email: Effie.Ntanou@georgebrown.ca
Centre phone numbers: 647-823-3956 or 647-284-1392
Age groups accommodated: 3.8 to 10 years
Hours of operation: 8:00 a.m. - 5:30 p.m.
Food is catered by ""Yummy Catering""
The centre is approved for the CWELCC program and follows the guidelines from Toronto Children’s Services in its implementation. Fees are inclusive of all services, including extracurcurricular activities and transportation. Children under 6 are eligible for fee reduction. To join the waitlist, please complete a form and sign up for updates on application deadlines, college news, upcoming events, tours, and more.

Contact information for general inquiries: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.

The information contained in the website is subject to change without notice.",", What are the phone numbers for the Daystrom Child Care Centre?"
3,36859110-b916-4d76-a257-044d9dc2b9be," The Daystrom Child Care Centre opened in September, 2014 and is located at 25 Daystrom Drive, Toronto, Ontario, M9M 2K8. It offers before and after school programs for kindergarten and school aged children enrolled in the Daystrom Public School. The centre serves as a model lab school for the diploma and degree programs in the School of Early Childhood and provides a training ground for college students.

Manager's name: Effie Ntanou
Manager's email: Effie.Ntanou@georgebrown.ca
Centre phone numbers: 647-823-3956 or 647-284-1392
Age groups accommodated: 3.8 to 10 years
Hours of operation: 8:00 a.m. - 5:30 p.m.
Food is catered by ""Yummy Catering""
The centre is approved for the CWELCC program and follows the guidelines from Toronto Children’s Services in its implementation. Fees are inclusive of all services, including extracurcurricular activities and transportation. Children under 6 are eligible for fee reduction. To join the waitlist, please complete a form and sign up for updates on application deadlines, college news, upcoming events, tours, and more.

Contact information for general inquiries: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.

The information contained in the website is subject to change without notice.",", What age groups does the centre accommodate?"
4,36859110-b916-4d76-a257-044d9dc2b9be," The Daystrom Child Care Centre opened in September, 2014 and is located at 25 Daystrom Drive, Toronto, Ontario, M9M 2K8. It offers before and after school programs for kindergarten and school aged children enrolled in the Daystrom Public School. The centre serves as a model lab school for the diploma and degree programs in the School of Early Childhood and provides a training ground for college students.

Manager's name: Effie Ntanou
Manager's email: Effie.Ntanou@georgebrown.ca
Centre phone numbers: 647-823-3956 or 647-284-1392
Age groups accommodated: 3.8 to 10 years
Hours of operation: 8:00 a.m. - 5:30 p.m.
Food is catered by ""Yummy Catering""
The centre is approved for the CWELCC program and follows the guidelines from Toronto Children’s Services in its implementation. Fees are inclusive of all services, including extracurcurricular activities and transportation. Children under 6 are eligible for fee reduction. To join the waitlist, please complete a form and sign up for updates on application deadlines, college news, upcoming events, tours, and more.

Contact information for general inquiries: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.

The information contained in the website is subject to change without notice.",", What are the hours of operation for the Daystrom Child Care Centre?"
5,36859110-b916-4d76-a257-044d9dc2b9be," The Daystrom Child Care Centre opened in September, 2014 and is located at 25 Daystrom Drive, Toronto, Ontario, M9M 2K8. It offers before and after school programs for kindergarten and school aged children enrolled in the Daystrom Public School. The centre serves as a model lab school for the diploma and degree programs in the School of Early Childhood and provides a training ground for college students.

Manager's name: Effie Ntanou
Manager's email: Effie.Ntanou@georgebrown.ca
Centre phone numbers: 647-823-3956 or 647-284-1392
Age groups accommodated: 3.8 to 10 years
Hours of operation: 8:00 a.m. - 5:30 p.m.
Food is catered by ""Yummy Catering""
The centre is approved for the CWELCC program and follows the guidelines from Toronto Children’s Services in its implementation. Fees are inclusive of all services, including extracurcurricular activities and transportation. Children under 6 are eligible for fee reduction. To join the waitlist, please complete a form and sign up for updates on application deadlines, college news, upcoming events, tours, and more.

Contact information for general inquiries: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.

The information contained in the website is subject to change without notice.",", Who caters the food for the centre?"
6,36859110-b916-4d76-a257-044d9dc2b9be," The Daystrom Child Care Centre opened in September, 2014 and is located at 25 Daystrom Drive, Toronto, Ontario, M9M 2K8. It offers before and after school programs for kindergarten and school aged children enrolled in the Daystrom Public School. The centre serves as a model lab school for the diploma and degree programs in the School of Early Childhood and provides a training ground for college students.

Manager's name: Effie Ntanou
Manager's email: Effie.Ntanou@georgebrown.ca
Centre phone numbers: 647-823-3956 or 647-284-1392
Age groups accommodated: 3.8 to 10 years
Hours of operation: 8:00 a.m. - 5:30 p.m.
Food is catered by ""Yummy Catering""
The centre is approved for the CWELCC program and follows the guidelines from Toronto Children’s Services in its implementation. Fees are inclusive of all services, including extracurcurricular activities and transportation. Children under 6 are eligible for fee reduction. To join the waitlist, please complete a form and sign up for updates on application deadlines, college news, upcoming events, tours, and more.

Contact information for general inquiries: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.

The information contained in the website is subject to change without notice.",", Is the centre approved for the CWELCC program?"
7,36859110-b916-4d76-a257-044d9dc2b9be," The Daystrom Child Care Centre opened in September, 2014 and is located at 25 Daystrom Drive, Toronto, Ontario, M9M 2K8. It offers before and after school programs for kindergarten and school aged children enrolled in the Daystrom Public School. The centre serves as a model lab school for the diploma and degree programs in the School of Early Childhood and provides a training ground for college students.

Manager's name: Effie Ntanou
Manager's email: Effie.Ntanou@georgebrown.ca
Centre phone numbers: 647-823-3956 or 647-284-1392
Age groups accommodated: 3.8 to 10 years
Hours of operation: 8:00 a.m. - 5:30 p.m.
Food is catered by ""Yummy Catering""
The centre is approved for the CWELCC program and follows the guidelines from Toronto Children’s Services in its implementation. Fees are inclusive of all services, including extracurcurricular activities and transportation. Children under 6 are eligible for fee reduction. To join the waitlist, please complete a form and sign up for updates on application deadlines, college news, upcoming events, tours, and more.

Contact information for general inquiries: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.

The information contained in the website is subject to change without notice.",", What fee reduction is available for children under 6?"
8,36859110-b916-4d76-a257-044d9dc2b9be," The Daystrom Child Care Centre opened in September, 2014 and is located at 25 Daystrom Drive, Toronto, Ontario, M9M 2K8. It offers before and after school programs for kindergarten and school aged children enrolled in the Daystrom Public School. The centre serves as a model lab school for the diploma and degree programs in the School of Early Childhood and provides a training ground for college students.

Manager's name: Effie Ntanou
Manager's email: Effie.Ntanou@georgebrown.ca
Centre phone numbers: 647-823-3956 or 647-284-1392
Age groups accommodated: 3.8 to 10 years
Hours of operation: 8:00 a.m. - 5:30 p.m.
Food is catered by ""Yummy Catering""
The centre is approved for the CWELCC program and follows the guidelines from Toronto Children’s Services in its implementation. Fees are inclusive of all services, including extracurcurricular activities and transportation. Children under 6 are eligible for fee reduction. To join the waitlist, please complete a form and sign up for updates on application deadlines, college news, upcoming events, tours, and more.

Contact information for general inquiries: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.

The information contained in the website is subject to change without notice.",", How can one join the waitlist for the Daystrom Child Care Centre?"
9,36859110-b916-4d76-a257-044d9dc2b9be," The Daystrom Child Care Centre opened in September, 2014 and is located at 25 Daystrom Drive, Toronto, Ontario, M9M 2K8. It offers before and after school programs for kindergarten and school aged children enrolled in the Daystrom Public School. The centre serves as a model lab school for the diploma and degree programs in the School of Early Childhood and provides a training ground for college students.

Manager's name: Effie Ntanou
Manager's email: Effie.Ntanou@georgebrown.ca
Centre phone numbers: 647-823-3956 or 647-284-1392
Age groups accommodated: 3.8 to 10 years
Hours of operation: 8:00 a.m. - 5:30 p.m.
Food is catered by ""Yummy Catering""
The centre is approved for the CWELCC program and follows the guidelines from Toronto Children’s Services in its implementation. Fees are inclusive of all services, including extracurcurricular activities and transportation. Children under 6 are eligible for fee reduction. To join the waitlist, please complete a form and sign up for updates on application deadlines, college news, upcoming events, tours, and more.

Contact information for general inquiries: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.

The information contained in the website is subject to change without notice.",", What contact information is provided for general inquiries?"
