,contextId,context,question
0,691a67ff-16f0-4738-9105-751e0a38ff13," The School of Design at George Brown College offers hands-on, studio-based learning with industry-proven faculty and cutting-edge equipment and facilities. Students have work-integrated learning opportunities, innovative applied research projects, and the chance to immerse themselves in a modern digital environment. There are partnerships with over 500 industry partners including Rogers Media, Ubisoft, Helios Design Labs, HM&E Design Comms., Corus, Kerr Smith, Uken Games, glu, and Game Loft. Students can also gain international experience through partnerships with schools in Copenhagen and Italy. The Institute without Boundaries is a think tank for collaborative and interdisciplinary design practice, and students have access to industry events like Digifest. George Brown's Entry Advising service helps match skills and career goals with program options, and information sessions are available. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca, Social Media Hub. The Entry Advising service is a free service, and students can learn about land acknowledgment on the website. Application deadlines, college news, events, tours, and more can be signed up for on the website.",1. Which schools at George Brown College focus on design?
1,691a67ff-16f0-4738-9105-751e0a38ff13," The School of Design at George Brown College offers hands-on, studio-based learning with industry-proven faculty and cutting-edge equipment and facilities. Students have work-integrated learning opportunities, innovative applied research projects, and the chance to immerse themselves in a modern digital environment. There are partnerships with over 500 industry partners including Rogers Media, Ubisoft, Helios Design Labs, HM&E Design Comms., Corus, Kerr Smith, Uken Games, glu, and Game Loft. Students can also gain international experience through partnerships with schools in Copenhagen and Italy. The Institute without Boundaries is a think tank for collaborative and interdisciplinary design practice, and students have access to industry events like Digifest. George Brown's Entry Advising service helps match skills and career goals with program options, and information sessions are available. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca, Social Media Hub. The Entry Advising service is a free service, and students can learn about land acknowledgment on the website. Application deadlines, college news, events, tours, and more can be signed up for on the website.",",
2. What are the benefits of studying at the School of Design at George Brown College?"
2,691a67ff-16f0-4738-9105-751e0a38ff13," The School of Design at George Brown College offers hands-on, studio-based learning with industry-proven faculty and cutting-edge equipment and facilities. Students have work-integrated learning opportunities, innovative applied research projects, and the chance to immerse themselves in a modern digital environment. There are partnerships with over 500 industry partners including Rogers Media, Ubisoft, Helios Design Labs, HM&E Design Comms., Corus, Kerr Smith, Uken Games, glu, and Game Loft. Students can also gain international experience through partnerships with schools in Copenhagen and Italy. The Institute without Boundaries is a think tank for collaborative and interdisciplinary design practice, and students have access to industry events like Digifest. George Brown's Entry Advising service helps match skills and career goals with program options, and information sessions are available. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca, Social Media Hub. The Entry Advising service is a free service, and students can learn about land acknowledgment on the website. Application deadlines, college news, events, tours, and more can be signed up for on the website.",",
3. Who are some of the industry partners that George Brown has partnerships with?"
3,691a67ff-16f0-4738-9105-751e0a38ff13," The School of Design at George Brown College offers hands-on, studio-based learning with industry-proven faculty and cutting-edge equipment and facilities. Students have work-integrated learning opportunities, innovative applied research projects, and the chance to immerse themselves in a modern digital environment. There are partnerships with over 500 industry partners including Rogers Media, Ubisoft, Helios Design Labs, HM&E Design Comms., Corus, Kerr Smith, Uken Games, glu, and Game Loft. Students can also gain international experience through partnerships with schools in Copenhagen and Italy. The Institute without Boundaries is a think tank for collaborative and interdisciplinary design practice, and students have access to industry events like Digifest. George Brown's Entry Advising service helps match skills and career goals with program options, and information sessions are available. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca, Social Media Hub. The Entry Advising service is a free service, and students can learn about land acknowledgment on the website. Application deadlines, college news, events, tours, and more can be signed up for on the website.",",
4. Are there opportunities for international experiences in the School of Design?"
4,691a67ff-16f0-4738-9105-751e0a38ff13," The School of Design at George Brown College offers hands-on, studio-based learning with industry-proven faculty and cutting-edge equipment and facilities. Students have work-integrated learning opportunities, innovative applied research projects, and the chance to immerse themselves in a modern digital environment. There are partnerships with over 500 industry partners including Rogers Media, Ubisoft, Helios Design Labs, HM&E Design Comms., Corus, Kerr Smith, Uken Games, glu, and Game Loft. Students can also gain international experience through partnerships with schools in Copenhagen and Italy. The Institute without Boundaries is a think tank for collaborative and interdisciplinary design practice, and students have access to industry events like Digifest. George Brown's Entry Advising service helps match skills and career goals with program options, and information sessions are available. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca, Social Media Hub. The Entry Advising service is a free service, and students can learn about land acknowledgment on the website. Application deadlines, college news, events, tours, and more can be signed up for on the website.",",
5. What is the role of the Institute without Boundaries in design practice?"
5,691a67ff-16f0-4738-9105-751e0a38ff13," The School of Design at George Brown College offers hands-on, studio-based learning with industry-proven faculty and cutting-edge equipment and facilities. Students have work-integrated learning opportunities, innovative applied research projects, and the chance to immerse themselves in a modern digital environment. There are partnerships with over 500 industry partners including Rogers Media, Ubisoft, Helios Design Labs, HM&E Design Comms., Corus, Kerr Smith, Uken Games, glu, and Game Loft. Students can also gain international experience through partnerships with schools in Copenhagen and Italy. The Institute without Boundaries is a think tank for collaborative and interdisciplinary design practice, and students have access to industry events like Digifest. George Brown's Entry Advising service helps match skills and career goals with program options, and information sessions are available. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca, Social Media Hub. The Entry Advising service is a free service, and students can learn about land acknowledgment on the website. Application deadlines, college news, events, tours, and more can be signed up for on the website.",",
6. How can students access industry events through George Brown College?"
6,691a67ff-16f0-4738-9105-751e0a38ff13," The School of Design at George Brown College offers hands-on, studio-based learning with industry-proven faculty and cutting-edge equipment and facilities. Students have work-integrated learning opportunities, innovative applied research projects, and the chance to immerse themselves in a modern digital environment. There are partnerships with over 500 industry partners including Rogers Media, Ubisoft, Helios Design Labs, HM&E Design Comms., Corus, Kerr Smith, Uken Games, glu, and Game Loft. Students can also gain international experience through partnerships with schools in Copenhagen and Italy. The Institute without Boundaries is a think tank for collaborative and interdisciplinary design practice, and students have access to industry events like Digifest. George Brown's Entry Advising service helps match skills and career goals with program options, and information sessions are available. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca, Social Media Hub. The Entry Advising service is a free service, and students can learn about land acknowledgment on the website. Application deadlines, college news, events, tours, and more can be signed up for on the website.",",
7. What services does the Entry Advising service offer to help match skills and career goals with program options?"
7,691a67ff-16f0-4738-9105-751e0a38ff13," The School of Design at George Brown College offers hands-on, studio-based learning with industry-proven faculty and cutting-edge equipment and facilities. Students have work-integrated learning opportunities, innovative applied research projects, and the chance to immerse themselves in a modern digital environment. There are partnerships with over 500 industry partners including Rogers Media, Ubisoft, Helios Design Labs, HM&E Design Comms., Corus, Kerr Smith, Uken Games, glu, and Game Loft. Students can also gain international experience through partnerships with schools in Copenhagen and Italy. The Institute without Boundaries is a think tank for collaborative and interdisciplinary design practice, and students have access to industry events like Digifest. George Brown's Entry Advising service helps match skills and career goals with program options, and information sessions are available. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca, Social Media Hub. The Entry Advising service is a free service, and students can learn about land acknowledgment on the website. Application deadlines, college news, events, tours, and more can be signed up for on the website.",",
8. Where can students find information about application deadlines, college news, events, tours, and more?"
8,691a67ff-16f0-4738-9105-751e0a38ff13," The School of Design at George Brown College offers hands-on, studio-based learning with industry-proven faculty and cutting-edge equipment and facilities. Students have work-integrated learning opportunities, innovative applied research projects, and the chance to immerse themselves in a modern digital environment. There are partnerships with over 500 industry partners including Rogers Media, Ubisoft, Helios Design Labs, HM&E Design Comms., Corus, Kerr Smith, Uken Games, glu, and Game Loft. Students can also gain international experience through partnerships with schools in Copenhagen and Italy. The Institute without Boundaries is a think tank for collaborative and interdisciplinary design practice, and students have access to industry events like Digifest. George Brown's Entry Advising service helps match skills and career goals with program options, and information sessions are available. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca, Social Media Hub. The Entry Advising service is a free service, and students can learn about land acknowledgment on the website. Application deadlines, college news, events, tours, and more can be signed up for on the website.",",
9. Is there a free service available to help students learn about program options at George Brown College?"
9,691a67ff-16f0-4738-9105-751e0a38ff13," The School of Design at George Brown College offers hands-on, studio-based learning with industry-proven faculty and cutting-edge equipment and facilities. Students have work-integrated learning opportunities, innovative applied research projects, and the chance to immerse themselves in a modern digital environment. There are partnerships with over 500 industry partners including Rogers Media, Ubisoft, Helios Design Labs, HM&E Design Comms., Corus, Kerr Smith, Uken Games, glu, and Game Loft. Students can also gain international experience through partnerships with schools in Copenhagen and Italy. The Institute without Boundaries is a think tank for collaborative and interdisciplinary design practice, and students have access to industry events like Digifest. George Brown's Entry Advising service helps match skills and career goals with program options, and information sessions are available. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca, Social Media Hub. The Entry Advising service is a free service, and students can learn about land acknowledgment on the website. Application deadlines, college news, events, tours, and more can be signed up for on the website.",",
10. How can students learn about land acknowledgment on the George Brown College website?"
