,contextId,context,question
0,9c477d5b-ee90-491c-a51f-5edb11a7f752," * The text is about ACE Distance courses offered by George Brown College.
* Adult learners who need to prepare for college or improve job opportunities can take these online courses.
* All students must complete a ""Learn to Learn"" course before enrolling in an ACE Distance course.
* The 20-hour ""Learn to Learn"" course helps students determine if online learning is suitable, develop personalized training plans, and acquire academic and computer skills.
* Students can register for the ""Learn to Learn"" course before beginning their ACE Distance studies.
* There are two options for ACE Distance courses: free with limited space (intake takes place in September, November, January, March, April, and June) and paid with more space (intake is in May, July, August, October, December, and February).
* Contact information: George Brown College, 200 King St. E., Rm. 524, Toronto, ON M5A 3W8. Students must send a cheque before the intake begins to register.",1. What is required before enrolling in an ACE Distance course at George Brown College?
1,9c477d5b-ee90-491c-a51f-5edb11a7f752," * The text is about ACE Distance courses offered by George Brown College.
* Adult learners who need to prepare for college or improve job opportunities can take these online courses.
* All students must complete a ""Learn to Learn"" course before enrolling in an ACE Distance course.
* The 20-hour ""Learn to Learn"" course helps students determine if online learning is suitable, develop personalized training plans, and acquire academic and computer skills.
* Students can register for the ""Learn to Learn"" course before beginning their ACE Distance studies.
* There are two options for ACE Distance courses: free with limited space (intake takes place in September, November, January, March, April, and June) and paid with more space (intake is in May, July, August, October, December, and February).
* Contact information: George Brown College, 200 King St. E., Rm. 524, Toronto, ON M5A 3W8. Students must send a cheque before the intake begins to register.","2. What does the ""Learn to Learn"" course offer for adult learners?"
2,9c477d5b-ee90-491c-a51f-5edb11a7f752," * The text is about ACE Distance courses offered by George Brown College.
* Adult learners who need to prepare for college or improve job opportunities can take these online courses.
* All students must complete a ""Learn to Learn"" course before enrolling in an ACE Distance course.
* The 20-hour ""Learn to Learn"" course helps students determine if online learning is suitable, develop personalized training plans, and acquire academic and computer skills.
* Students can register for the ""Learn to Learn"" course before beginning their ACE Distance studies.
* There are two options for ACE Distance courses: free with limited space (intake takes place in September, November, January, March, April, and June) and paid with more space (intake is in May, July, August, October, December, and February).
* Contact information: George Brown College, 200 King St. E., Rm. 524, Toronto, ON M5A 3W8. Students must send a cheque before the intake begins to register.",3. Where can students find the contact information for registering in an ACE Distance course at George Brown College?
3,9c477d5b-ee90-491c-a51f-5edb11a7f752," * The text is about ACE Distance courses offered by George Brown College.
* Adult learners who need to prepare for college or improve job opportunities can take these online courses.
* All students must complete a ""Learn to Learn"" course before enrolling in an ACE Distance course.
* The 20-hour ""Learn to Learn"" course helps students determine if online learning is suitable, develop personalized training plans, and acquire academic and computer skills.
* Students can register for the ""Learn to Learn"" course before beginning their ACE Distance studies.
* There are two options for ACE Distance courses: free with limited space (intake takes place in September, November, January, March, April, and June) and paid with more space (intake is in May, July, August, October, December, and February).
* Contact information: George Brown College, 200 King St. E., Rm. 524, Toronto, ON M5A 3W8. Students must send a cheque before the intake begins to register.",4. How many options are there for ACE Distance courses and what are their differences?
4,9c477d5b-ee90-491c-a51f-5edb11a7f752," * The text is about ACE Distance courses offered by George Brown College.
* Adult learners who need to prepare for college or improve job opportunities can take these online courses.
* All students must complete a ""Learn to Learn"" course before enrolling in an ACE Distance course.
* The 20-hour ""Learn to Learn"" course helps students determine if online learning is suitable, develop personalized training plans, and acquire academic and computer skills.
* Students can register for the ""Learn to Learn"" course before beginning their ACE Distance studies.
* There are two options for ACE Distance courses: free with limited space (intake takes place in September, November, January, March, April, and June) and paid with more space (intake is in May, July, August, October, December, and February).
* Contact information: George Brown College, 200 King St. E., Rm. 524, Toronto, ON M5A 3W8. Students must send a cheque before the intake begins to register.",5. In which months do the free intakes for ACE Distance courses take place?
5,9c477d5b-ee90-491c-a51f-5edb11a7f752," * The text is about ACE Distance courses offered by George Brown College.
* Adult learners who need to prepare for college or improve job opportunities can take these online courses.
* All students must complete a ""Learn to Learn"" course before enrolling in an ACE Distance course.
* The 20-hour ""Learn to Learn"" course helps students determine if online learning is suitable, develop personalized training plans, and acquire academic and computer skills.
* Students can register for the ""Learn to Learn"" course before beginning their ACE Distance studies.
* There are two options for ACE Distance courses: free with limited space (intake takes place in September, November, January, March, April, and June) and paid with more space (intake is in May, July, August, October, December, and February).
* Contact information: George Brown College, 200 King St. E., Rm. 524, Toronto, ON M5A 3W8. Students must send a cheque before the intake begins to register.",6. What should students send to register for a paid ACE Distance course?
6,9c477d5b-ee90-491c-a51f-5edb11a7f752," * The text is about ACE Distance courses offered by George Brown College.
* Adult learners who need to prepare for college or improve job opportunities can take these online courses.
* All students must complete a ""Learn to Learn"" course before enrolling in an ACE Distance course.
* The 20-hour ""Learn to Learn"" course helps students determine if online learning is suitable, develop personalized training plans, and acquire academic and computer skills.
* Students can register for the ""Learn to Learn"" course before beginning their ACE Distance studies.
* There are two options for ACE Distance courses: free with limited space (intake takes place in September, November, January, March, April, and June) and paid with more space (intake is in May, July, August, October, December, and February).
* Contact information: George Brown College, 200 King St. E., Rm. 524, Toronto, ON M5A 3W8. Students must send a cheque before the intake begins to register.",?
7,3ad2a73c-0592-4834-80aa-18559325f619," To enroll in ACE Distance programs at George Brown College, contact the ACE Distance team at ext. 6193 or email acedistance@georgebrown.ca. For information about the ACE Online and ACE Certificate, visit the ACE Distance website. Interested in Academic Upgrading classes at the downtown campus? Email upgradinginfo@georgebrown.ca or call ext. 3560. Sign up to receive college news and updates by visiting a specific page and clicking ""Sign Up Now"". Contact George Brown College's general information at 416-415-2000 or TTY 1-877-515-5559, or email ask.george@georgebrown.ca. Visit the college's Social Media Hub. The phone number for George Brown College is 416-415-2000. The text contains several email addresses: acedistance@georgebrown.ca, upgradinginfo@georgebrown.ca and ask.george@georgebrown.ca. The ACE Distance team phone number is ext. 6193.",* How can I get in touch with the ACE Distance team at George Brown College?
8,3ad2a73c-0592-4834-80aa-18559325f619," To enroll in ACE Distance programs at George Brown College, contact the ACE Distance team at ext. 6193 or email acedistance@georgebrown.ca. For information about the ACE Online and ACE Certificate, visit the ACE Distance website. Interested in Academic Upgrading classes at the downtown campus? Email upgradinginfo@georgebrown.ca or call ext. 3560. Sign up to receive college news and updates by visiting a specific page and clicking ""Sign Up Now"". Contact George Brown College's general information at 416-415-2000 or TTY 1-877-515-5559, or email ask.george@georgebrown.ca. Visit the college's Social Media Hub. The phone number for George Brown College is 416-415-2000. The text contains several email addresses: acedistance@georgebrown.ca, upgradinginfo@georgebrown.ca and ask.george@georgebrown.ca. The ACE Distance team phone number is ext. 6193.",", What is the email address for information about ACE Online and ACE Certificate?"
9,3ad2a73c-0592-4834-80aa-18559325f619," To enroll in ACE Distance programs at George Brown College, contact the ACE Distance team at ext. 6193 or email acedistance@georgebrown.ca. For information about the ACE Online and ACE Certificate, visit the ACE Distance website. Interested in Academic Upgrading classes at the downtown campus? Email upgradinginfo@georgebrown.ca or call ext. 3560. Sign up to receive college news and updates by visiting a specific page and clicking ""Sign Up Now"". Contact George Brown College's general information at 416-415-2000 or TTY 1-877-515-5559, or email ask.george@georgebrown.ca. Visit the college's Social Media Hub. The phone number for George Brown College is 416-415-2000. The text contains several email addresses: acedistance@georgebrown.ca, upgradinginfo@georgebrown.ca and ask.george@georgebrown.ca. The ACE Distance team phone number is ext. 6193.",", Who should I contact to learn more about Academic Upgrading classes at the downtown campus?"
