,contextId,context,question
0,05a2c406-b8dc-48ee-9585-cb5370f8bbbd," The text provides information on how individuals can contribute to sustainability at George Brown College. Here are some factual information extracted from the text:

- George Brown College has a Sustainability Squad with an Instagram contact for more information.
- Turning off taps completely after use can save 25 liters of water per day and about 10,000 liters per year.
- There are environmental groups that individuals can join to take action on various sustainability issues.
- Individuals can learn more about the college's land acknowledgment by signing up for updates.
- The contact number for George Brown College is 416-415-2000 and TTY number is 1-877-515-5559.
- The email address to contact the college is ask.george@georgebrown.ca.
- The website's information is subject to change without notice and should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",* What is the Instagram handle of George Brown College's Sustainability Squad?
1,05a2c406-b8dc-48ee-9585-cb5370f8bbbd," The text provides information on how individuals can contribute to sustainability at George Brown College. Here are some factual information extracted from the text:

- George Brown College has a Sustainability Squad with an Instagram contact for more information.
- Turning off taps completely after use can save 25 liters of water per day and about 10,000 liters per year.
- There are environmental groups that individuals can join to take action on various sustainability issues.
- Individuals can learn more about the college's land acknowledgment by signing up for updates.
- The contact number for George Brown College is 416-415-2000 and TTY number is 1-877-515-5559.
- The email address to contact the college is ask.george@georgebrown.ca.
- The website's information is subject to change without notice and should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",",
* How many liters of water can be saved daily by turning off taps completely?"
2,05a2c406-b8dc-48ee-9585-cb5370f8bbbd," The text provides information on how individuals can contribute to sustainability at George Brown College. Here are some factual information extracted from the text:

- George Brown College has a Sustainability Squad with an Instagram contact for more information.
- Turning off taps completely after use can save 25 liters of water per day and about 10,000 liters per year.
- There are environmental groups that individuals can join to take action on various sustainability issues.
- Individuals can learn more about the college's land acknowledgment by signing up for updates.
- The contact number for George Brown College is 416-415-2000 and TTY number is 1-877-515-5559.
- The email address to contact the college is ask.george@georgebrown.ca.
- The website's information is subject to change without notice and should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",",
* Which environmental groups can individuals join at George Brown College to take action on sustainability issues?"
3,05a2c406-b8dc-48ee-9585-cb5370f8bbbd," The text provides information on how individuals can contribute to sustainability at George Brown College. Here are some factual information extracted from the text:

- George Brown College has a Sustainability Squad with an Instagram contact for more information.
- Turning off taps completely after use can save 25 liters of water per day and about 10,000 liters per year.
- There are environmental groups that individuals can join to take action on various sustainability issues.
- Individuals can learn more about the college's land acknowledgment by signing up for updates.
- The contact number for George Brown College is 416-415-2000 and TTY number is 1-877-515-5559.
- The email address to contact the college is ask.george@georgebrown.ca.
- The website's information is subject to change without notice and should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",",
* How can one learn more about George Brown College's land acknowledgment?"
4,05a2c406-b8dc-48ee-9585-cb5370f8bbbd," The text provides information on how individuals can contribute to sustainability at George Brown College. Here are some factual information extracted from the text:

- George Brown College has a Sustainability Squad with an Instagram contact for more information.
- Turning off taps completely after use can save 25 liters of water per day and about 10,000 liters per year.
- There are environmental groups that individuals can join to take action on various sustainability issues.
- Individuals can learn more about the college's land acknowledgment by signing up for updates.
- The contact number for George Brown College is 416-415-2000 and TTY number is 1-877-515-5559.
- The email address to contact the college is ask.george@georgebrown.ca.
- The website's information is subject to change without notice and should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",",
* What is the contact number for George Brown College?"
5,05a2c406-b8dc-48ee-9585-cb5370f8bbbd," The text provides information on how individuals can contribute to sustainability at George Brown College. Here are some factual information extracted from the text:

- George Brown College has a Sustainability Squad with an Instagram contact for more information.
- Turning off taps completely after use can save 25 liters of water per day and about 10,000 liters per year.
- There are environmental groups that individuals can join to take action on various sustainability issues.
- Individuals can learn more about the college's land acknowledgment by signing up for updates.
- The contact number for George Brown College is 416-415-2000 and TTY number is 1-877-515-5559.
- The email address to contact the college is ask.george@georgebrown.ca.
- The website's information is subject to change without notice and should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",",
* What is the TTY number for George Brown College?"
6,05a2c406-b8dc-48ee-9585-cb5370f8bbbd," The text provides information on how individuals can contribute to sustainability at George Brown College. Here are some factual information extracted from the text:

- George Brown College has a Sustainability Squad with an Instagram contact for more information.
- Turning off taps completely after use can save 25 liters of water per day and about 10,000 liters per year.
- There are environmental groups that individuals can join to take action on various sustainability issues.
- Individuals can learn more about the college's land acknowledgment by signing up for updates.
- The contact number for George Brown College is 416-415-2000 and TTY number is 1-877-515-5559.
- The email address to contact the college is ask.george@georgebrown.ca.
- The website's information is subject to change without notice and should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",",
* What is the email address to contact George Brown College?"
7,05a2c406-b8dc-48ee-9585-cb5370f8bbbd," The text provides information on how individuals can contribute to sustainability at George Brown College. Here are some factual information extracted from the text:

- George Brown College has a Sustainability Squad with an Instagram contact for more information.
- Turning off taps completely after use can save 25 liters of water per day and about 10,000 liters per year.
- There are environmental groups that individuals can join to take action on various sustainability issues.
- Individuals can learn more about the college's land acknowledgment by signing up for updates.
- The contact number for George Brown College is 416-415-2000 and TTY number is 1-877-515-5559.
- The email address to contact the college is ask.george@georgebrown.ca.
- The website's information is subject to change without notice and should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",",
* Is the information on the website subject to change and what should it not be considered as?"
8,05a2c406-b8dc-48ee-9585-cb5370f8bbbd," The text provides information on how individuals can contribute to sustainability at George Brown College. Here are some factual information extracted from the text:

- George Brown College has a Sustainability Squad with an Instagram contact for more information.
- Turning off taps completely after use can save 25 liters of water per day and about 10,000 liters per year.
- There are environmental groups that individuals can join to take action on various sustainability issues.
- Individuals can learn more about the college's land acknowledgment by signing up for updates.
- The contact number for George Brown College is 416-415-2000 and TTY number is 1-877-515-5559.
- The email address to contact the college is ask.george@georgebrown.ca.
- The website's information is subject to change without notice and should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",* How can students verify George Brown College fee requirements?
9,05a2c406-b8dc-48ee-9585-cb5370f8bbbd," The text provides information on how individuals can contribute to sustainability at George Brown College. Here are some factual information extracted from the text:

- George Brown College has a Sustainability Squad with an Instagram contact for more information.
- Turning off taps completely after use can save 25 liters of water per day and about 10,000 liters per year.
- There are environmental groups that individuals can join to take action on various sustainability issues.
- Individuals can learn more about the college's land acknowledgment by signing up for updates.
- The contact number for George Brown College is 416-415-2000 and TTY number is 1-877-515-5559.
- The email address to contact the college is ask.george@georgebrown.ca.
- The website's information is subject to change without notice and should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",?
