,contextId,context,question
0,88b9e58c-5526-468b-af24-fc097a102670," * New semester may involve new classes, professors, software, and assignments.
* Textbooks required for courses can be found on the Campus Stores website. Some books are eText which can be downloaded once transaction is completed.
* Class schedules can be viewed through StuView and GBC app. Class schedules may change in first few weeks of classes, students should connect with faculty if schedule conflicts arise.
* Important dates for the term including awards & scholarships deadlines, health benefits opt-in/out dates, and add/drop deadlines can be found on the Important Dates webpage.
* New students can download these dates to their personal calendars through Online Orientation modules.
* George Brown students have access to various resources and software for academic success.",What are the possible new elements in the upcoming semester?
1,88b9e58c-5526-468b-af24-fc097a102670," * New semester may involve new classes, professors, software, and assignments.
* Textbooks required for courses can be found on the Campus Stores website. Some books are eText which can be downloaded once transaction is completed.
* Class schedules can be viewed through StuView and GBC app. Class schedules may change in first few weeks of classes, students should connect with faculty if schedule conflicts arise.
* Important dates for the term including awards & scholarships deadlines, health benefits opt-in/out dates, and add/drop deadlines can be found on the Important Dates webpage.
* New students can download these dates to their personal calendars through Online Orientation modules.
* George Brown students have access to various resources and software for academic success.",", Where can I find textbooks needed for my courses online?"
2,88b9e58c-5526-468b-af24-fc097a102670," * New semester may involve new classes, professors, software, and assignments.
* Textbooks required for courses can be found on the Campus Stores website. Some books are eText which can be downloaded once transaction is completed.
* Class schedules can be viewed through StuView and GBC app. Class schedules may change in first few weeks of classes, students should connect with faculty if schedule conflicts arise.
* Important dates for the term including awards & scholarships deadlines, health benefits opt-in/out dates, and add/drop deadlines can be found on the Important Dates webpage.
* New students can download these dates to their personal calendars through Online Orientation modules.
* George Brown students have access to various resources and software for academic success.",", How do I view my class schedules through StuView and GBC app?"
3,88b9e58c-5526-468b-af24-fc097a102670," * New semester may involve new classes, professors, software, and assignments.
* Textbooks required for courses can be found on the Campus Stores website. Some books are eText which can be downloaded once transaction is completed.
* Class schedules can be viewed through StuView and GBC app. Class schedules may change in first few weeks of classes, students should connect with faculty if schedule conflicts arise.
* Important dates for the term including awards & scholarships deadlines, health benefits opt-in/out dates, and add/drop deadlines can be found on the Important Dates webpage.
* New students can download these dates to their personal calendars through Online Orientation modules.
* George Brown students have access to various resources and software for academic success.",", Can class schedules change during the first few weeks of classes?"
4,88b9e58c-5526-468b-af24-fc097a102670," * New semester may involve new classes, professors, software, and assignments.
* Textbooks required for courses can be found on the Campus Stores website. Some books are eText which can be downloaded once transaction is completed.
* Class schedules can be viewed through StuView and GBC app. Class schedules may change in first few weeks of classes, students should connect with faculty if schedule conflicts arise.
* Important dates for the term including awards & scholarships deadlines, health benefits opt-in/out dates, and add/drop deadlines can be found on the Important Dates webpage.
* New students can download these dates to their personal calendars through Online Orientation modules.
* George Brown students have access to various resources and software for academic success.",", Who should students contact if there are schedule conflicts?"
5,88b9e58c-5526-468b-af24-fc097a102670," * New semester may involve new classes, professors, software, and assignments.
* Textbooks required for courses can be found on the Campus Stores website. Some books are eText which can be downloaded once transaction is completed.
* Class schedules can be viewed through StuView and GBC app. Class schedules may change in first few weeks of classes, students should connect with faculty if schedule conflicts arise.
* Important dates for the term including awards & scholarships deadlines, health benefits opt-in/out dates, and add/drop deadlines can be found on the Important Dates webpage.
* New students can download these dates to their personal calendars through Online Orientation modules.
* George Brown students have access to various resources and software for academic success.",", What important dates can be found on the Important Dates webpage?"
6,88b9e58c-5526-468b-af24-fc097a102670," * New semester may involve new classes, professors, software, and assignments.
* Textbooks required for courses can be found on the Campus Stores website. Some books are eText which can be downloaded once transaction is completed.
* Class schedules can be viewed through StuView and GBC app. Class schedules may change in first few weeks of classes, students should connect with faculty if schedule conflicts arise.
* Important dates for the term including awards & scholarships deadlines, health benefits opt-in/out dates, and add/drop deadlines can be found on the Important Dates webpage.
* New students can download these dates to their personal calendars through Online Orientation modules.
* George Brown students have access to various resources and software for academic success.",", How can new students download important dates to their personal calendars through Online Orientation modules?"
7,88b9e58c-5526-468b-af24-fc097a102670," * New semester may involve new classes, professors, software, and assignments.
* Textbooks required for courses can be found on the Campus Stores website. Some books are eText which can be downloaded once transaction is completed.
* Class schedules can be viewed through StuView and GBC app. Class schedules may change in first few weeks of classes, students should connect with faculty if schedule conflicts arise.
* Important dates for the term including awards & scholarships deadlines, health benefits opt-in/out dates, and add/drop deadlines can be found on the Important Dates webpage.
* New students can download these dates to their personal calendars through Online Orientation modules.
* George Brown students have access to various resources and software for academic success.",", What resources and software do George Brown students have access to for academic success?"
8,88b9e58c-5526-468b-af24-fc097a102670," * New semester may involve new classes, professors, software, and assignments.
* Textbooks required for courses can be found on the Campus Stores website. Some books are eText which can be downloaded once transaction is completed.
* Class schedules can be viewed through StuView and GBC app. Class schedules may change in first few weeks of classes, students should connect with faculty if schedule conflicts arise.
* Important dates for the term including awards & scholarships deadlines, health benefits opt-in/out dates, and add/drop deadlines can be found on the Important Dates webpage.
* New students can download these dates to their personal calendars through Online Orientation modules.
* George Brown students have access to various resources and software for academic success.",?
9,9bdebc76-e335-48ad-91ed-f812ce2bd9e2," The text provides information about the resources and services available to students at George Brown College (GBC). Here is a summary of the key facts and entities mentioned in the text:

1. Students have access to various resources and software for free, which they don't need to search for or bookmark.
2. Students can access their Zoom classes through Brightspace and find tips for online learning on GBC's Online Learning site.
3. Microsoft Teams is available for free as part of Office365, along with Word, PowerPoint, Excel, and 1 terabyte of cloud storage.
4. Students can access free online training for Office 365 at LinkedIn Learning.
5. AppsAnywhere is a free service that allows students to access software on-demand from anywhere.
6. GBC offers various ways for students to get involved, including Student-Led Clubs or Networks, Student Government, Athletics & Recreation, and the Student VOLUNTEER SQUAD.
7. Students can stay connected with the college through its social media channels and receive weekly updates on important dates and events via email.",1. What resources does George Brown College provide to students for free?
