,contextId,context,question
0,5d20e0d8-6bd0-43b8-ae9d-d5dd6f35b19a," ""Services Offered:
- Ask George Brown: Students can enter a question, browse popular topics or FAQs, or use the chatbot feature in the MyGBC Portal. Submit unanswered questions to help other students (georgebrown.ca/ask-george-brown).
- Contact Centre: Reachable at 416-415-2000 and TTY: 1-877-515-5559, ask.george@georgebrown.ca.
- Resources and support related to Ask George Brown.
- Sign Up for updates on application deadlines, college news, upcoming events, tours (Students are responsible for verifying George Brown College fee requirements).""",* What is the process to submit a question in Ask George Brown?
1,5d20e0d8-6bd0-43b8-ae9d-d5dd6f35b19a," ""Services Offered:
- Ask George Brown: Students can enter a question, browse popular topics or FAQs, or use the chatbot feature in the MyGBC Portal. Submit unanswered questions to help other students (georgebrown.ca/ask-george-brown).
- Contact Centre: Reachable at 416-415-2000 and TTY: 1-877-515-5559, ask.george@georgebrown.ca.
- Resources and support related to Ask George Brown.
- Sign Up for updates on application deadlines, college news, upcoming events, tours (Students are responsible for verifying George Brown College fee requirements).""",",
* What topics can students browse in Ask George Brown?"
2,5d20e0d8-6bd0-43b8-ae9d-d5dd6f35b19a," ""Services Offered:
- Ask George Brown: Students can enter a question, browse popular topics or FAQs, or use the chatbot feature in the MyGBC Portal. Submit unanswered questions to help other students (georgebrown.ca/ask-george-brown).
- Contact Centre: Reachable at 416-415-2000 and TTY: 1-877-515-5559, ask.george@georgebrown.ca.
- Resources and support related to Ask George Brown.
- Sign Up for updates on application deadlines, college news, upcoming events, tours (Students are responsible for verifying George Brown College fee requirements).""",",
* Where can students find FAQs in Ask George Brown?"
3,5d20e0d8-6bd0-43b8-ae9d-d5dd6f35b19a," ""Services Offered:
- Ask George Brown: Students can enter a question, browse popular topics or FAQs, or use the chatbot feature in the MyGBC Portal. Submit unanswered questions to help other students (georgebrown.ca/ask-george-brown).
- Contact Centre: Reachable at 416-415-2000 and TTY: 1-877-515-5559, ask.george@georgebrown.ca.
- Resources and support related to Ask George Brown.
- Sign Up for updates on application deadlines, college news, upcoming events, tours (Students are responsible for verifying George Brown College fee requirements).""",",
* How does the chatbot feature work in Ask George Brown?"
4,5d20e0d8-6bd0-43b8-ae9d-d5dd6f35b19a," ""Services Offered:
- Ask George Brown: Students can enter a question, browse popular topics or FAQs, or use the chatbot feature in the MyGBC Portal. Submit unanswered questions to help other students (georgebrown.ca/ask-george-brown).
- Contact Centre: Reachable at 416-415-2000 and TTY: 1-877-515-5559, ask.george@georgebrown.ca.
- Resources and support related to Ask George Brown.
- Sign Up for updates on application deadlines, college news, upcoming events, tours (Students are responsible for verifying George Brown College fee requirements).""",",
* What is the contact number for the George Brown College Contact Centre?"
5,5d20e0d8-6bd0-43b8-ae9d-d5dd6f35b19a," ""Services Offered:
- Ask George Brown: Students can enter a question, browse popular topics or FAQs, or use the chatbot feature in the MyGBC Portal. Submit unanswered questions to help other students (georgebrown.ca/ask-george-brown).
- Contact Centre: Reachable at 416-415-2000 and TTY: 1-877-515-5559, ask.george@georgebrown.ca.
- Resources and support related to Ask George Brown.
- Sign Up for updates on application deadlines, college news, upcoming events, tours (Students are responsible for verifying George Brown College fee requirements).""",",
* Is there a TTY number for the Contact Centre?"
6,5d20e0d8-6bd0-43b8-ae9d-d5dd6f35b19a," ""Services Offered:
- Ask George Brown: Students can enter a question, browse popular topics or FAQs, or use the chatbot feature in the MyGBC Portal. Submit unanswered questions to help other students (georgebrown.ca/ask-george-brown).
- Contact Centre: Reachable at 416-415-2000 and TTY: 1-877-515-5559, ask.george@georgebrown.ca.
- Resources and support related to Ask George Brown.
- Sign Up for updates on application deadlines, college news, upcoming events, tours (Students are responsible for verifying George Brown College fee requirements).""",",
* What is the email address to reach out to the Contact Centre?"
7,5d20e0d8-6bd0-43b8-ae9d-d5dd6f35b19a," ""Services Offered:
- Ask George Brown: Students can enter a question, browse popular topics or FAQs, or use the chatbot feature in the MyGBC Portal. Submit unanswered questions to help other students (georgebrown.ca/ask-george-brown).
- Contact Centre: Reachable at 416-415-2000 and TTY: 1-877-515-5559, ask.george@georgebrown.ca.
- Resources and support related to Ask George Brown.
- Sign Up for updates on application deadlines, college news, upcoming events, tours (Students are responsible for verifying George Brown College fee requirements).""",",
* What resources and support are available related to Ask George Brown?"
8,5d20e0d8-6bd0-43b8-ae9d-d5dd6f35b19a," ""Services Offered:
- Ask George Brown: Students can enter a question, browse popular topics or FAQs, or use the chatbot feature in the MyGBC Portal. Submit unanswered questions to help other students (georgebrown.ca/ask-george-brown).
- Contact Centre: Reachable at 416-415-2000 and TTY: 1-877-515-5559, ask.george@georgebrown.ca.
- Resources and support related to Ask George Brown.
- Sign Up for updates on application deadlines, college news, upcoming events, tours (Students are responsible for verifying George Brown College fee requirements).""",",
* How can students sign up for updates from George Brown College?"
9,5d20e0d8-6bd0-43b8-ae9d-d5dd6f35b19a," ""Services Offered:
- Ask George Brown: Students can enter a question, browse popular topics or FAQs, or use the chatbot feature in the MyGBC Portal. Submit unanswered questions to help other students (georgebrown.ca/ask-george-brown).
- Contact Centre: Reachable at 416-415-2000 and TTY: 1-877-515-5559, ask.george@georgebrown.ca.
- Resources and support related to Ask George Brown.
- Sign Up for updates on application deadlines, college news, upcoming events, tours (Students are responsible for verifying George Brown College fee requirements).""",?
