,contextId,context,question
0,1e042e3f-4475-4930-a054-99c15012fd12," * The text is for an event targeted at new International Students of George Brown College.
* The event aims to provide information about supports and services offered by the international student support team, as well as immigration-related issues while studying in Canada.
* Registration for the event can be done through the iCENT app. Those without the app are instructed on how to download it and register.
* Students who register will receive a link to join the online event 24 hours prior.
* The text mentions a land acknowledgment but no further information is given about it.
* Contact information provided includes a phone number (416-415-2000), TTY number (1-877-515-5559), and an email address (ask.george@georgebrown.ca).
* The text encourages signing up to receive college news, application deadlines, upcoming events, tours, and more.
* The information contained in the website is subject to change without notice.
* No explicit program-related information was found in the text.",1. Where is this event targeted at?
1,1e042e3f-4475-4930-a054-99c15012fd12," * The text is for an event targeted at new International Students of George Brown College.
* The event aims to provide information about supports and services offered by the international student support team, as well as immigration-related issues while studying in Canada.
* Registration for the event can be done through the iCENT app. Those without the app are instructed on how to download it and register.
* Students who register will receive a link to join the online event 24 hours prior.
* The text mentions a land acknowledgment but no further information is given about it.
* Contact information provided includes a phone number (416-415-2000), TTY number (1-877-515-5559), and an email address (ask.george@georgebrown.ca).
* The text encourages signing up to receive college news, application deadlines, upcoming events, tours, and more.
* The information contained in the website is subject to change without notice.
* No explicit program-related information was found in the text.",", 2. What topics will be covered in the event?"
2,1e042e3f-4475-4930-a054-99c15012fd12," * The text is for an event targeted at new International Students of George Brown College.
* The event aims to provide information about supports and services offered by the international student support team, as well as immigration-related issues while studying in Canada.
* Registration for the event can be done through the iCENT app. Those without the app are instructed on how to download it and register.
* Students who register will receive a link to join the online event 24 hours prior.
* The text mentions a land acknowledgment but no further information is given about it.
* Contact information provided includes a phone number (416-415-2000), TTY number (1-877-515-5559), and an email address (ask.george@georgebrown.ca).
* The text encourages signing up to receive college news, application deadlines, upcoming events, tours, and more.
* The information contained in the website is subject to change without notice.
* No explicit program-related information was found in the text.",", 3. How can new International Students register for the event?"
3,1e042e3f-4475-4930-a054-99c15012fd12," * The text is for an event targeted at new International Students of George Brown College.
* The event aims to provide information about supports and services offered by the international student support team, as well as immigration-related issues while studying in Canada.
* Registration for the event can be done through the iCENT app. Those without the app are instructed on how to download it and register.
* Students who register will receive a link to join the online event 24 hours prior.
* The text mentions a land acknowledgment but no further information is given about it.
* Contact information provided includes a phone number (416-415-2000), TTY number (1-877-515-5559), and an email address (ask.george@georgebrown.ca).
* The text encourages signing up to receive college news, application deadlines, upcoming events, tours, and more.
* The information contained in the website is subject to change without notice.
* No explicit program-related information was found in the text.",", 4. What should students do if they don't have the iCENT app?"
4,1e042e3f-4475-4930-a054-99c15012fd12," * The text is for an event targeted at new International Students of George Brown College.
* The event aims to provide information about supports and services offered by the international student support team, as well as immigration-related issues while studying in Canada.
* Registration for the event can be done through the iCENT app. Those without the app are instructed on how to download it and register.
* Students who register will receive a link to join the online event 24 hours prior.
* The text mentions a land acknowledgment but no further information is given about it.
* Contact information provided includes a phone number (416-415-2000), TTY number (1-877-515-5559), and an email address (ask.george@georgebrown.ca).
* The text encourages signing up to receive college news, application deadlines, upcoming events, tours, and more.
* The information contained in the website is subject to change without notice.
* No explicit program-related information was found in the text.",", 5. When will registered students receive a link to join the online event?"
5,1e042e3f-4475-4930-a054-99c15012fd12," * The text is for an event targeted at new International Students of George Brown College.
* The event aims to provide information about supports and services offered by the international student support team, as well as immigration-related issues while studying in Canada.
* Registration for the event can be done through the iCENT app. Those without the app are instructed on how to download it and register.
* Students who register will receive a link to join the online event 24 hours prior.
* The text mentions a land acknowledgment but no further information is given about it.
* Contact information provided includes a phone number (416-415-2000), TTY number (1-877-515-5559), and an email address (ask.george@georgebrown.ca).
* The text encourages signing up to receive college news, application deadlines, upcoming events, tours, and more.
* The information contained in the website is subject to change without notice.
* No explicit program-related information was found in the text.",", 6. What is a land acknowledgment?"
6,1e042e3f-4475-4930-a054-99c15012fd12," * The text is for an event targeted at new International Students of George Brown College.
* The event aims to provide information about supports and services offered by the international student support team, as well as immigration-related issues while studying in Canada.
* Registration for the event can be done through the iCENT app. Those without the app are instructed on how to download it and register.
* Students who register will receive a link to join the online event 24 hours prior.
* The text mentions a land acknowledgment but no further information is given about it.
* Contact information provided includes a phone number (416-415-2000), TTY number (1-877-515-5559), and an email address (ask.george@georgebrown.ca).
* The text encourages signing up to receive college news, application deadlines, upcoming events, tours, and more.
* The information contained in the website is subject to change without notice.
* No explicit program-related information was found in the text.",", 7. What are the contact details for the international student support team?"
7,1e042e3f-4475-4930-a054-99c15012fd12," * The text is for an event targeted at new International Students of George Brown College.
* The event aims to provide information about supports and services offered by the international student support team, as well as immigration-related issues while studying in Canada.
* Registration for the event can be done through the iCENT app. Those without the app are instructed on how to download it and register.
* Students who register will receive a link to join the online event 24 hours prior.
* The text mentions a land acknowledgment but no further information is given about it.
* Contact information provided includes a phone number (416-415-2000), TTY number (1-877-515-5559), and an email address (ask.george@georgebrown.ca).
* The text encourages signing up to receive college news, application deadlines, upcoming events, tours, and more.
* The information contained in the website is subject to change without notice.
* No explicit program-related information was found in the text.",", 8. How can students sign up to receive college news and updates?"
8,1e042e3f-4475-4930-a054-99c15012fd12," * The text is for an event targeted at new International Students of George Brown College.
* The event aims to provide information about supports and services offered by the international student support team, as well as immigration-related issues while studying in Canada.
* Registration for the event can be done through the iCENT app. Those without the app are instructed on how to download it and register.
* Students who register will receive a link to join the online event 24 hours prior.
* The text mentions a land acknowledgment but no further information is given about it.
* Contact information provided includes a phone number (416-415-2000), TTY number (1-877-515-5559), and an email address (ask.george@georgebrown.ca).
* The text encourages signing up to receive college news, application deadlines, upcoming events, tours, and more.
* The information contained in the website is subject to change without notice.
* No explicit program-related information was found in the text.",", 9. Is the information on the website subject to change?"
9,1e042e3f-4475-4930-a054-99c15012fd12," * The text is for an event targeted at new International Students of George Brown College.
* The event aims to provide information about supports and services offered by the international student support team, as well as immigration-related issues while studying in Canada.
* Registration for the event can be done through the iCENT app. Those without the app are instructed on how to download it and register.
* Students who register will receive a link to join the online event 24 hours prior.
* The text mentions a land acknowledgment but no further information is given about it.
* Contact information provided includes a phone number (416-415-2000), TTY number (1-877-515-5559), and an email address (ask.george@georgebrown.ca).
* The text encourages signing up to receive college news, application deadlines, upcoming events, tours, and more.
* The information contained in the website is subject to change without notice.
* No explicit program-related information was found in the text.",", 10. Does the text provide any specific information about academic programs?"
10,1e042e3f-4475-4930-a054-99c15012fd12," * The text is for an event targeted at new International Students of George Brown College.
* The event aims to provide information about supports and services offered by the international student support team, as well as immigration-related issues while studying in Canada.
* Registration for the event can be done through the iCENT app. Those without the app are instructed on how to download it and register.
* Students who register will receive a link to join the online event 24 hours prior.
* The text mentions a land acknowledgment but no further information is given about it.
* Contact information provided includes a phone number (416-415-2000), TTY number (1-877-515-5559), and an email address (ask.george@georgebrown.ca).
* The text encourages signing up to receive college news, application deadlines, upcoming events, tours, and more.
* The information contained in the website is subject to change without notice.
* No explicit program-related information was found in the text.",?
