,contextId,context,question
0,59303e1e-b4d2-4fca-a25d-0d44a460e126," The School of Mechanical Engineering at George Brown College offers a wide variety of industries for mechanical engineering careers including aerospace, automotive, telecommunications, health, and entertainment. The programs take an experiential approach to learning with access to the latest technology and facilities. Students may transfer between programs during the first semester. Industry partnerships provide co-op placements, projects, financial aid through scholarships and donations. The college offers a free Entry Advising service for students. Information sessions are available where faculty and staff answer questions and give tours of classrooms, labs, and facilities. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca, Social Media Hub. Students are responsible for verifying George Brown College fee requirements.",What industries can mechanical engineering graduates pursue careers in at George Brown College?
1,59303e1e-b4d2-4fca-a25d-0d44a460e126," The School of Mechanical Engineering at George Brown College offers a wide variety of industries for mechanical engineering careers including aerospace, automotive, telecommunications, health, and entertainment. The programs take an experiential approach to learning with access to the latest technology and facilities. Students may transfer between programs during the first semester. Industry partnerships provide co-op placements, projects, financial aid through scholarships and donations. The college offers a free Entry Advising service for students. Information sessions are available where faculty and staff answer questions and give tours of classrooms, labs, and facilities. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca, Social Media Hub. Students are responsible for verifying George Brown College fee requirements.",", How does the School of Mechanical Engineering approach learning?"
2,59303e1e-b4d2-4fca-a25d-0d44a460e126," The School of Mechanical Engineering at George Brown College offers a wide variety of industries for mechanical engineering careers including aerospace, automotive, telecommunications, health, and entertainment. The programs take an experiential approach to learning with access to the latest technology and facilities. Students may transfer between programs during the first semester. Industry partnerships provide co-op placements, projects, financial aid through scholarships and donations. The college offers a free Entry Advising service for students. Information sessions are available where faculty and staff answer questions and give tours of classrooms, labs, and facilities. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca, Social Media Hub. Students are responsible for verifying George Brown College fee requirements.",", What technology and facilities are available for students?"
3,59303e1e-b4d2-4fca-a25d-0d44a460e126," The School of Mechanical Engineering at George Brown College offers a wide variety of industries for mechanical engineering careers including aerospace, automotive, telecommunications, health, and entertainment. The programs take an experiential approach to learning with access to the latest technology and facilities. Students may transfer between programs during the first semester. Industry partnerships provide co-op placements, projects, financial aid through scholarships and donations. The college offers a free Entry Advising service for students. Information sessions are available where faculty and staff answer questions and give tours of classrooms, labs, and facilities. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca, Social Media Hub. Students are responsible for verifying George Brown College fee requirements.",", Can students transfer between programs during the first semester?"
4,59303e1e-b4d2-4fca-a25d-0d44a460e126," The School of Mechanical Engineering at George Brown College offers a wide variety of industries for mechanical engineering careers including aerospace, automotive, telecommunications, health, and entertainment. The programs take an experiential approach to learning with access to the latest technology and facilities. Students may transfer between programs during the first semester. Industry partnerships provide co-op placements, projects, financial aid through scholarships and donations. The college offers a free Entry Advising service for students. Information sessions are available where faculty and staff answer questions and give tours of classrooms, labs, and facilities. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca, Social Media Hub. Students are responsible for verifying George Brown College fee requirements.",", How do industry partnerships benefit students?"
5,59303e1e-b4d2-4fca-a25d-0d44a460e126," The School of Mechanical Engineering at George Brown College offers a wide variety of industries for mechanical engineering careers including aerospace, automotive, telecommunications, health, and entertainment. The programs take an experiential approach to learning with access to the latest technology and facilities. Students may transfer between programs during the first semester. Industry partnerships provide co-op placements, projects, financial aid through scholarships and donations. The college offers a free Entry Advising service for students. Information sessions are available where faculty and staff answer questions and give tours of classrooms, labs, and facilities. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca, Social Media Hub. Students are responsible for verifying George Brown College fee requirements.",", Are financial aid through scholarships and donations available?"
6,59303e1e-b4d2-4fca-a25d-0d44a460e126," The School of Mechanical Engineering at George Brown College offers a wide variety of industries for mechanical engineering careers including aerospace, automotive, telecommunications, health, and entertainment. The programs take an experiential approach to learning with access to the latest technology and facilities. Students may transfer between programs during the first semester. Industry partnerships provide co-op placements, projects, financial aid through scholarships and donations. The college offers a free Entry Advising service for students. Information sessions are available where faculty and staff answer questions and give tours of classrooms, labs, and facilities. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca, Social Media Hub. Students are responsible for verifying George Brown College fee requirements.",", What is the Entry Advising service for?"
7,59303e1e-b4d2-4fca-a25d-0d44a460e126," The School of Mechanical Engineering at George Brown College offers a wide variety of industries for mechanical engineering careers including aerospace, automotive, telecommunications, health, and entertainment. The programs take an experiential approach to learning with access to the latest technology and facilities. Students may transfer between programs during the first semester. Industry partnerships provide co-op placements, projects, financial aid through scholarships and donations. The college offers a free Entry Advising service for students. Information sessions are available where faculty and staff answer questions and give tours of classrooms, labs, and facilities. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca, Social Media Hub. Students are responsible for verifying George Brown College fee requirements.",", When and how can students attend information sessions?"
8,59303e1e-b4d2-4fca-a25d-0d44a460e126," The School of Mechanical Engineering at George Brown College offers a wide variety of industries for mechanical engineering careers including aerospace, automotive, telecommunications, health, and entertainment. The programs take an experiential approach to learning with access to the latest technology and facilities. Students may transfer between programs during the first semester. Industry partnerships provide co-op placements, projects, financial aid through scholarships and donations. The college offers a free Entry Advising service for students. Information sessions are available where faculty and staff answer questions and give tours of classrooms, labs, and facilities. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca, Social Media Hub. Students are responsible for verifying George Brown College fee requirements.",", What is the contact number for George Brown College?"
9,59303e1e-b4d2-4fca-a25d-0d44a460e126," The School of Mechanical Engineering at George Brown College offers a wide variety of industries for mechanical engineering careers including aerospace, automotive, telecommunications, health, and entertainment. The programs take an experiential approach to learning with access to the latest technology and facilities. Students may transfer between programs during the first semester. Industry partnerships provide co-op placements, projects, financial aid through scholarships and donations. The college offers a free Entry Advising service for students. Information sessions are available where faculty and staff answer questions and give tours of classrooms, labs, and facilities. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca, Social Media Hub. Students are responsible for verifying George Brown College fee requirements.",", What is the TTY number for George Brown College?"
10,59303e1e-b4d2-4fca-a25d-0d44a460e126," The School of Mechanical Engineering at George Brown College offers a wide variety of industries for mechanical engineering careers including aerospace, automotive, telecommunications, health, and entertainment. The programs take an experiential approach to learning with access to the latest technology and facilities. Students may transfer between programs during the first semester. Industry partnerships provide co-op placements, projects, financial aid through scholarships and donations. The college offers a free Entry Advising service for students. Information sessions are available where faculty and staff answer questions and give tours of classrooms, labs, and facilities. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca, Social Media Hub. Students are responsible for verifying George Brown College fee requirements.",", What is the email address to ask questions about George Brown College?"
11,59303e1e-b4d2-4fca-a25d-0d44a460e126," The School of Mechanical Engineering at George Brown College offers a wide variety of industries for mechanical engineering careers including aerospace, automotive, telecommunications, health, and entertainment. The programs take an experiential approach to learning with access to the latest technology and facilities. Students may transfer between programs during the first semester. Industry partnerships provide co-op placements, projects, financial aid through scholarships and donations. The college offers a free Entry Advising service for students. Information sessions are available where faculty and staff answer questions and give tours of classrooms, labs, and facilities. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca, Social Media Hub. Students are responsible for verifying George Brown College fee requirements.",", Where can students find the Social Media Hub?"
12,59303e1e-b4d2-4fca-a25d-0d44a460e126," The School of Mechanical Engineering at George Brown College offers a wide variety of industries for mechanical engineering careers including aerospace, automotive, telecommunications, health, and entertainment. The programs take an experiential approach to learning with access to the latest technology and facilities. Students may transfer between programs during the first semester. Industry partnerships provide co-op placements, projects, financial aid through scholarships and donations. The college offers a free Entry Advising service for students. Information sessions are available where faculty and staff answer questions and give tours of classrooms, labs, and facilities. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca, Social Media Hub. Students are responsible for verifying George Brown College fee requirements.",What are the fee requirements for George Brown College that students need to verify?
13,59303e1e-b4d2-4fca-a25d-0d44a460e126," The School of Mechanical Engineering at George Brown College offers a wide variety of industries for mechanical engineering careers including aerospace, automotive, telecommunications, health, and entertainment. The programs take an experiential approach to learning with access to the latest technology and facilities. Students may transfer between programs during the first semester. Industry partnerships provide co-op placements, projects, financial aid through scholarships and donations. The college offers a free Entry Advising service for students. Information sessions are available where faculty and staff answer questions and give tours of classrooms, labs, and facilities. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca, Social Media Hub. Students are responsible for verifying George Brown College fee requirements.",?
