,contextId,context,question
0,15ba9427-da86-47a5-9cc3-4c6e606b12c1," The George Brown College monitors dangerous weather conditions and makes decisions about suspending or canceling classes and operations, including child care centers across Toronto, by 6 a.m. For weather events occurring during the day, decisions are made on an ad-hoc basis. Parents using the college's child care centers can find contact information at georgebrown.ca/child-care-centres/#locations. The college does not make operational decisions lightly and balances student learning with potential weather risks. Students should check their emails, STU-VIEW, or Brightspace for updates on individual class cancellations. Students on work placements should follow the employer's policy regarding severe weather. In case of a college closure, the George Brown community will be informed through several methods. The college provides a hotline at 416-415-2000 and TTY: 1-877-515-5559, as well as an email address ask.george@georgebrown.",1. What time does the George Brown College make decisions about suspending or canceling classes due to dangerous weather conditions?
1,15ba9427-da86-47a5-9cc3-4c6e606b12c1," The George Brown College monitors dangerous weather conditions and makes decisions about suspending or canceling classes and operations, including child care centers across Toronto, by 6 a.m. For weather events occurring during the day, decisions are made on an ad-hoc basis. Parents using the college's child care centers can find contact information at georgebrown.ca/child-care-centres/#locations. The college does not make operational decisions lightly and balances student learning with potential weather risks. Students should check their emails, STU-VIEW, or Brightspace for updates on individual class cancellations. Students on work placements should follow the employer's policy regarding severe weather. In case of a college closure, the George Brown community will be informed through several methods. The college provides a hotline at 416-415-2000 and TTY: 1-877-515-5559, as well as an email address ask.george@georgebrown.",",
2. How are operational decisions made during weather events that occur during the day?"
2,15ba9427-da86-47a5-9cc3-4c6e606b12c1," The George Brown College monitors dangerous weather conditions and makes decisions about suspending or canceling classes and operations, including child care centers across Toronto, by 6 a.m. For weather events occurring during the day, decisions are made on an ad-hoc basis. Parents using the college's child care centers can find contact information at georgebrown.ca/child-care-centres/#locations. The college does not make operational decisions lightly and balances student learning with potential weather risks. Students should check their emails, STU-VIEW, or Brightspace for updates on individual class cancellations. Students on work placements should follow the employer's policy regarding severe weather. In case of a college closure, the George Brown community will be informed through several methods. The college provides a hotline at 416-415-2000 and TTY: 1-877-515-5559, as well as an email address ask.george@georgebrown.",",
3. Where can parents find contact information for the college's child care centers?"
3,15ba9427-da86-47a5-9cc3-4c6e606b12c1," The George Brown College monitors dangerous weather conditions and makes decisions about suspending or canceling classes and operations, including child care centers across Toronto, by 6 a.m. For weather events occurring during the day, decisions are made on an ad-hoc basis. Parents using the college's child care centers can find contact information at georgebrown.ca/child-care-centres/#locations. The college does not make operational decisions lightly and balances student learning with potential weather risks. Students should check their emails, STU-VIEW, or Brightspace for updates on individual class cancellations. Students on work placements should follow the employer's policy regarding severe weather. In case of a college closure, the George Brown community will be informed through several methods. The college provides a hotline at 416-415-2000 and TTY: 1-877-515-5559, as well as an email address ask.george@georgebrown.",",
4. How seriously does the George Brown College take making operational decisions?"
4,15ba9427-da86-47a5-9cc3-4c6e606b12c1," The George Brown College monitors dangerous weather conditions and makes decisions about suspending or canceling classes and operations, including child care centers across Toronto, by 6 a.m. For weather events occurring during the day, decisions are made on an ad-hoc basis. Parents using the college's child care centers can find contact information at georgebrown.ca/child-care-centres/#locations. The college does not make operational decisions lightly and balances student learning with potential weather risks. Students should check their emails, STU-VIEW, or Brightspace for updates on individual class cancellations. Students on work placements should follow the employer's policy regarding severe weather. In case of a college closure, the George Brown community will be informed through several methods. The college provides a hotline at 416-415-2000 and TTY: 1-877-515-5559, as well as an email address ask.george@georgebrown.",",
5. What sources should students check for updates on individual class cancellations?"
5,15ba9427-da86-47a5-9cc3-4c6e606b12c1," The George Brown College monitors dangerous weather conditions and makes decisions about suspending or canceling classes and operations, including child care centers across Toronto, by 6 a.m. For weather events occurring during the day, decisions are made on an ad-hoc basis. Parents using the college's child care centers can find contact information at georgebrown.ca/child-care-centres/#locations. The college does not make operational decisions lightly and balances student learning with potential weather risks. Students should check their emails, STU-VIEW, or Brightspace for updates on individual class cancellations. Students on work placements should follow the employer's policy regarding severe weather. In case of a college closure, the George Brown community will be informed through several methods. The college provides a hotline at 416-415-2000 and TTY: 1-877-515-5559, as well as an email address ask.george@georgebrown.",",
6. What should students on work placements do in case of severe weather?"
6,15ba9427-da86-47a5-9cc3-4c6e606b12c1," The George Brown College monitors dangerous weather conditions and makes decisions about suspending or canceling classes and operations, including child care centers across Toronto, by 6 a.m. For weather events occurring during the day, decisions are made on an ad-hoc basis. Parents using the college's child care centers can find contact information at georgebrown.ca/child-care-centres/#locations. The college does not make operational decisions lightly and balances student learning with potential weather risks. Students should check their emails, STU-VIEW, or Brightspace for updates on individual class cancellations. Students on work placements should follow the employer's policy regarding severe weather. In case of a college closure, the George Brown community will be informed through several methods. The college provides a hotline at 416-415-2000 and TTY: 1-877-515-5559, as well as an email address ask.george@georgebrown.",",
7. What methods will the George Brown community be informed of a college closure?"
7,15ba9427-da86-47a5-9cc3-4c6e606b12c1," The George Brown College monitors dangerous weather conditions and makes decisions about suspending or canceling classes and operations, including child care centers across Toronto, by 6 a.m. For weather events occurring during the day, decisions are made on an ad-hoc basis. Parents using the college's child care centers can find contact information at georgebrown.ca/child-care-centres/#locations. The college does not make operational decisions lightly and balances student learning with potential weather risks. Students should check their emails, STU-VIEW, or Brightspace for updates on individual class cancellations. Students on work placements should follow the employer's policy regarding severe weather. In case of a college closure, the George Brown community will be informed through several methods. The college provides a hotline at 416-415-2000 and TTY: 1-877-515-5559, as well as an email address ask.george@georgebrown.",8. Where can people find the hotline number and TTY number for the college?
8,15ba9427-da86-47a5-9cc3-4c6e606b12c1," The George Brown College monitors dangerous weather conditions and makes decisions about suspending or canceling classes and operations, including child care centers across Toronto, by 6 a.m. For weather events occurring during the day, decisions are made on an ad-hoc basis. Parents using the college's child care centers can find contact information at georgebrown.ca/child-care-centres/#locations. The college does not make operational decisions lightly and balances student learning with potential weather risks. Students should check their emails, STU-VIEW, or Brightspace for updates on individual class cancellations. Students on work placements should follow the employer's policy regarding severe weather. In case of a college closure, the George Brown community will be informed through several methods. The college provides a hotline at 416-415-2000 and TTY: 1-877-515-5559, as well as an email address ask.george@georgebrown.",9. How can people contact the college via email regarding weather-related issues?
9,15ba9427-da86-47a5-9cc3-4c6e606b12c1," The George Brown College monitors dangerous weather conditions and makes decisions about suspending or canceling classes and operations, including child care centers across Toronto, by 6 a.m. For weather events occurring during the day, decisions are made on an ad-hoc basis. Parents using the college's child care centers can find contact information at georgebrown.ca/child-care-centres/#locations. The college does not make operational decisions lightly and balances student learning with potential weather risks. Students should check their emails, STU-VIEW, or Brightspace for updates on individual class cancellations. Students on work placements should follow the employer's policy regarding severe weather. In case of a college closure, the George Brown community will be informed through several methods. The college provides a hotline at 416-415-2000 and TTY: 1-877-515-5559, as well as an email address ask.george@georgebrown.",?
