,contextId,context,question
0,45f3c2c7-f3f9-4ed8-bcac-737524243017," * Scholarships for international students at George Brown College are in-program awards based on academic performance and other criteria.
* Thirty-one scholarships will be awarded to eligible returning students in full-time post-secondary programs (diploma or degree).
* Application deadlines and process: apply online through STU-VIEW, be enrolled full-time as an International Student, and be selected by a committee established by the College.
* Recipients will only be notified by email.
* There are eighteen scholarships available for eligible ESL students.
* Application deadlines and process: submit application to eslstudentsuccess@georgebrown.ca by the applicable deadline, complete the application form, and be selected by a committee established by the College.
* Recipients will only be notified.
* Contact awards@georgebrown.ca for questions about individual awards or the application process.
* Contact the George Brown College Foundation if interested in expanding the awards program.
* Scholarships are available for students in full-time post-secondary Certificate or Post Graduate Certificate programs (2 or 3 semesters).
* Value of scholarships: $2,000 for returning students.
* Required supporting documentation for scholarship applications.",What are the scholarships at George Brown College for international students based on?
1,45f3c2c7-f3f9-4ed8-bcac-737524243017," * Scholarships for international students at George Brown College are in-program awards based on academic performance and other criteria.
* Thirty-one scholarships will be awarded to eligible returning students in full-time post-secondary programs (diploma or degree).
* Application deadlines and process: apply online through STU-VIEW, be enrolled full-time as an International Student, and be selected by a committee established by the College.
* Recipients will only be notified by email.
* There are eighteen scholarships available for eligible ESL students.
* Application deadlines and process: submit application to eslstudentsuccess@georgebrown.ca by the applicable deadline, complete the application form, and be selected by a committee established by the College.
* Recipients will only be notified.
* Contact awards@georgebrown.ca for questions about individual awards or the application process.
* Contact the George Brown College Foundation if interested in expanding the awards program.
* Scholarships are available for students in full-time post-secondary Certificate or Post Graduate Certificate programs (2 or 3 semesters).
* Value of scholarships: $2,000 for returning students.
* Required supporting documentation for scholarship applications.",", What are the eligibility criteria for returning students in full-time post-secondary programs?"
2,45f3c2c7-f3f9-4ed8-bcac-737524243017," * Scholarships for international students at George Brown College are in-program awards based on academic performance and other criteria.
* Thirty-one scholarships will be awarded to eligible returning students in full-time post-secondary programs (diploma or degree).
* Application deadlines and process: apply online through STU-VIEW, be enrolled full-time as an International Student, and be selected by a committee established by the College.
* Recipients will only be notified by email.
* There are eighteen scholarships available for eligible ESL students.
* Application deadlines and process: submit application to eslstudentsuccess@georgebrown.ca by the applicable deadline, complete the application form, and be selected by a committee established by the College.
* Recipients will only be notified.
* Contact awards@georgebrown.ca for questions about individual awards or the application process.
* Contact the George Brown College Foundation if interested in expanding the awards program.
* Scholarships are available for students in full-time post-secondary Certificate or Post Graduate Certificate programs (2 or 3 semesters).
* Value of scholarships: $2,000 for returning students.
* Required supporting documentation for scholarship applications.",", How and when should returning students apply for these scholarships online?"
3,45f3c2c7-f3f9-4ed8-bcac-737524243017," * Scholarships for international students at George Brown College are in-program awards based on academic performance and other criteria.
* Thirty-one scholarships will be awarded to eligible returning students in full-time post-secondary programs (diploma or degree).
* Application deadlines and process: apply online through STU-VIEW, be enrolled full-time as an International Student, and be selected by a committee established by the College.
* Recipients will only be notified by email.
* There are eighteen scholarships available for eligible ESL students.
* Application deadlines and process: submit application to eslstudentsuccess@georgebrown.ca by the applicable deadline, complete the application form, and be selected by a committee established by the College.
* Recipients will only be notified.
* Contact awards@georgebrown.ca for questions about individual awards or the application process.
* Contact the George Brown College Foundation if interested in expanding the awards program.
* Scholarships are available for students in full-time post-secondary Certificate or Post Graduate Certificate programs (2 or 3 semesters).
* Value of scholarships: $2,000 for returning students.
* Required supporting documentation for scholarship applications.",", Who will be notified if selected as recipients?"
4,45f3c2c7-f3f9-4ed8-bcac-737524243017," * Scholarships for international students at George Brown College are in-program awards based on academic performance and other criteria.
* Thirty-one scholarships will be awarded to eligible returning students in full-time post-secondary programs (diploma or degree).
* Application deadlines and process: apply online through STU-VIEW, be enrolled full-time as an International Student, and be selected by a committee established by the College.
* Recipients will only be notified by email.
* There are eighteen scholarships available for eligible ESL students.
* Application deadlines and process: submit application to eslstudentsuccess@georgebrown.ca by the applicable deadline, complete the application form, and be selected by a committee established by the College.
* Recipients will only be notified.
* Contact awards@georgebrown.ca for questions about individual awards or the application process.
* Contact the George Brown College Foundation if interested in expanding the awards program.
* Scholarships are available for students in full-time post-secondary Certificate or Post Graduate Certificate programs (2 or 3 semesters).
* Value of scholarships: $2,000 for returning students.
* Required supporting documentation for scholarship applications.",", How many scholarships are available for ESL students?"
5,45f3c2c7-f3f9-4ed8-bcac-737524243017," * Scholarships for international students at George Brown College are in-program awards based on academic performance and other criteria.
* Thirty-one scholarships will be awarded to eligible returning students in full-time post-secondary programs (diploma or degree).
* Application deadlines and process: apply online through STU-VIEW, be enrolled full-time as an International Student, and be selected by a committee established by the College.
* Recipients will only be notified by email.
* There are eighteen scholarships available for eligible ESL students.
* Application deadlines and process: submit application to eslstudentsuccess@georgebrown.ca by the applicable deadline, complete the application form, and be selected by a committee established by the College.
* Recipients will only be notified.
* Contact awards@georgebrown.ca for questions about individual awards or the application process.
* Contact the George Brown College Foundation if interested in expanding the awards program.
* Scholarships are available for students in full-time post-secondary Certificate or Post Graduate Certificate programs (2 or 3 semesters).
* Value of scholarships: $2,000 for returning students.
* Required supporting documentation for scholarship applications.",", How and by when should ESL students submit their applications for these scholarships?"
6,45f3c2c7-f3f9-4ed8-bcac-737524243017," * Scholarships for international students at George Brown College are in-program awards based on academic performance and other criteria.
* Thirty-one scholarships will be awarded to eligible returning students in full-time post-secondary programs (diploma or degree).
* Application deadlines and process: apply online through STU-VIEW, be enrolled full-time as an International Student, and be selected by a committee established by the College.
* Recipients will only be notified by email.
* There are eighteen scholarships available for eligible ESL students.
* Application deadlines and process: submit application to eslstudentsuccess@georgebrown.ca by the applicable deadline, complete the application form, and be selected by a committee established by the College.
* Recipients will only be notified.
* Contact awards@georgebrown.ca for questions about individual awards or the application process.
* Contact the George Brown College Foundation if interested in expanding the awards program.
* Scholarships are available for students in full-time post-secondary Certificate or Post Graduate Certificate programs (2 or 3 semesters).
* Value of scholarships: $2,000 for returning students.
* Required supporting documentation for scholarship applications.",", Who will notify the selected ESL students?"
7,45f3c2c7-f3f9-4ed8-bcac-737524243017," * Scholarships for international students at George Brown College are in-program awards based on academic performance and other criteria.
* Thirty-one scholarships will be awarded to eligible returning students in full-time post-secondary programs (diploma or degree).
* Application deadlines and process: apply online through STU-VIEW, be enrolled full-time as an International Student, and be selected by a committee established by the College.
* Recipients will only be notified by email.
* There are eighteen scholarships available for eligible ESL students.
* Application deadlines and process: submit application to eslstudentsuccess@georgebrown.ca by the applicable deadline, complete the application form, and be selected by a committee established by the College.
* Recipients will only be notified.
* Contact awards@georgebrown.ca for questions about individual awards or the application process.
* Contact the George Brown College Foundation if interested in expanding the awards program.
* Scholarships are available for students in full-time post-secondary Certificate or Post Graduate Certificate programs (2 or 3 semesters).
* Value of scholarships: $2,000 for returning students.
* Required supporting documentation for scholarship applications.",", Where can one contact for individual awards or application process related queries?"
8,45f3c2c7-f3f9-4ed8-bcac-737524243017," * Scholarships for international students at George Brown College are in-program awards based on academic performance and other criteria.
* Thirty-one scholarships will be awarded to eligible returning students in full-time post-secondary programs (diploma or degree).
* Application deadlines and process: apply online through STU-VIEW, be enrolled full-time as an International Student, and be selected by a committee established by the College.
* Recipients will only be notified by email.
* There are eighteen scholarships available for eligible ESL students.
* Application deadlines and process: submit application to eslstudentsuccess@georgebrown.ca by the applicable deadline, complete the application form, and be selected by a committee established by the College.
* Recipients will only be notified.
* Contact awards@georgebrown.ca for questions about individual awards or the application process.
* Contact the George Brown College Foundation if interested in expanding the awards program.
* Scholarships are available for students in full-time post-secondary Certificate or Post Graduate Certificate programs (2 or 3 semesters).
* Value of scholarships: $2,000 for returning students.
* Required supporting documentation for scholarship applications.",", How can one expand the awards program at George Brown College Foundation?"
9,45f3c2c7-f3f9-4ed8-bcac-737524243017," * Scholarships for international students at George Brown College are in-program awards based on academic performance and other criteria.
* Thirty-one scholarships will be awarded to eligible returning students in full-time post-secondary programs (diploma or degree).
* Application deadlines and process: apply online through STU-VIEW, be enrolled full-time as an International Student, and be selected by a committee established by the College.
* Recipients will only be notified by email.
* There are eighteen scholarships available for eligible ESL students.
* Application deadlines and process: submit application to eslstudentsuccess@georgebrown.ca by the applicable deadline, complete the application form, and be selected by a committee established by the College.
* Recipients will only be notified.
* Contact awards@georgebrown.ca for questions about individual awards or the application process.
* Contact the George Brown College Foundation if interested in expanding the awards program.
* Scholarships are available for students in full-time post-secondary Certificate or Post Graduate Certificate programs (2 or 3 semesters).
* Value of scholarships: $2,000 for returning students.
* Required supporting documentation for scholarship applications.",", What type of programs are these scholarships available for (certificate or post-graduate certificate) and for how long (2 or 3 semesters)?"
