,contextId,context,question
0,c4b45226-df7e-4212-8f2d-7120220fdeb9," * Creating a budget is important for managing expenses during post-secondary education.
* Budget duration can be set for a month, semester, or school year.
* Information on tuition and other fees can be obtained by contacting the academic department.
* Emergency funds should be set aside for unexpected situations.
* Differentiate between wants and needs when creating a budget.
* Little expenses can add up significantly over time (example: $2 per day for coffee equals $730 per year).
* Income should not exceed expenses.
* Contact information for George Brown College: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.
* Social media hub available on the website.
* Information contained in the website is subject to change without notice and should not be considered a representation or warranty.
* Students are responsible for verifying George Brown College fee requirements.",1. What is the importance of creating a budget during post-secondary education?
1,c4b45226-df7e-4212-8f2d-7120220fdeb9," * Creating a budget is important for managing expenses during post-secondary education.
* Budget duration can be set for a month, semester, or school year.
* Information on tuition and other fees can be obtained by contacting the academic department.
* Emergency funds should be set aside for unexpected situations.
* Differentiate between wants and needs when creating a budget.
* Little expenses can add up significantly over time (example: $2 per day for coffee equals $730 per year).
* Income should not exceed expenses.
* Contact information for George Brown College: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.
* Social media hub available on the website.
* Information contained in the website is subject to change without notice and should not be considered a representation or warranty.
* Students are responsible for verifying George Brown College fee requirements.","2. How long can a budget last: month, semester, or school year?"
2,c4b45226-df7e-4212-8f2d-7120220fdeb9," * Creating a budget is important for managing expenses during post-secondary education.
* Budget duration can be set for a month, semester, or school year.
* Information on tuition and other fees can be obtained by contacting the academic department.
* Emergency funds should be set aside for unexpected situations.
* Differentiate between wants and needs when creating a budget.
* Little expenses can add up significantly over time (example: $2 per day for coffee equals $730 per year).
* Income should not exceed expenses.
* Contact information for George Brown College: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.
* Social media hub available on the website.
* Information contained in the website is subject to change without notice and should not be considered a representation or warranty.
* Students are responsible for verifying George Brown College fee requirements.",3. Where can I find information on tuition and other fees at George Brown College?
3,c4b45226-df7e-4212-8f2d-7120220fdeb9," * Creating a budget is important for managing expenses during post-secondary education.
* Budget duration can be set for a month, semester, or school year.
* Information on tuition and other fees can be obtained by contacting the academic department.
* Emergency funds should be set aside for unexpected situations.
* Differentiate between wants and needs when creating a budget.
* Little expenses can add up significantly over time (example: $2 per day for coffee equals $730 per year).
* Income should not exceed expenses.
* Contact information for George Brown College: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.
* Social media hub available on the website.
* Information contained in the website is subject to change without notice and should not be considered a representation or warranty.
* Students are responsible for verifying George Brown College fee requirements.",4. Why is it important to set aside emergency funds?
4,c4b45226-df7e-4212-8f2d-7120220fdeb9," * Creating a budget is important for managing expenses during post-secondary education.
* Budget duration can be set for a month, semester, or school year.
* Information on tuition and other fees can be obtained by contacting the academic department.
* Emergency funds should be set aside for unexpected situations.
* Differentiate between wants and needs when creating a budget.
* Little expenses can add up significantly over time (example: $2 per day for coffee equals $730 per year).
* Income should not exceed expenses.
* Contact information for George Brown College: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.
* Social media hub available on the website.
* Information contained in the website is subject to change without notice and should not be considered a representation or warranty.
* Students are responsible for verifying George Brown College fee requirements.",5. What is the difference between wants and needs when creating a budget?
5,c4b45226-df7e-4212-8f2d-7120220fdeb9," * Creating a budget is important for managing expenses during post-secondary education.
* Budget duration can be set for a month, semester, or school year.
* Information on tuition and other fees can be obtained by contacting the academic department.
* Emergency funds should be set aside for unexpected situations.
* Differentiate between wants and needs when creating a budget.
* Little expenses can add up significantly over time (example: $2 per day for coffee equals $730 per year).
* Income should not exceed expenses.
* Contact information for George Brown College: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.
* Social media hub available on the website.
* Information contained in the website is subject to change without notice and should not be considered a representation or warranty.
* Students are responsible for verifying George Brown College fee requirements.",6. How much money can small daily expenses like coffee add up to in a year?
6,c4b45226-df7e-4212-8f2d-7120220fdeb9," * Creating a budget is important for managing expenses during post-secondary education.
* Budget duration can be set for a month, semester, or school year.
* Information on tuition and other fees can be obtained by contacting the academic department.
* Emergency funds should be set aside for unexpected situations.
* Differentiate between wants and needs when creating a budget.
* Little expenses can add up significantly over time (example: $2 per day for coffee equals $730 per year).
* Income should not exceed expenses.
* Contact information for George Brown College: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.
* Social media hub available on the website.
* Information contained in the website is subject to change without notice and should not be considered a representation or warranty.
* Students are responsible for verifying George Brown College fee requirements.",7. Should income exceed expenses in a budget?
7,c4b45226-df7e-4212-8f2d-7120220fdeb9," * Creating a budget is important for managing expenses during post-secondary education.
* Budget duration can be set for a month, semester, or school year.
* Information on tuition and other fees can be obtained by contacting the academic department.
* Emergency funds should be set aside for unexpected situations.
* Differentiate between wants and needs when creating a budget.
* Little expenses can add up significantly over time (example: $2 per day for coffee equals $730 per year).
* Income should not exceed expenses.
* Contact information for George Brown College: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.
* Social media hub available on the website.
* Information contained in the website is subject to change without notice and should not be considered a representation or warranty.
* Students are responsible for verifying George Brown College fee requirements.","8. What are the contact details for George Brown College: phone, TTY, email?"
8,c4b45226-df7e-4212-8f2d-7120220fdeb9," * Creating a budget is important for managing expenses during post-secondary education.
* Budget duration can be set for a month, semester, or school year.
* Information on tuition and other fees can be obtained by contacting the academic department.
* Emergency funds should be set aside for unexpected situations.
* Differentiate between wants and needs when creating a budget.
* Little expenses can add up significantly over time (example: $2 per day for coffee equals $730 per year).
* Income should not exceed expenses.
* Contact information for George Brown College: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.
* Social media hub available on the website.
* Information contained in the website is subject to change without notice and should not be considered a representation or warranty.
* Students are responsible for verifying George Brown College fee requirements.",9. Where can I find George Brown College's social media hub?
9,c4b45226-df7e-4212-8f2d-7120220fdeb9," * Creating a budget is important for managing expenses during post-secondary education.
* Budget duration can be set for a month, semester, or school year.
* Information on tuition and other fees can be obtained by contacting the academic department.
* Emergency funds should be set aside for unexpected situations.
* Differentiate between wants and needs when creating a budget.
* Little expenses can add up significantly over time (example: $2 per day for coffee equals $730 per year).
* Income should not exceed expenses.
* Contact information for George Brown College: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.
* Social media hub available on the website.
* Information contained in the website is subject to change without notice and should not be considered a representation or warranty.
* Students are responsible for verifying George Brown College fee requirements.",10. Is the information on the website guaranteed not to change?
