,contextId,context,question
0,5e706abb-e392-4d7e-8ef6-666bc4be4e55," George Brown College offers hands-on learning experiences for students under faculty and industry professional supervision. The college has affordable services in various locations:

1. The Chefs' House (215 King St. E): A live restaurant environment where hospitality and culinary arts students practice their skills. Open for lunch from 11:30 a.m. to 1:30 p.m. and dinner from 5:30 p.m. to 8:30 p.m. Follow on Facebook, Twitter, and Instagram @thechefshouse.

2. George Brown Cafe (300 Adelaide St. E, second floor): Open Monday to Friday, 7:30 a.m. to 2 p.m., excluding holidays. Follow on Instagram @georgebrowncafe and Twitter @GBCCafe.

3. Chef on the Run (300 Adelaide St. E, main floor): Open Tuesdays to Fridays from 11 a.m. to 2 p.m. Sell freshly prepared meals, desserts, and products. Follow on Instagram @chefontherungbc and Twitter @GBCcotr.

The college also operates several childcare centres across the Greater Toronto Area staffed by fully trained early childhood educators. Some notable ones include George Brown’s Casa Loma Child Care Centre and other lab school childcare centres operated by the college. They provide meaningful learning opportunities for students and high-quality childcare services to children and families.

The offerings at Chef on the Run can be checked by dialing 416-415-5000 x 2515.",What locations does George Brown College have for hands-on learning experiences?
1,5e706abb-e392-4d7e-8ef6-666bc4be4e55," George Brown College offers hands-on learning experiences for students under faculty and industry professional supervision. The college has affordable services in various locations:

1. The Chefs' House (215 King St. E): A live restaurant environment where hospitality and culinary arts students practice their skills. Open for lunch from 11:30 a.m. to 1:30 p.m. and dinner from 5:30 p.m. to 8:30 p.m. Follow on Facebook, Twitter, and Instagram @thechefshouse.

2. George Brown Cafe (300 Adelaide St. E, second floor): Open Monday to Friday, 7:30 a.m. to 2 p.m., excluding holidays. Follow on Instagram @georgebrowncafe and Twitter @GBCCafe.

3. Chef on the Run (300 Adelaide St. E, main floor): Open Tuesdays to Fridays from 11 a.m. to 2 p.m. Sell freshly prepared meals, desserts, and products. Follow on Instagram @chefontherungbc and Twitter @GBCcotr.

The college also operates several childcare centres across the Greater Toronto Area staffed by fully trained early childhood educators. Some notable ones include George Brown’s Casa Loma Child Care Centre and other lab school childcare centres operated by the college. They provide meaningful learning opportunities for students and high-quality childcare services to children and families.

The offerings at Chef on the Run can be checked by dialing 416-415-5000 x 2515.",", Where can students practice their culinary arts skills in Toronto?"
2,5e706abb-e392-4d7e-8ef6-666bc4be4e55," George Brown College offers hands-on learning experiences for students under faculty and industry professional supervision. The college has affordable services in various locations:

1. The Chefs' House (215 King St. E): A live restaurant environment where hospitality and culinary arts students practice their skills. Open for lunch from 11:30 a.m. to 1:30 p.m. and dinner from 5:30 p.m. to 8:30 p.m. Follow on Facebook, Twitter, and Instagram @thechefshouse.

2. George Brown Cafe (300 Adelaide St. E, second floor): Open Monday to Friday, 7:30 a.m. to 2 p.m., excluding holidays. Follow on Instagram @georgebrowncafe and Twitter @GBCCafe.

3. Chef on the Run (300 Adelaide St. E, main floor): Open Tuesdays to Fridays from 11 a.m. to 2 p.m. Sell freshly prepared meals, desserts, and products. Follow on Instagram @chefontherungbc and Twitter @GBCcotr.

The college also operates several childcare centres across the Greater Toronto Area staffed by fully trained early childhood educators. Some notable ones include George Brown’s Casa Loma Child Care Centre and other lab school childcare centres operated by the college. They provide meaningful learning opportunities for students and high-quality childcare services to children and families.

The offerings at Chef on the Run can be checked by dialing 416-415-5000 x 2515.",", What are the hours of operation for The Chefs' House restaurant?"
3,5e706abb-e392-4d7e-8ef6-666bc4be4e55," George Brown College offers hands-on learning experiences for students under faculty and industry professional supervision. The college has affordable services in various locations:

1. The Chefs' House (215 King St. E): A live restaurant environment where hospitality and culinary arts students practice their skills. Open for lunch from 11:30 a.m. to 1:30 p.m. and dinner from 5:30 p.m. to 8:30 p.m. Follow on Facebook, Twitter, and Instagram @thechefshouse.

2. George Brown Cafe (300 Adelaide St. E, second floor): Open Monday to Friday, 7:30 a.m. to 2 p.m., excluding holidays. Follow on Instagram @georgebrowncafe and Twitter @GBCCafe.

3. Chef on the Run (300 Adelaide St. E, main floor): Open Tuesdays to Fridays from 11 a.m. to 2 p.m. Sell freshly prepared meals, desserts, and products. Follow on Instagram @chefontherungbc and Twitter @GBCcotr.

The college also operates several childcare centres across the Greater Toronto Area staffed by fully trained early childhood educators. Some notable ones include George Brown’s Casa Loma Child Care Centre and other lab school childcare centres operated by the college. They provide meaningful learning opportunities for students and high-quality childcare services to children and families.

The offerings at Chef on the Run can be checked by dialing 416-415-5000 x 2515.",", How can I follow The Chefs' House on social media?"
4,5e706abb-e392-4d7e-8ef6-666bc4be4e55," George Brown College offers hands-on learning experiences for students under faculty and industry professional supervision. The college has affordable services in various locations:

1. The Chefs' House (215 King St. E): A live restaurant environment where hospitality and culinary arts students practice their skills. Open for lunch from 11:30 a.m. to 1:30 p.m. and dinner from 5:30 p.m. to 8:30 p.m. Follow on Facebook, Twitter, and Instagram @thechefshouse.

2. George Brown Cafe (300 Adelaide St. E, second floor): Open Monday to Friday, 7:30 a.m. to 2 p.m., excluding holidays. Follow on Instagram @georgebrowncafe and Twitter @GBCCafe.

3. Chef on the Run (300 Adelaide St. E, main floor): Open Tuesdays to Fridays from 11 a.m. to 2 p.m. Sell freshly prepared meals, desserts, and products. Follow on Instagram @chefontherungbc and Twitter @GBCcotr.

The college also operates several childcare centres across the Greater Toronto Area staffed by fully trained early childhood educators. Some notable ones include George Brown’s Casa Loma Child Care Centre and other lab school childcare centres operated by the college. They provide meaningful learning opportunities for students and high-quality childcare services to children and families.

The offerings at Chef on the Run can be checked by dialing 416-415-5000 x 2515.",", What is the Instagram handle for George Brown Cafe?"
5,5e706abb-e392-4d7e-8ef6-666bc4be4e55," George Brown College offers hands-on learning experiences for students under faculty and industry professional supervision. The college has affordable services in various locations:

1. The Chefs' House (215 King St. E): A live restaurant environment where hospitality and culinary arts students practice their skills. Open for lunch from 11:30 a.m. to 1:30 p.m. and dinner from 5:30 p.m. to 8:30 p.m. Follow on Facebook, Twitter, and Instagram @thechefshouse.

2. George Brown Cafe (300 Adelaide St. E, second floor): Open Monday to Friday, 7:30 a.m. to 2 p.m., excluding holidays. Follow on Instagram @georgebrowncafe and Twitter @GBCCafe.

3. Chef on the Run (300 Adelaide St. E, main floor): Open Tuesdays to Fridays from 11 a.m. to 2 p.m. Sell freshly prepared meals, desserts, and products. Follow on Instagram @chefontherungbc and Twitter @GBCcotr.

The college also operates several childcare centres across the Greater Toronto Area staffed by fully trained early childhood educators. Some notable ones include George Brown’s Casa Loma Child Care Centre and other lab school childcare centres operated by the college. They provide meaningful learning opportunities for students and high-quality childcare services to children and families.

The offerings at Chef on the Run can be checked by dialing 416-415-5000 x 2515.",", What days is George Brown Cafe open?"
6,5e706abb-e392-4d7e-8ef6-666bc4be4e55," George Brown College offers hands-on learning experiences for students under faculty and industry professional supervision. The college has affordable services in various locations:

1. The Chefs' House (215 King St. E): A live restaurant environment where hospitality and culinary arts students practice their skills. Open for lunch from 11:30 a.m. to 1:30 p.m. and dinner from 5:30 p.m. to 8:30 p.m. Follow on Facebook, Twitter, and Instagram @thechefshouse.

2. George Brown Cafe (300 Adelaide St. E, second floor): Open Monday to Friday, 7:30 a.m. to 2 p.m., excluding holidays. Follow on Instagram @georgebrowncafe and Twitter @GBCCafe.

3. Chef on the Run (300 Adelaide St. E, main floor): Open Tuesdays to Fridays from 11 a.m. to 2 p.m. Sell freshly prepared meals, desserts, and products. Follow on Instagram @chefontherungbc and Twitter @GBCcotr.

The college also operates several childcare centres across the Greater Toronto Area staffed by fully trained early childhood educators. Some notable ones include George Brown’s Casa Loma Child Care Centre and other lab school childcare centres operated by the college. They provide meaningful learning opportunities for students and high-quality childcare services to children and families.

The offerings at Chef on the Run can be checked by dialing 416-415-5000 x 2515.",", What holidays does George Brown Cafe close?"
7,5e706abb-e392-4d7e-8ef6-666bc4be4e55," George Brown College offers hands-on learning experiences for students under faculty and industry professional supervision. The college has affordable services in various locations:

1. The Chefs' House (215 King St. E): A live restaurant environment where hospitality and culinary arts students practice their skills. Open for lunch from 11:30 a.m. to 1:30 p.m. and dinner from 5:30 p.m. to 8:30 p.m. Follow on Facebook, Twitter, and Instagram @thechefshouse.

2. George Brown Cafe (300 Adelaide St. E, second floor): Open Monday to Friday, 7:30 a.m. to 2 p.m., excluding holidays. Follow on Instagram @georgebrowncafe and Twitter @GBCCafe.

3. Chef on the Run (300 Adelaide St. E, main floor): Open Tuesdays to Fridays from 11 a.m. to 2 p.m. Sell freshly prepared meals, desserts, and products. Follow on Instagram @chefontherungbc and Twitter @GBCcotr.

The college also operates several childcare centres across the Greater Toronto Area staffed by fully trained early childhood educators. Some notable ones include George Brown’s Casa Loma Child Care Centre and other lab school childcare centres operated by the college. They provide meaningful learning opportunities for students and high-quality childcare services to children and families.

The offerings at Chef on the Run can be checked by dialing 416-415-5000 x 2515.",", Where can students find freshly prepared meals at George Brown College?"
8,5e706abb-e392-4d7e-8ef6-666bc4be4e55," George Brown College offers hands-on learning experiences for students under faculty and industry professional supervision. The college has affordable services in various locations:

1. The Chefs' House (215 King St. E): A live restaurant environment where hospitality and culinary arts students practice their skills. Open for lunch from 11:30 a.m. to 1:30 p.m. and dinner from 5:30 p.m. to 8:30 p.m. Follow on Facebook, Twitter, and Instagram @thechefshouse.

2. George Brown Cafe (300 Adelaide St. E, second floor): Open Monday to Friday, 7:30 a.m. to 2 p.m., excluding holidays. Follow on Instagram @georgebrowncafe and Twitter @GBCCafe.

3. Chef on the Run (300 Adelaide St. E, main floor): Open Tuesdays to Fridays from 11 a.m. to 2 p.m. Sell freshly prepared meals, desserts, and products. Follow on Instagram @chefontherungbc and Twitter @GBCcotr.

The college also operates several childcare centres across the Greater Toronto Area staffed by fully trained early childhood educators. Some notable ones include George Brown’s Casa Loma Child Care Centre and other lab school childcare centres operated by the college. They provide meaningful learning opportunities for students and high-quality childcare services to children and families.

The offerings at Chef on the Run can be checked by dialing 416-415-5000 x 2515.",", What is the contact number to check offerings at Chef on the Run?"
9,5e706abb-e392-4d7e-8ef6-666bc4be4e55," George Brown College offers hands-on learning experiences for students under faculty and industry professional supervision. The college has affordable services in various locations:

1. The Chefs' House (215 King St. E): A live restaurant environment where hospitality and culinary arts students practice their skills. Open for lunch from 11:30 a.m. to 1:30 p.m. and dinner from 5:30 p.m. to 8:30 p.m. Follow on Facebook, Twitter, and Instagram @thechefshouse.

2. George Brown Cafe (300 Adelaide St. E, second floor): Open Monday to Friday, 7:30 a.m. to 2 p.m., excluding holidays. Follow on Instagram @georgebrowncafe and Twitter @GBCCafe.

3. Chef on the Run (300 Adelaide St. E, main floor): Open Tuesdays to Fridays from 11 a.m. to 2 p.m. Sell freshly prepared meals, desserts, and products. Follow on Instagram @chefontherungbc and Twitter @GBCcotr.

The college also operates several childcare centres across the Greater Toronto Area staffed by fully trained early childhood educators. Some notable ones include George Brown’s Casa Loma Child Care Centre and other lab school childcare centres operated by the college. They provide meaningful learning opportunities for students and high-quality childcare services to children and families.

The offerings at Chef on the Run can be checked by dialing 416-415-5000 x 2515.",", Which childcare centres are operated by George Brown College in the Greater Toronto Area?"
