,contextId,context,question
0,728e0708-2987-4109-8b77-b703c496f966," Jack Hanna founded John Hanna & Sons Ltd. with his son Ian in 1978. The company grew to represent some of the great family-owned wineries of the world. Jack was a respected member of the wine trade, known for his love of life and good wine. He had a passion for young people and education. In recognition of Jack's dedication to his industry and young people, the John Hanna Advanced Wine and Beverage Business Management Post-Graduate Scholarship has been established.

Contact Information:
- Phone number: 416-415-2000
- TTY number: 1-877-515-5559
- Email address: ask.george@georgebrown.ca

The information contained in this website is subject to change without notice. It should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.","What is the background of Jack Hanna and his company John Hanna & Sons Ltd.,?"
1,728e0708-2987-4109-8b77-b703c496f966," Jack Hanna founded John Hanna & Sons Ltd. with his son Ian in 1978. The company grew to represent some of the great family-owned wineries of the world. Jack was a respected member of the wine trade, known for his love of life and good wine. He had a passion for young people and education. In recognition of Jack's dedication to his industry and young people, the John Hanna Advanced Wine and Beverage Business Management Post-Graduate Scholarship has been established.

Contact Information:
- Phone number: 416-415-2000
- TTY number: 1-877-515-5559
- Email address: ask.george@georgebrown.ca

The information contained in this website is subject to change without notice. It should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",Who founded John Hana & Sons Ltd. with whom and in which year?
2,728e0708-2987-4109-8b77-b703c496f966," Jack Hanna founded John Hanna & Sons Ltd. with his son Ian in 1978. The company grew to represent some of the great family-owned wineries of the world. Jack was a respected member of the wine trade, known for his love of life and good wine. He had a passion for young people and education. In recognition of Jack's dedication to his industry and young people, the John Hanna Advanced Wine and Beverage Business Management Post-Graduate Scholarship has been established.

Contact Information:
- Phone number: 416-415-2000
- TTY number: 1-877-515-5559
- Email address: ask.george@georgebrown.ca

The information contained in this website is subject to change without notice. It should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",", What are some of the family-owned wineries represented by the company?"
3,728e0708-2987-4109-8b77-b703c496f966," Jack Hanna founded John Hanna & Sons Ltd. with his son Ian in 1978. The company grew to represent some of the great family-owned wineries of the world. Jack was a respected member of the wine trade, known for his love of life and good wine. He had a passion for young people and education. In recognition of Jack's dedication to his industry and young people, the John Hanna Advanced Wine and Beverage Business Management Post-Graduate Scholarship has been established.

Contact Information:
- Phone number: 416-415-2000
- TTY number: 1-877-515-5559
- Email address: ask.george@georgebrown.ca

The information contained in this website is subject to change without notice. It should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",", How was Jack Hanna recognized for his contributions to the wine trade and young people?"
4,728e0708-2987-4109-8b77-b703c496f966," Jack Hanna founded John Hanna & Sons Ltd. with his son Ian in 1978. The company grew to represent some of the great family-owned wineries of the world. Jack was a respected member of the wine trade, known for his love of life and good wine. He had a passion for young people and education. In recognition of Jack's dedication to his industry and young people, the John Hanna Advanced Wine and Beverage Business Management Post-Graduate Scholarship has been established.

Contact Information:
- Phone number: 416-415-2000
- TTY number: 1-877-515-5559
- Email address: ask.george@georgebrown.ca

The information contained in this website is subject to change without notice. It should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",", What is the name of the scholarship established in Jack's honor and what does it aim to achieve?"
5,728e0708-2987-4109-8b77-b703c496f966," Jack Hanna founded John Hanna & Sons Ltd. with his son Ian in 1978. The company grew to represent some of the great family-owned wineries of the world. Jack was a respected member of the wine trade, known for his love of life and good wine. He had a passion for young people and education. In recognition of Jack's dedication to his industry and young people, the John Hanna Advanced Wine and Beverage Business Management Post-Graduate Scholarship has been established.

Contact Information:
- Phone number: 416-415-2000
- TTY number: 1-877-515-5559
- Email address: ask.george@georgebrown.ca

The information contained in this website is subject to change without notice. It should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",", What is the phone number to contact George Brown College for inquiries?"
6,728e0708-2987-4109-8b77-b703c496f966," Jack Hanna founded John Hanna & Sons Ltd. with his son Ian in 1978. The company grew to represent some of the great family-owned wineries of the world. Jack was a respected member of the wine trade, known for his love of life and good wine. He had a passion for young people and education. In recognition of Jack's dedication to his industry and young people, the John Hanna Advanced Wine and Beverage Business Management Post-Graduate Scholarship has been established.

Contact Information:
- Phone number: 416-415-2000
- TTY number: 1-877-515-5559
- Email address: ask.george@georgebrown.ca

The information contained in this website is subject to change without notice. It should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",", What is the TTY number for those with hearing impairments to contact George Brown College?"
7,728e0708-2987-4109-8b77-b703c496f966," Jack Hanna founded John Hanna & Sons Ltd. with his son Ian in 1978. The company grew to represent some of the great family-owned wineries of the world. Jack was a respected member of the wine trade, known for his love of life and good wine. He had a passion for young people and education. In recognition of Jack's dedication to his industry and young people, the John Hanna Advanced Wine and Beverage Business Management Post-Graduate Scholarship has been established.

Contact Information:
- Phone number: 416-415-2000
- TTY number: 1-877-515-5559
- Email address: ask.george@georgebrown.ca

The information contained in this website is subject to change without notice. It should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",", What is the email address to send queries to George Brown College?"
8,728e0708-2987-4109-8b77-b703c496f966," Jack Hanna founded John Hanna & Sons Ltd. with his son Ian in 1978. The company grew to represent some of the great family-owned wineries of the world. Jack was a respected member of the wine trade, known for his love of life and good wine. He had a passion for young people and education. In recognition of Jack's dedication to his industry and young people, the John Hanna Advanced Wine and Beverage Business Management Post-Graduate Scholarship has been established.

Contact Information:
- Phone number: 416-415-2000
- TTY number: 1-877-515-5559
- Email address: ask.george@georgebrown.ca

The information contained in this website is subject to change without notice. It should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",Is the information on this website subject to change and should be verified before relying on it for fee requirements?
9,728e0708-2987-4109-8b77-b703c496f966," Jack Hanna founded John Hanna & Sons Ltd. with his son Ian in 1978. The company grew to represent some of the great family-owned wineries of the world. Jack was a respected member of the wine trade, known for his love of life and good wine. He had a passion for young people and education. In recognition of Jack's dedication to his industry and young people, the John Hanna Advanced Wine and Beverage Business Management Post-Graduate Scholarship has been established.

Contact Information:
- Phone number: 416-415-2000
- TTY number: 1-877-515-5559
- Email address: ask.george@georgebrown.ca

The information contained in this website is subject to change without notice. It should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.",?
