,contextId,context,question
0,8f3c64b0-46ad-4b08-8255-a640f0cb92b9," The George Brown College provides international and intercultural learning opportunities for its community and partners. These opportunities include spending 1-2 weeks or semesters in various countries, studying at international partner institutions, completing international co-ops, internships or field placements, and gaining additional credentials abroad. Students can also enjoy 1-2 semesters studying at George Brown College and gain additional credentials there. Interested individuals can contact globalmobility@georgebrown.ca for more information and sign up for updates on application deadlines, college news, upcoming events, tours, and more. The phone numbers provided are 416-415-2000 and TTY: 1-877-515-5559, and students can also contact ask.george@georgebrown.ca for inquiries. The college has been awarded Gold by Colleges and Institutes Canada for internationalization excellence. The information on the website is subject to change without notice and students are responsible for verifying George Brown College fee requirements.",1. What countries does George Brown College offer international learning opportunities in?
1,8f3c64b0-46ad-4b08-8255-a640f0cb92b9," The George Brown College provides international and intercultural learning opportunities for its community and partners. These opportunities include spending 1-2 weeks or semesters in various countries, studying at international partner institutions, completing international co-ops, internships or field placements, and gaining additional credentials abroad. Students can also enjoy 1-2 semesters studying at George Brown College and gain additional credentials there. Interested individuals can contact globalmobility@georgebrown.ca for more information and sign up for updates on application deadlines, college news, upcoming events, tours, and more. The phone numbers provided are 416-415-2000 and TTY: 1-877-515-5559, and students can also contact ask.george@georgebrown.ca for inquiries. The college has been awarded Gold by Colleges and Institutes Canada for internationalization excellence. The information on the website is subject to change without notice and students are responsible for verifying George Brown College fee requirements.",", 
2. How long can students spend abroad through George Brown College programs?"
2,8f3c64b0-46ad-4b08-8255-a640f0cb92b9," The George Brown College provides international and intercultural learning opportunities for its community and partners. These opportunities include spending 1-2 weeks or semesters in various countries, studying at international partner institutions, completing international co-ops, internships or field placements, and gaining additional credentials abroad. Students can also enjoy 1-2 semesters studying at George Brown College and gain additional credentials there. Interested individuals can contact globalmobility@georgebrown.ca for more information and sign up for updates on application deadlines, college news, upcoming events, tours, and more. The phone numbers provided are 416-415-2000 and TTY: 1-877-515-5559, and students can also contact ask.george@georgebrown.ca for inquiries. The college has been awarded Gold by Colleges and Institutes Canada for internationalization excellence. The information on the website is subject to change without notice and students are responsible for verifying George Brown College fee requirements.",", 
3. Which institutions are George Brown College's international partners?"
3,8f3c64b0-46ad-4b08-8255-a640f0cb92b9," The George Brown College provides international and intercultural learning opportunities for its community and partners. These opportunities include spending 1-2 weeks or semesters in various countries, studying at international partner institutions, completing international co-ops, internships or field placements, and gaining additional credentials abroad. Students can also enjoy 1-2 semesters studying at George Brown College and gain additional credentials there. Interested individuals can contact globalmobility@georgebrown.ca for more information and sign up for updates on application deadlines, college news, upcoming events, tours, and more. The phone numbers provided are 416-415-2000 and TTY: 1-877-515-5559, and students can also contact ask.george@georgebrown.ca for inquiries. The college has been awarded Gold by Colleges and Institutes Canada for internationalization excellence. The information on the website is subject to change without notice and students are responsible for verifying George Brown College fee requirements.",", 
4. What types of experiences does George Brown College offer for international learning (co-ops, internships, etc.)?"
4,8f3c64b0-46ad-4b08-8255-a640f0cb92b9," The George Brown College provides international and intercultural learning opportunities for its community and partners. These opportunities include spending 1-2 weeks or semesters in various countries, studying at international partner institutions, completing international co-ops, internships or field placements, and gaining additional credentials abroad. Students can also enjoy 1-2 semesters studying at George Brown College and gain additional credentials there. Interested individuals can contact globalmobility@georgebrown.ca for more information and sign up for updates on application deadlines, college news, upcoming events, tours, and more. The phone numbers provided are 416-415-2000 and TTY: 1-877-515-5559, and students can also contact ask.george@georgebrown.ca for inquiries. The college has been awarded Gold by Colleges and Institutes Canada for internationalization excellence. The information on the website is subject to change without notice and students are responsible for verifying George Brown College fee requirements.",", 
5. Where can individuals sign up for updates on application deadlines and events at George Brown College?"
5,8f3c64b0-46ad-4b08-8255-a640f0cb92b9," The George Brown College provides international and intercultural learning opportunities for its community and partners. These opportunities include spending 1-2 weeks or semesters in various countries, studying at international partner institutions, completing international co-ops, internships or field placements, and gaining additional credentials abroad. Students can also enjoy 1-2 semesters studying at George Brown College and gain additional credentials there. Interested individuals can contact globalmobility@georgebrown.ca for more information and sign up for updates on application deadlines, college news, upcoming events, tours, and more. The phone numbers provided are 416-415-2000 and TTY: 1-877-515-5559, and students can also contact ask.george@georgebrown.ca for inquiries. The college has been awarded Gold by Colleges and Institutes Canada for internationalization excellence. The information on the website is subject to change without notice and students are responsible for verifying George Brown College fee requirements.",", 
6. What are the phone numbers to contact George Brown College for internationalization inquiries?"
6,8f3c64b0-46ad-4b08-8255-a640f0cb92b9," The George Brown College provides international and intercultural learning opportunities for its community and partners. These opportunities include spending 1-2 weeks or semesters in various countries, studying at international partner institutions, completing international co-ops, internships or field placements, and gaining additional credentials abroad. Students can also enjoy 1-2 semesters studying at George Brown College and gain additional credentials there. Interested individuals can contact globalmobility@georgebrown.ca for more information and sign up for updates on application deadlines, college news, upcoming events, tours, and more. The phone numbers provided are 416-415-2000 and TTY: 1-877-515-5559, and students can also contact ask.george@georgebrown.ca for inquiries. The college has been awarded Gold by Colleges and Institutes Canada for internationalization excellence. The information on the website is subject to change without notice and students are responsible for verifying George Brown College fee requirements.",", 
7. Which credentials can students gain abroad through George Brown College programs?"
7,8f3c64b0-46ad-4b08-8255-a640f0cb92b9," The George Brown College provides international and intercultural learning opportunities for its community and partners. These opportunities include spending 1-2 weeks or semesters in various countries, studying at international partner institutions, completing international co-ops, internships or field placements, and gaining additional credentials abroad. Students can also enjoy 1-2 semesters studying at George Brown College and gain additional credentials there. Interested individuals can contact globalmobility@georgebrown.ca for more information and sign up for updates on application deadlines, college news, upcoming events, tours, and more. The phone numbers provided are 416-415-2000 and TTY: 1-877-515-5559, and students can also contact ask.george@georgebrown.ca for inquiries. The college has been awarded Gold by Colleges and Institutes Canada for internationalization excellence. The information on the website is subject to change without notice and students are responsible for verifying George Brown College fee requirements.",", 
8. How can students contact George Brown College for general inquiries?"
8,8f3c64b0-46ad-4b08-8255-a640f0cb92b9," The George Brown College provides international and intercultural learning opportunities for its community and partners. These opportunities include spending 1-2 weeks or semesters in various countries, studying at international partner institutions, completing international co-ops, internships or field placements, and gaining additional credentials abroad. Students can also enjoy 1-2 semesters studying at George Brown College and gain additional credentials there. Interested individuals can contact globalmobility@georgebrown.ca for more information and sign up for updates on application deadlines, college news, upcoming events, tours, and more. The phone numbers provided are 416-415-2000 and TTY: 1-877-515-5559, and students can also contact ask.george@georgebrown.ca for inquiries. The college has been awarded Gold by Colleges and Institutes Canada for internationalization excellence. The information on the website is subject to change without notice and students are responsible for verifying George Brown College fee requirements.",", 
9. What recognition has George Brown College received for its internationalization efforts?"
9,8f3c64b0-46ad-4b08-8255-a640f0cb92b9," The George Brown College provides international and intercultural learning opportunities for its community and partners. These opportunities include spending 1-2 weeks or semesters in various countries, studying at international partner institutions, completing international co-ops, internships or field placements, and gaining additional credentials abroad. Students can also enjoy 1-2 semesters studying at George Brown College and gain additional credentials there. Interested individuals can contact globalmobility@georgebrown.ca for more information and sign up for updates on application deadlines, college news, upcoming events, tours, and more. The phone numbers provided are 416-415-2000 and TTY: 1-877-515-5559, and students can also contact ask.george@georgebrown.ca for inquiries. The college has been awarded Gold by Colleges and Institutes Canada for internationalization excellence. The information on the website is subject to change without notice and students are responsible for verifying George Brown College fee requirements.",", 
10. Are the fee requirements for international programs subject to change on the college website?"
