,contextId,context,question
0,511b70d4-2a33-4932-b877-1e0f54e26d81," The text does not contain any specific information related to programs offered by George Brown College. However, I can extract the following factual information:

- Changes to LLC Laptop Loan Policy were made on December 18, 2023.
- Interlibrary loans are usually provided for free, but additional charges from lending agencies will be discussed with students.
- Contact information for George Brown College includes a phone number (416-415-2000), TTY number (1-877-515-5559), and email address (ask.george@georgebrown.ca).
- The college has a social media hub.
- The text mentions ""Library News & Services"" and encourages sign up for updates about application deadlines, college news, upcoming events, and tours.
- The information on the website is subject to change without notice.
- Students are responsible for verifying George Brown College fee requirements.",What is the effective date of the changes to the LLC Laptop Loan Policy?
1,511b70d4-2a33-4932-b877-1e0f54e26d81," The text does not contain any specific information related to programs offered by George Brown College. However, I can extract the following factual information:

- Changes to LLC Laptop Loan Policy were made on December 18, 2023.
- Interlibrary loans are usually provided for free, but additional charges from lending agencies will be discussed with students.
- Contact information for George Brown College includes a phone number (416-415-2000), TTY number (1-877-515-5559), and email address (ask.george@georgebrown.ca).
- The college has a social media hub.
- The text mentions ""Library News & Services"" and encourages sign up for updates about application deadlines, college news, upcoming events, and tours.
- The information on the website is subject to change without notice.
- Students are responsible for verifying George Brown College fee requirements.",", How much do additional charges for interlibrary loans typically cost?"
2,511b70d4-2a33-4932-b877-1e0f54e26d81," The text does not contain any specific information related to programs offered by George Brown College. However, I can extract the following factual information:

- Changes to LLC Laptop Loan Policy were made on December 18, 2023.
- Interlibrary loans are usually provided for free, but additional charges from lending agencies will be discussed with students.
- Contact information for George Brown College includes a phone number (416-415-2000), TTY number (1-877-515-5559), and email address (ask.george@georgebrown.ca).
- The college has a social media hub.
- The text mentions ""Library News & Services"" and encourages sign up for updates about application deadlines, college news, upcoming events, and tours.
- The information on the website is subject to change without notice.
- Students are responsible for verifying George Brown College fee requirements.",", What is the phone number for George Brown College information desk?"
3,511b70d4-2a33-4932-b877-1e0f54e26d81," The text does not contain any specific information related to programs offered by George Brown College. However, I can extract the following factual information:

- Changes to LLC Laptop Loan Policy were made on December 18, 2023.
- Interlibrary loans are usually provided for free, but additional charges from lending agencies will be discussed with students.
- Contact information for George Brown College includes a phone number (416-415-2000), TTY number (1-877-515-5559), and email address (ask.george@georgebrown.ca).
- The college has a social media hub.
- The text mentions ""Library News & Services"" and encourages sign up for updates about application deadlines, college news, upcoming events, and tours.
- The information on the website is subject to change without notice.
- Students are responsible for verifying George Brown College fee requirements.",", What is the TTY number for students with hearing impairments to contact George Brown College?"
4,511b70d4-2a33-4932-b877-1e0f54e26d81," The text does not contain any specific information related to programs offered by George Brown College. However, I can extract the following factual information:

- Changes to LLC Laptop Loan Policy were made on December 18, 2023.
- Interlibrary loans are usually provided for free, but additional charges from lending agencies will be discussed with students.
- Contact information for George Brown College includes a phone number (416-415-2000), TTY number (1-877-515-5559), and email address (ask.george@georgebrown.ca).
- The college has a social media hub.
- The text mentions ""Library News & Services"" and encourages sign up for updates about application deadlines, college news, upcoming events, and tours.
- The information on the website is subject to change without notice.
- Students are responsible for verifying George Brown College fee requirements.",", What email address should students use to inquire about college-related matters?"
5,511b70d4-2a33-4932-b877-1e0f54e26d81," The text does not contain any specific information related to programs offered by George Brown College. However, I can extract the following factual information:

- Changes to LLC Laptop Loan Policy were made on December 18, 2023.
- Interlibrary loans are usually provided for free, but additional charges from lending agencies will be discussed with students.
- Contact information for George Brown College includes a phone number (416-415-2000), TTY number (1-877-515-5559), and email address (ask.george@georgebrown.ca).
- The college has a social media hub.
- The text mentions ""Library News & Services"" and encourages sign up for updates about application deadlines, college news, upcoming events, and tours.
- The information on the website is subject to change without notice.
- Students are responsible for verifying George Brown College fee requirements.",", Where can students find the social media hub for George Brown College?"
6,511b70d4-2a33-4932-b877-1e0f54e26d81," The text does not contain any specific information related to programs offered by George Brown College. However, I can extract the following factual information:

- Changes to LLC Laptop Loan Policy were made on December 18, 2023.
- Interlibrary loans are usually provided for free, but additional charges from lending agencies will be discussed with students.
- Contact information for George Brown College includes a phone number (416-415-2000), TTY number (1-877-515-5559), and email address (ask.george@georgebrown.ca).
- The college has a social media hub.
- The text mentions ""Library News & Services"" and encourages sign up for updates about application deadlines, college news, upcoming events, and tours.
- The information on the website is subject to change without notice.
- Students are responsible for verifying George Brown College fee requirements.",", Which types of updates will students receive by signing up for ""Library News & Services""?"
7,511b70d4-2a33-4932-b877-1e0f54e26d81," The text does not contain any specific information related to programs offered by George Brown College. However, I can extract the following factual information:

- Changes to LLC Laptop Loan Policy were made on December 18, 2023.
- Interlibrary loans are usually provided for free, but additional charges from lending agencies will be discussed with students.
- Contact information for George Brown College includes a phone number (416-415-2000), TTY number (1-877-515-5559), and email address (ask.george@georgebrown.ca).
- The college has a social media hub.
- The text mentions ""Library News & Services"" and encourages sign up for updates about application deadlines, college news, upcoming events, and tours.
- The information on the website is subject to change without notice.
- Students are responsible for verifying George Brown College fee requirements.",", Can the information on the George Brown College website be relied upon permanently?"
8,511b70d4-2a33-4932-b877-1e0f54e26d81," The text does not contain any specific information related to programs offered by George Brown College. However, I can extract the following factual information:

- Changes to LLC Laptop Loan Policy were made on December 18, 2023.
- Interlibrary loans are usually provided for free, but additional charges from lending agencies will be discussed with students.
- Contact information for George Brown College includes a phone number (416-415-2000), TTY number (1-877-515-5559), and email address (ask.george@georgebrown.ca).
- The college has a social media hub.
- The text mentions ""Library News & Services"" and encourages sign up for updates about application deadlines, college news, upcoming events, and tours.
- The information on the website is subject to change without notice.
- Students are responsible for verifying George Brown College fee requirements.",", How can students verify their fee requirements at George Brown College?"
9,511b70d4-2a33-4932-b877-1e0f54e26d81," The text does not contain any specific information related to programs offered by George Brown College. However, I can extract the following factual information:

- Changes to LLC Laptop Loan Policy were made on December 18, 2023.
- Interlibrary loans are usually provided for free, but additional charges from lending agencies will be discussed with students.
- Contact information for George Brown College includes a phone number (416-415-2000), TTY number (1-877-515-5559), and email address (ask.george@georgebrown.ca).
- The college has a social media hub.
- The text mentions ""Library News & Services"" and encourages sign up for updates about application deadlines, college news, upcoming events, and tours.
- The information on the website is subject to change without notice.
- Students are responsible for verifying George Brown College fee requirements.",?
