,contextId,context,question
0,06543f04-5802-41eb-9c50-a125e7f804f9," The text provides information about the benefits of pursuing a career-focused Honours Bachelor degree at George Brown College. Some of the mentioned advantages include smaller class sizes, experienced professors, work-integrated learning opportunities, and networking with potential employers. The college offers bridging programs for students who lack certain U-Level credits or wish to upgrade diplomas or transfer to other colleges or universities. Additionally, applicants can sign up for updates about application deadlines, campus news, events, and tours. The contact information provided is the phone number 416-415-2000, TTY number 1-877-515-5559, and email address ask.george@georgebrown.ca.

Information extracted:
- Smaller class sizes
- Experienced professors
- Work-integrated learning opportunities
- Networking with potential employers
- Bridging programs for missing U-Level credits or upgrading diplomas
- Sign up for application deadlines, campus news, events, and tours updates
- Contact information: 416-415-2000 (phone number), 1-877-515-5559 (TTY number), ask.george@georgbrown.ca (email address).",1. What are the advantages of pursuing a career-focused Honours Bachelor degree at George Brown College?
1,06543f04-5802-41eb-9c50-a125e7f804f9," The text provides information about the benefits of pursuing a career-focused Honours Bachelor degree at George Brown College. Some of the mentioned advantages include smaller class sizes, experienced professors, work-integrated learning opportunities, and networking with potential employers. The college offers bridging programs for students who lack certain U-Level credits or wish to upgrade diplomas or transfer to other colleges or universities. Additionally, applicants can sign up for updates about application deadlines, campus news, events, and tours. The contact information provided is the phone number 416-415-2000, TTY number 1-877-515-5559, and email address ask.george@georgebrown.ca.

Information extracted:
- Smaller class sizes
- Experienced professors
- Work-integrated learning opportunities
- Networking with potential employers
- Bridging programs for missing U-Level credits or upgrading diplomas
- Sign up for application deadlines, campus news, events, and tours updates
- Contact information: 416-415-2000 (phone number), 1-877-515-5559 (TTY number), ask.george@georgbrown.ca (email address).",2. How does the college ensure smaller class sizes?
2,06543f04-5802-41eb-9c50-a125e7f804f9," The text provides information about the benefits of pursuing a career-focused Honours Bachelor degree at George Brown College. Some of the mentioned advantages include smaller class sizes, experienced professors, work-integrated learning opportunities, and networking with potential employers. The college offers bridging programs for students who lack certain U-Level credits or wish to upgrade diplomas or transfer to other colleges or universities. Additionally, applicants can sign up for updates about application deadlines, campus news, events, and tours. The contact information provided is the phone number 416-415-2000, TTY number 1-877-515-5559, and email address ask.george@georgebrown.ca.

Information extracted:
- Smaller class sizes
- Experienced professors
- Work-integrated learning opportunities
- Networking with potential employers
- Bridging programs for missing U-Level credits or upgrading diplomas
- Sign up for application deadlines, campus news, events, and tours updates
- Contact information: 416-415-2000 (phone number), 1-877-515-5559 (TTY number), ask.george@georgbrown.ca (email address).",3. Who teaches the classes in a career-focused Honours Bachelor degree program at George Brown College?
3,06543f04-5802-41eb-9c50-a125e7f804f9," The text provides information about the benefits of pursuing a career-focused Honours Bachelor degree at George Brown College. Some of the mentioned advantages include smaller class sizes, experienced professors, work-integrated learning opportunities, and networking with potential employers. The college offers bridging programs for students who lack certain U-Level credits or wish to upgrade diplomas or transfer to other colleges or universities. Additionally, applicants can sign up for updates about application deadlines, campus news, events, and tours. The contact information provided is the phone number 416-415-2000, TTY number 1-877-515-5559, and email address ask.george@georgebrown.ca.

Information extracted:
- Smaller class sizes
- Experienced professors
- Work-integrated learning opportunities
- Networking with potential employers
- Bridging programs for missing U-Level credits or upgrading diplomas
- Sign up for application deadlines, campus news, events, and tours updates
- Contact information: 416-415-2000 (phone number), 1-877-515-5559 (TTY number), ask.george@georgbrown.ca (email address).",4. Are there work-integrated learning opportunities available in this degree program?
4,06543f04-5802-41eb-9c50-a125e7f804f9," The text provides information about the benefits of pursuing a career-focused Honours Bachelor degree at George Brown College. Some of the mentioned advantages include smaller class sizes, experienced professors, work-integrated learning opportunities, and networking with potential employers. The college offers bridging programs for students who lack certain U-Level credits or wish to upgrade diplomas or transfer to other colleges or universities. Additionally, applicants can sign up for updates about application deadlines, campus news, events, and tours. The contact information provided is the phone number 416-415-2000, TTY number 1-877-515-5559, and email address ask.george@georgebrown.ca.

Information extracted:
- Smaller class sizes
- Experienced professors
- Work-integrated learning opportunities
- Networking with potential employers
- Bridging programs for missing U-Level credits or upgrading diplomas
- Sign up for application deadlines, campus news, events, and tours updates
- Contact information: 416-415-2000 (phone number), 1-877-515-5559 (TTY number), ask.george@georgbrown.ca (email address).",5. How can networking with potential employers be facilitated through George Brown College?
5,06543f04-5802-41eb-9c50-a125e7f804f9," The text provides information about the benefits of pursuing a career-focused Honours Bachelor degree at George Brown College. Some of the mentioned advantages include smaller class sizes, experienced professors, work-integrated learning opportunities, and networking with potential employers. The college offers bridging programs for students who lack certain U-Level credits or wish to upgrade diplomas or transfer to other colleges or universities. Additionally, applicants can sign up for updates about application deadlines, campus news, events, and tours. The contact information provided is the phone number 416-415-2000, TTY number 1-877-515-5559, and email address ask.george@georgebrown.ca.

Information extracted:
- Smaller class sizes
- Experienced professors
- Work-integrated learning opportunities
- Networking with potential employers
- Bridging programs for missing U-Level credits or upgrading diplomas
- Sign up for application deadlines, campus news, events, and tours updates
- Contact information: 416-415-2000 (phone number), 1-877-515-5559 (TTY number), ask.george@georgbrown.ca (email address).",6. What are bridging programs and how do they benefit students at George Brown College?
6,06543f04-5802-41eb-9c50-a125e7f804f9," The text provides information about the benefits of pursuing a career-focused Honours Bachelor degree at George Brown College. Some of the mentioned advantages include smaller class sizes, experienced professors, work-integrated learning opportunities, and networking with potential employers. The college offers bridging programs for students who lack certain U-Level credits or wish to upgrade diplomas or transfer to other colleges or universities. Additionally, applicants can sign up for updates about application deadlines, campus news, events, and tours. The contact information provided is the phone number 416-415-2000, TTY number 1-877-515-5559, and email address ask.george@georgebrown.ca.

Information extracted:
- Smaller class sizes
- Experienced professors
- Work-integrated learning opportunities
- Networking with potential employers
- Bridging programs for missing U-Level credits or upgrading diplomas
- Sign up for application deadlines, campus news, events, and tours updates
- Contact information: 416-415-2000 (phone number), 1-877-515-5559 (TTY number), ask.george@georgbrown.ca (email address).","7. In which ways can applicants stay updated about application deadlines, campus news, events, and tours?"
7,06543f04-5802-41eb-9c50-a125e7f804f9," The text provides information about the benefits of pursuing a career-focused Honours Bachelor degree at George Brown College. Some of the mentioned advantages include smaller class sizes, experienced professors, work-integrated learning opportunities, and networking with potential employers. The college offers bridging programs for students who lack certain U-Level credits or wish to upgrade diplomas or transfer to other colleges or universities. Additionally, applicants can sign up for updates about application deadlines, campus news, events, and tours. The contact information provided is the phone number 416-415-2000, TTY number 1-877-515-5559, and email address ask.george@georgebrown.ca.

Information extracted:
- Smaller class sizes
- Experienced professors
- Work-integrated learning opportunities
- Networking with potential employers
- Bridging programs for missing U-Level credits or upgrading diplomas
- Sign up for application deadlines, campus news, events, and tours updates
- Contact information: 416-415-2000 (phone number), 1-877-515-5559 (TTY number), ask.george@georgbrown.ca (email address).",8. What is the phone number for inquiries at George Brown College?
8,06543f04-5802-41eb-9c50-a125e7f804f9," The text provides information about the benefits of pursuing a career-focused Honours Bachelor degree at George Brown College. Some of the mentioned advantages include smaller class sizes, experienced professors, work-integrated learning opportunities, and networking with potential employers. The college offers bridging programs for students who lack certain U-Level credits or wish to upgrade diplomas or transfer to other colleges or universities. Additionally, applicants can sign up for updates about application deadlines, campus news, events, and tours. The contact information provided is the phone number 416-415-2000, TTY number 1-877-515-5559, and email address ask.george@georgebrown.ca.

Information extracted:
- Smaller class sizes
- Experienced professors
- Work-integrated learning opportunities
- Networking with potential employers
- Bridging programs for missing U-Level credits or upgrading diplomas
- Sign up for application deadlines, campus news, events, and tours updates
- Contact information: 416-415-2000 (phone number), 1-877-515-5559 (TTY number), ask.george@georgbrown.ca (email address).",9. What is the TTY number for individuals with hearing impairments to contact George Brown College?
9,06543f04-5802-41eb-9c50-a125e7f804f9," The text provides information about the benefits of pursuing a career-focused Honours Bachelor degree at George Brown College. Some of the mentioned advantages include smaller class sizes, experienced professors, work-integrated learning opportunities, and networking with potential employers. The college offers bridging programs for students who lack certain U-Level credits or wish to upgrade diplomas or transfer to other colleges or universities. Additionally, applicants can sign up for updates about application deadlines, campus news, events, and tours. The contact information provided is the phone number 416-415-2000, TTY number 1-877-515-5559, and email address ask.george@georgebrown.ca.

Information extracted:
- Smaller class sizes
- Experienced professors
- Work-integrated learning opportunities
- Networking with potential employers
- Bridging programs for missing U-Level credits or upgrading diplomas
- Sign up for application deadlines, campus news, events, and tours updates
- Contact information: 416-415-2000 (phone number), 1-877-515-5559 (TTY number), ask.george@georgbrown.ca (email address).",10. How can one send an email inquiry to George Brown College?
