,contextId,context,question
0,38d779c3-05c7-4c16-a1bf-c89acb6c7cad," * Transfer credits will be considered for institutions outside Canada.
* Evaluations can be obtained through undisclosed methods.
* Application process for credential assessment should begin early, providing 2-3 months prior to transfer credit application deadline.
* Education verification from Chinese institutions may be delayed, recommended early start for evaluation process for Spring and Fall applicants.
* Credential evaluations obtained for Citizenship and Immigration Canada are not accepted for transfer credit applications.
* Course outline attachment required for each course applying for assessment as equivalent to a George Brown College course.
* Translation of non-English course outlines needed if not in English.
* Prior Learning and Assessment Recognition (PLAR) considered for courses where no course outline is available.
* All applications for transfer credit must be submitted through Stu-view.
* Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca, Social Media Hub.
* Application deadlines, college news, upcoming events, tours and more can be signed up for on the website.",* What institutions' transfer credits will be considered outside Canada?
1,38d779c3-05c7-4c16-a1bf-c89acb6c7cad," * Transfer credits will be considered for institutions outside Canada.
* Evaluations can be obtained through undisclosed methods.
* Application process for credential assessment should begin early, providing 2-3 months prior to transfer credit application deadline.
* Education verification from Chinese institutions may be delayed, recommended early start for evaluation process for Spring and Fall applicants.
* Credential evaluations obtained for Citizenship and Immigration Canada are not accepted for transfer credit applications.
* Course outline attachment required for each course applying for assessment as equivalent to a George Brown College course.
* Translation of non-English course outlines needed if not in English.
* Prior Learning and Assessment Recognition (PLAR) considered for courses where no course outline is available.
* All applications for transfer credit must be submitted through Stu-view.
* Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca, Social Media Hub.
* Application deadlines, college news, upcoming events, tours and more can be signed up for on the website.",", How are evaluations obtained through undisclosed methods?"
2,38d779c3-05c7-4c16-a1bf-c89acb6c7cad," * Transfer credits will be considered for institutions outside Canada.
* Evaluations can be obtained through undisclosed methods.
* Application process for credential assessment should begin early, providing 2-3 months prior to transfer credit application deadline.
* Education verification from Chinese institutions may be delayed, recommended early start for evaluation process for Spring and Fall applicants.
* Credential evaluations obtained for Citizenship and Immigration Canada are not accepted for transfer credit applications.
* Course outline attachment required for each course applying for assessment as equivalent to a George Brown College course.
* Translation of non-English course outlines needed if not in English.
* Prior Learning and Assessment Recognition (PLAR) considered for courses where no course outline is available.
* All applications for transfer credit must be submitted through Stu-view.
* Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca, Social Media Hub.
* Application deadlines, college news, upcoming events, tours and more can be signed up for on the website.",", When should application process for credential assessment begin?"
3,38d779c3-05c7-4c16-a1bf-c89acb6c7cad," * Transfer credits will be considered for institutions outside Canada.
* Evaluations can be obtained through undisclosed methods.
* Application process for credential assessment should begin early, providing 2-3 months prior to transfer credit application deadline.
* Education verification from Chinese institutions may be delayed, recommended early start for evaluation process for Spring and Fall applicants.
* Credential evaluations obtained for Citizenship and Immigration Canada are not accepted for transfer credit applications.
* Course outline attachment required for each course applying for assessment as equivalent to a George Brown College course.
* Translation of non-English course outlines needed if not in English.
* Prior Learning and Assessment Recognition (PLAR) considered for courses where no course outline is available.
* All applications for transfer credit must be submitted through Stu-view.
* Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca, Social Media Hub.
* Application deadlines, college news, upcoming events, tours and more can be signed up for on the website.",", How long may education verification from Chinese institutions take?"
4,38d779c3-05c7-4c16-a1bf-c89acb6c7cad," * Transfer credits will be considered for institutions outside Canada.
* Evaluations can be obtained through undisclosed methods.
* Application process for credential assessment should begin early, providing 2-3 months prior to transfer credit application deadline.
* Education verification from Chinese institutions may be delayed, recommended early start for evaluation process for Spring and Fall applicants.
* Credential evaluations obtained for Citizenship and Immigration Canada are not accepted for transfer credit applications.
* Course outline attachment required for each course applying for assessment as equivalent to a George Brown College course.
* Translation of non-English course outlines needed if not in English.
* Prior Learning and Assessment Recognition (PLAR) considered for courses where no course outline is available.
* All applications for transfer credit must be submitted through Stu-view.
* Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca, Social Media Hub.
* Application deadlines, college news, upcoming events, tours and more can be signed up for on the website.",", Are evaluations obtained for Citizenship and Immigration Canada accepted for transfer credit applications?"
5,38d779c3-05c7-4c16-a1bf-c89acb6c7cad," * Transfer credits will be considered for institutions outside Canada.
* Evaluations can be obtained through undisclosed methods.
* Application process for credential assessment should begin early, providing 2-3 months prior to transfer credit application deadline.
* Education verification from Chinese institutions may be delayed, recommended early start for evaluation process for Spring and Fall applicants.
* Credential evaluations obtained for Citizenship and Immigration Canada are not accepted for transfer credit applications.
* Course outline attachment required for each course applying for assessment as equivalent to a George Brown College course.
* Translation of non-English course outlines needed if not in English.
* Prior Learning and Assessment Recognition (PLAR) considered for courses where no course outline is available.
* All applications for transfer credit must be submitted through Stu-view.
* Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca, Social Media Hub.
* Application deadlines, college news, upcoming events, tours and more can be signed up for on the website.",", What attachment is required for each course applying for assessment?"
6,38d779c3-05c7-4c16-a1bf-c89acb6c7cad," * Transfer credits will be considered for institutions outside Canada.
* Evaluations can be obtained through undisclosed methods.
* Application process for credential assessment should begin early, providing 2-3 months prior to transfer credit application deadline.
* Education verification from Chinese institutions may be delayed, recommended early start for evaluation process for Spring and Fall applicants.
* Credential evaluations obtained for Citizenship and Immigration Canada are not accepted for transfer credit applications.
* Course outline attachment required for each course applying for assessment as equivalent to a George Brown College course.
* Translation of non-English course outlines needed if not in English.
* Prior Learning and Assessment Recognition (PLAR) considered for courses where no course outline is available.
* All applications for transfer credit must be submitted through Stu-view.
* Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca, Social Media Hub.
* Application deadlines, college news, upcoming events, tours and more can be signed up for on the website.",", What's needed if course outlines are not in English?"
7,38d779c3-05c7-4c16-a1bf-c89acb6c7cad," * Transfer credits will be considered for institutions outside Canada.
* Evaluations can be obtained through undisclosed methods.
* Application process for credential assessment should begin early, providing 2-3 months prior to transfer credit application deadline.
* Education verification from Chinese institutions may be delayed, recommended early start for evaluation process for Spring and Fall applicants.
* Credential evaluations obtained for Citizenship and Immigration Canada are not accepted for transfer credit applications.
* Course outline attachment required for each course applying for assessment as equivalent to a George Brown College course.
* Translation of non-English course outlines needed if not in English.
* Prior Learning and Assessment Recognition (PLAR) considered for courses where no course outline is available.
* All applications for transfer credit must be submitted through Stu-view.
* Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca, Social Media Hub.
* Application deadlines, college news, upcoming events, tours and more can be signed up for on the website.",", Is Prior Learning and Assessment Recognition (PLAR) considered for courses without course outlines?"
8,38d779c3-05c7-4c16-a1bf-c89acb6c7cad," * Transfer credits will be considered for institutions outside Canada.
* Evaluations can be obtained through undisclosed methods.
* Application process for credential assessment should begin early, providing 2-3 months prior to transfer credit application deadline.
* Education verification from Chinese institutions may be delayed, recommended early start for evaluation process for Spring and Fall applicants.
* Credential evaluations obtained for Citizenship and Immigration Canada are not accepted for transfer credit applications.
* Course outline attachment required for each course applying for assessment as equivalent to a George Brown College course.
* Translation of non-English course outlines needed if not in English.
* Prior Learning and Assessment Recognition (PLAR) considered for courses where no course outline is available.
* All applications for transfer credit must be submitted through Stu-view.
* Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca, Social Media Hub.
* Application deadlines, college news, upcoming events, tours and more can be signed up for on the website.",", How should all applications for transfer credit be submitted?"
9,38d779c3-05c7-4c16-a1bf-c89acb6c7cad," * Transfer credits will be considered for institutions outside Canada.
* Evaluations can be obtained through undisclosed methods.
* Application process for credential assessment should begin early, providing 2-3 months prior to transfer credit application deadline.
* Education verification from Chinese institutions may be delayed, recommended early start for evaluation process for Spring and Fall applicants.
* Credential evaluations obtained for Citizenship and Immigration Canada are not accepted for transfer credit applications.
* Course outline attachment required for each course applying for assessment as equivalent to a George Brown College course.
* Translation of non-English course outlines needed if not in English.
* Prior Learning and Assessment Recognition (PLAR) considered for courses where no course outline is available.
* All applications for transfer credit must be submitted through Stu-view.
* Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca, Social Media Hub.
* Application deadlines, college news, upcoming events, tours and more can be signed up for on the website.",", What are the contact details for George Brown College regarding transfer credit applications?"
