,contextId,context,question
0,49d4e116-34f4-45fd-b21a-026b7e887c6b," The FAQ text does not provide any specific information related to programs offered by George Brown College. Here are the factual information and entities extracted from the text:

1. The FAQ menu provides answers to frequently asked questions.
2. GBC does not have a preferred vendors list for any commodity or service, but they do have Vendors of Record (VORs) for Architects, General Contractors, Search Firms, and Consultants.
3. All other requirements are tendered on an as-needed basis.
4. GBC uses Bonfire exclusively for all tender bids.
5. To learn more about land acknowledgment, sign up to be kept in the loop about application deadlines, college news, upcoming events, tours, and more.
6. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.
7. Social Media Hub is available for visit.
8. The information contained in the website is subject to change without notice and should not be viewed as a representation, offer, or warranty.
9. Students are responsible for verifying George Brown College fee requirements.",1. What is the role of the FAQ menu in providing answers to frequently asked questions?
1,49d4e116-34f4-45fd-b21a-026b7e887c6b," The FAQ text does not provide any specific information related to programs offered by George Brown College. Here are the factual information and entities extracted from the text:

1. The FAQ menu provides answers to frequently asked questions.
2. GBC does not have a preferred vendors list for any commodity or service, but they do have Vendors of Record (VORs) for Architects, General Contractors, Search Firms, and Consultants.
3. All other requirements are tendered on an as-needed basis.
4. GBC uses Bonfire exclusively for all tender bids.
5. To learn more about land acknowledgment, sign up to be kept in the loop about application deadlines, college news, upcoming events, tours, and more.
6. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.
7. Social Media Hub is available for visit.
8. The information contained in the website is subject to change without notice and should not be viewed as a representation, offer, or warranty.
9. Students are responsible for verifying George Brown College fee requirements.",", 
2. Who are the Vendors of Record (VORs) for at George Brown College (GBC) in the fields of Architects, General Contractors, Search Firms, and Consultants?"
2,49d4e116-34f4-45fd-b21a-026b7e887c6b," The FAQ text does not provide any specific information related to programs offered by George Brown College. Here are the factual information and entities extracted from the text:

1. The FAQ menu provides answers to frequently asked questions.
2. GBC does not have a preferred vendors list for any commodity or service, but they do have Vendors of Record (VORs) for Architects, General Contractors, Search Firms, and Consultants.
3. All other requirements are tendered on an as-needed basis.
4. GBC uses Bonfire exclusively for all tender bids.
5. To learn more about land acknowledgment, sign up to be kept in the loop about application deadlines, college news, upcoming events, tours, and more.
6. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.
7. Social Media Hub is available for visit.
8. The information contained in the website is subject to change without notice and should not be viewed as a representation, offer, or warranty.
9. Students are responsible for verifying George Brown College fee requirements.",",
3. How are all other requirements tendered at GBC?"
3,49d4e116-34f4-45fd-b21a-026b7e887c6b," The FAQ text does not provide any specific information related to programs offered by George Brown College. Here are the factual information and entities extracted from the text:

1. The FAQ menu provides answers to frequently asked questions.
2. GBC does not have a preferred vendors list for any commodity or service, but they do have Vendors of Record (VORs) for Architects, General Contractors, Search Firms, and Consultants.
3. All other requirements are tendered on an as-needed basis.
4. GBC uses Bonfire exclusively for all tender bids.
5. To learn more about land acknowledgment, sign up to be kept in the loop about application deadlines, college news, upcoming events, tours, and more.
6. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.
7. Social Media Hub is available for visit.
8. The information contained in the website is subject to change without notice and should not be viewed as a representation, offer, or warranty.
9. Students are responsible for verifying George Brown College fee requirements.",",
4. Which platform is exclusively used by GBC for tender bids?"
4,49d4e116-34f4-45fd-b21a-026b7e887c6b," The FAQ text does not provide any specific information related to programs offered by George Brown College. Here are the factual information and entities extracted from the text:

1. The FAQ menu provides answers to frequently asked questions.
2. GBC does not have a preferred vendors list for any commodity or service, but they do have Vendors of Record (VORs) for Architects, General Contractors, Search Firms, and Consultants.
3. All other requirements are tendered on an as-needed basis.
4. GBC uses Bonfire exclusively for all tender bids.
5. To learn more about land acknowledgment, sign up to be kept in the loop about application deadlines, college news, upcoming events, tours, and more.
6. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.
7. Social Media Hub is available for visit.
8. The information contained in the website is subject to change without notice and should not be viewed as a representation, offer, or warranty.
9. Students are responsible for verifying George Brown College fee requirements.",",
5. How can one learn more about land acknowledgation and stay updated with application deadlines, college news, upcoming events, tours, and more?"
5,49d4e116-34f4-45fd-b21a-026b7e887c6b," The FAQ text does not provide any specific information related to programs offered by George Brown College. Here are the factual information and entities extracted from the text:

1. The FAQ menu provides answers to frequently asked questions.
2. GBC does not have a preferred vendors list for any commodity or service, but they do have Vendors of Record (VORs) for Architects, General Contractors, Search Firms, and Consultants.
3. All other requirements are tendered on an as-needed basis.
4. GBC uses Bonfire exclusively for all tender bids.
5. To learn more about land acknowledgment, sign up to be kept in the loop about application deadlines, college news, upcoming events, tours, and more.
6. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.
7. Social Media Hub is available for visit.
8. The information contained in the website is subject to change without notice and should not be viewed as a representation, offer, or warranty.
9. Students are responsible for verifying George Brown College fee requirements.",",
6. What is the contact information for George Brown College (GBC)?"
6,49d4e116-34f4-45fd-b21a-026b7e887c6b," The FAQ text does not provide any specific information related to programs offered by George Brown College. Here are the factual information and entities extracted from the text:

1. The FAQ menu provides answers to frequently asked questions.
2. GBC does not have a preferred vendors list for any commodity or service, but they do have Vendors of Record (VORs) for Architects, General Contractors, Search Firms, and Consultants.
3. All other requirements are tendered on an as-needed basis.
4. GBC uses Bonfire exclusively for all tender bids.
5. To learn more about land acknowledgment, sign up to be kept in the loop about application deadlines, college news, upcoming events, tours, and more.
6. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.
7. Social Media Hub is available for visit.
8. The information contained in the website is subject to change without notice and should not be viewed as a representation, offer, or warranty.
9. Students are responsible for verifying George Brown College fee requirements.","(Include TTY number),
7. Where can one find the Social Media Hub at GBC?"
7,49d4e116-34f4-45fd-b21a-026b7e887c6b," The FAQ text does not provide any specific information related to programs offered by George Brown College. Here are the factual information and entities extracted from the text:

1. The FAQ menu provides answers to frequently asked questions.
2. GBC does not have a preferred vendors list for any commodity or service, but they do have Vendors of Record (VORs) for Architects, General Contractors, Search Firms, and Consultants.
3. All other requirements are tendered on an as-needed basis.
4. GBC uses Bonfire exclusively for all tender bids.
5. To learn more about land acknowledgment, sign up to be kept in the loop about application deadlines, college news, upcoming events, tours, and more.
6. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.
7. Social Media Hub is available for visit.
8. The information contained in the website is subject to change without notice and should not be viewed as a representation, offer, or warranty.
9. Students are responsible for verifying George Brown College fee requirements.",",
8. Is the information on the website subject to change without notice?"
8,49d4e116-34f4-45fd-b21a-026b7e887c6b," The FAQ text does not provide any specific information related to programs offered by George Brown College. Here are the factual information and entities extracted from the text:

1. The FAQ menu provides answers to frequently asked questions.
2. GBC does not have a preferred vendors list for any commodity or service, but they do have Vendors of Record (VORs) for Architects, General Contractors, Search Firms, and Consultants.
3. All other requirements are tendered on an as-needed basis.
4. GBC uses Bonfire exclusively for all tender bids.
5. To learn more about land acknowledgment, sign up to be kept in the loop about application deadlines, college news, upcoming events, tours, and more.
6. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.
7. Social Media Hub is available for visit.
8. The information contained in the website is subject to change without notice and should not be viewed as a representation, offer, or warranty.
9. Students are responsible for verifying George Brown College fee requirements.","If yes, in what sense?"
9,49d4e116-34f4-45fd-b21a-026b7e887c6b," The FAQ text does not provide any specific information related to programs offered by George Brown College. Here are the factual information and entities extracted from the text:

1. The FAQ menu provides answers to frequently asked questions.
2. GBC does not have a preferred vendors list for any commodity or service, but they do have Vendors of Record (VORs) for Architects, General Contractors, Search Firms, and Consultants.
3. All other requirements are tendered on an as-needed basis.
4. GBC uses Bonfire exclusively for all tender bids.
5. To learn more about land acknowledgment, sign up to be kept in the loop about application deadlines, college news, upcoming events, tours, and more.
6. Contact information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca.
7. Social Media Hub is available for visit.
8. The information contained in the website is subject to change without notice and should not be viewed as a representation, offer, or warranty.
9. Students are responsible for verifying George Brown College fee requirements.",",
9. Who are responsible for verifying George Brown College fee requirements?"
