,contextId,context,question
0,310563e6-736c-4bdc-873f-10c8d31fcb90," Extracted Information:

* Legacy Giving refers to making a gift to charity at a future date or through an estate.
* Donors may involve professionals and charities in the process.
* A Legacy Gift can be of any size, designated to a specific program or endowment fund.
* Charitable bequests are distributed assets from estates to charities through a Will.
* Different kinds of bequests include specifying a dollar amount, item, residual portion, contract with the Foundation, transferring securities, naming as beneficiary of life insurance policies or retirement plans, and leaving primary/secondary residence, property, land, or buildings to the Foundation.
* George Brown College Foundation can be involved in Legacy Gifts.
* Donors are recommended to consult family, friends, and professional advisors before making a Legacy Gift.
* Contact the Foundation to let them know of the gift.
* Specific entities mentioned: George Brown College Foundation.",1. What role do professionals play in the process of making a Legacy Gift?
1,310563e6-736c-4bdc-873f-10c8d31fcb90," Extracted Information:

* Legacy Giving refers to making a gift to charity at a future date or through an estate.
* Donors may involve professionals and charities in the process.
* A Legacy Gift can be of any size, designated to a specific program or endowment fund.
* Charitable bequests are distributed assets from estates to charities through a Will.
* Different kinds of bequests include specifying a dollar amount, item, residual portion, contract with the Foundation, transferring securities, naming as beneficiary of life insurance policies or retirement plans, and leaving primary/secondary residence, property, land, or buildings to the Foundation.
* George Brown College Foundation can be involved in Legacy Gifts.
* Donors are recommended to consult family, friends, and professional advisors before making a Legacy Gift.
* Contact the Foundation to let them know of the gift.
* Specific entities mentioned: George Brown College Foundation.",2. In what ways can donors designate their Legacy Gifts?
2,310563e6-736c-4bdc-873f-10c8d31fcb90," Extracted Information:

* Legacy Giving refers to making a gift to charity at a future date or through an estate.
* Donors may involve professionals and charities in the process.
* A Legacy Gift can be of any size, designated to a specific program or endowment fund.
* Charitable bequests are distributed assets from estates to charities through a Will.
* Different kinds of bequests include specifying a dollar amount, item, residual portion, contract with the Foundation, transferring securities, naming as beneficiary of life insurance policies or retirement plans, and leaving primary/secondary residence, property, land, or buildings to the Foundation.
* George Brown College Foundation can be involved in Legacy Gifts.
* Donors are recommended to consult family, friends, and professional advisors before making a Legacy Gift.
* Contact the Foundation to let them know of the gift.
* Specific entities mentioned: George Brown College Foundation.",3. How are charitable bequests distributed to charities?
3,310563e6-736c-4bdc-873f-10c8d31fcb90," Extracted Information:

* Legacy Giving refers to making a gift to charity at a future date or through an estate.
* Donors may involve professionals and charities in the process.
* A Legacy Gift can be of any size, designated to a specific program or endowment fund.
* Charitable bequests are distributed assets from estates to charities through a Will.
* Different kinds of bequests include specifying a dollar amount, item, residual portion, contract with the Foundation, transferring securities, naming as beneficiary of life insurance policies or retirement plans, and leaving primary/secondary residence, property, land, or buildings to the Foundation.
* George Brown College Foundation can be involved in Legacy Gifts.
* Donors are recommended to consult family, friends, and professional advisors before making a Legacy Gift.
* Contact the Foundation to let them know of the gift.
* Specific entities mentioned: George Brown College Foundation.",4. Can George Brown College Foundation be involved in making a Legacy Gift?
4,310563e6-736c-4bdc-873f-10c8d31fcb90," Extracted Information:

* Legacy Giving refers to making a gift to charity at a future date or through an estate.
* Donors may involve professionals and charities in the process.
* A Legacy Gift can be of any size, designated to a specific program or endowment fund.
* Charitable bequests are distributed assets from estates to charities through a Will.
* Different kinds of bequests include specifying a dollar amount, item, residual portion, contract with the Foundation, transferring securities, naming as beneficiary of life insurance policies or retirement plans, and leaving primary/secondary residence, property, land, or buildings to the Foundation.
* George Brown College Foundation can be involved in Legacy Gifts.
* Donors are recommended to consult family, friends, and professional advisors before making a Legacy Gift.
* Contact the Foundation to let them know of the gift.
* Specific entities mentioned: George Brown College Foundation.",5. Who should donors consult before making a Legacy Gift?
5,310563e6-736c-4bdc-873f-10c8d31fcb90," Extracted Information:

* Legacy Giving refers to making a gift to charity at a future date or through an estate.
* Donors may involve professionals and charities in the process.
* A Legacy Gift can be of any size, designated to a specific program or endowment fund.
* Charitable bequests are distributed assets from estates to charities through a Will.
* Different kinds of bequests include specifying a dollar amount, item, residual portion, contract with the Foundation, transferring securities, naming as beneficiary of life insurance policies or retirement plans, and leaving primary/secondary residence, property, land, or buildings to the Foundation.
* George Brown College Foundation can be involved in Legacy Gifts.
* Donors are recommended to consult family, friends, and professional advisors before making a Legacy Gift.
* Contact the Foundation to let them know of the gift.
* Specific entities mentioned: George Brown College Foundation.",6. What different types of bequests can donors make?
6,310563e6-736c-4bdc-873f-10c8d31fcb90," Extracted Information:

* Legacy Giving refers to making a gift to charity at a future date or through an estate.
* Donors may involve professionals and charities in the process.
* A Legacy Gift can be of any size, designated to a specific program or endowment fund.
* Charitable bequests are distributed assets from estates to charities through a Will.
* Different kinds of bequests include specifying a dollar amount, item, residual portion, contract with the Foundation, transferring securities, naming as beneficiary of life insurance policies or retirement plans, and leaving primary/secondary residence, property, land, or buildings to the Foundation.
* George Brown College Foundation can be involved in Legacy Gifts.
* Donors are recommended to consult family, friends, and professional advisors before making a Legacy Gift.
* Contact the Foundation to let them know of the gift.
* Specific entities mentioned: George Brown College Foundation.",7. How can donors transfer securities as a Legacy Gift?
7,310563e6-736c-4bdc-873f-10c8d31fcb90," Extracted Information:

* Legacy Giving refers to making a gift to charity at a future date or through an estate.
* Donors may involve professionals and charities in the process.
* A Legacy Gift can be of any size, designated to a specific program or endowment fund.
* Charitable bequests are distributed assets from estates to charities through a Will.
* Different kinds of bequests include specifying a dollar amount, item, residual portion, contract with the Foundation, transferring securities, naming as beneficiary of life insurance policies or retirement plans, and leaving primary/secondary residence, property, land, or buildings to the Foundation.
* George Brown College Foundation can be involved in Legacy Gifts.
* Donors are recommended to consult family, friends, and professional advisors before making a Legacy Gift.
* Contact the Foundation to let them know of the gift.
* Specific entities mentioned: George Brown College Foundation.",8. What is the process for naming George Brown College Foundation as beneficiary of a life insurance policy or retirement plan?
8,310563e6-736c-4bdc-873f-10c8d31fcb90," Extracted Information:

* Legacy Giving refers to making a gift to charity at a future date or through an estate.
* Donors may involve professionals and charities in the process.
* A Legacy Gift can be of any size, designated to a specific program or endowment fund.
* Charitable bequests are distributed assets from estates to charities through a Will.
* Different kinds of bequests include specifying a dollar amount, item, residual portion, contract with the Foundation, transferring securities, naming as beneficiary of life insurance policies or retirement plans, and leaving primary/secondary residence, property, land, or buildings to the Foundation.
* George Brown College Foundation can be involved in Legacy Gifts.
* Donors are recommended to consult family, friends, and professional advisors before making a Legacy Gift.
* Contact the Foundation to let them know of the gift.
* Specific entities mentioned: George Brown College Foundation.",9. Can donors leave their primary or secondary residence to the Foundation as a Legacy Gift?
9,310563e6-736c-4bdc-873f-10c8d31fcb90," Extracted Information:

* Legacy Giving refers to making a gift to charity at a future date or through an estate.
* Donors may involve professionals and charities in the process.
* A Legacy Gift can be of any size, designated to a specific program or endowment fund.
* Charitable bequests are distributed assets from estates to charities through a Will.
* Different kinds of bequests include specifying a dollar amount, item, residual portion, contract with the Foundation, transferring securities, naming as beneficiary of life insurance policies or retirement plans, and leaving primary/secondary residence, property, land, or buildings to the Foundation.
* George Brown College Foundation can be involved in Legacy Gifts.
* Donors are recommended to consult family, friends, and professional advisors before making a Legacy Gift.
* Contact the Foundation to let them know of the gift.
* Specific entities mentioned: George Brown College Foundation.",?
