,contextId,context,question
0,65a74015-b62a-4036-8f8c-6ce61fdced53," The text mentions several areas of study in the Arts and Design field at George Brown College. These include graphic and web design, fashion, home and garden, visual and fine arts, and image consulting, merchandising, jewellery and millinery. The college is located on the traditional territory of the Mississaugas of the Credit First Nation. Students can explore success stories of graduates by browsing a list or visiting the Student Success Stories webpage. The text includes a disclaimer stating that the information contained in the website is subject to change without notice and should not be viewed as a representation, offer or warranty. There is no specific mention of programs or courses offered, years, numbers, emails, or names in the text.",1. In which areas of study does George Brown College offer programs in the Arts and Design field?
1,65a74015-b62a-4036-8f8c-6ce61fdced53," The text mentions several areas of study in the Arts and Design field at George Brown College. These include graphic and web design, fashion, home and garden, visual and fine arts, and image consulting, merchandising, jewellery and millinery. The college is located on the traditional territory of the Mississaugas of the Credit First Nation. Students can explore success stories of graduates by browsing a list or visiting the Student Success Stories webpage. The text includes a disclaimer stating that the information contained in the website is subject to change without notice and should not be viewed as a representation, offer or warranty. There is no specific mention of programs or courses offered, years, numbers, emails, or names in the text.","2. Which subjects does the college cover under the umbrella term ""graphic and web design""?"
2,65a74015-b62a-4036-8f8c-6ce61fdced53," The text mentions several areas of study in the Arts and Design field at George Brown College. These include graphic and web design, fashion, home and garden, visual and fine arts, and image consulting, merchandising, jewellery and millinery. The college is located on the traditional territory of the Mississaugas of the Credit First Nation. Students can explore success stories of graduates by browsing a list or visiting the Student Success Stories webpage. The text includes a disclaimer stating that the information contained in the website is subject to change without notice and should not be viewed as a representation, offer or warranty. There is no specific mention of programs or courses offered, years, numbers, emails, or names in the text.",3. What are some fields of study related to fashion at George Brown College?
3,65a74015-b62a-4036-8f8c-6ce61fdced53," The text mentions several areas of study in the Arts and Design field at George Brown College. These include graphic and web design, fashion, home and garden, visual and fine arts, and image consulting, merchandising, jewellery and millinery. The college is located on the traditional territory of the Mississaugas of the Credit First Nation. Students can explore success stories of graduates by browsing a list or visiting the Student Success Stories webpage. The text includes a disclaimer stating that the information contained in the website is subject to change without notice and should not be viewed as a representation, offer or warranty. There is no specific mention of programs or courses offered, years, numbers, emails, or names in the text.","4. What topics come under the heading ""home and garden"" at the college?"
4,65a74015-b62a-4036-8f8c-6ce61fdced53," The text mentions several areas of study in the Arts and Design field at George Brown College. These include graphic and web design, fashion, home and garden, visual and fine arts, and image consulting, merchandising, jewellery and millinery. The college is located on the traditional territory of the Mississaugas of the Credit First Nation. Students can explore success stories of graduates by browsing a list or visiting the Student Success Stories webpage. The text includes a disclaimer stating that the information contained in the website is subject to change without notice and should not be viewed as a representation, offer or warranty. There is no specific mention of programs or courses offered, years, numbers, emails, or names in the text.",5. In which areas of visual and fine arts does George Brown College provide instruction?
5,65a74015-b62a-4036-8f8c-6ce61fdced53," The text mentions several areas of study in the Arts and Design field at George Brown College. These include graphic and web design, fashion, home and garden, visual and fine arts, and image consulting, merchandising, jewellery and millinery. The college is located on the traditional territory of the Mississaugas of the Credit First Nation. Students can explore success stories of graduates by browsing a list or visiting the Student Success Stories webpage. The text includes a disclaimer stating that the information contained in the website is subject to change without notice and should not be viewed as a representation, offer or warranty. There is no specific mention of programs or courses offered, years, numbers, emails, or names in the text.",6. Which fields of study does the college offer in relation to image consulting?
6,65a74015-b62a-4036-8f8c-6ce61fdced53," The text mentions several areas of study in the Arts and Design field at George Brown College. These include graphic and web design, fashion, home and garden, visual and fine arts, and image consulting, merchandising, jewellery and millinery. The college is located on the traditional territory of the Mississaugas of the Credit First Nation. Students can explore success stories of graduates by browsing a list or visiting the Student Success Stories webpage. The text includes a disclaimer stating that the information contained in the website is subject to change without notice and should not be viewed as a representation, offer or warranty. There is no specific mention of programs or courses offered, years, numbers, emails, or names in the text.","7. Merchandising and jewellery, what are these programs about at George Brown College?"
7,65a74015-b62a-4036-8f8c-6ce61fdced53," The text mentions several areas of study in the Arts and Design field at George Brown College. These include graphic and web design, fashion, home and garden, visual and fine arts, and image consulting, merchandising, jewellery and millinery. The college is located on the traditional territory of the Mississaugas of the Credit First Nation. Students can explore success stories of graduates by browsing a list or visiting the Student Success Stories webpage. The text includes a disclaimer stating that the information contained in the website is subject to change without notice and should not be viewed as a representation, offer or warranty. There is no specific mention of programs or courses offered, years, numbers, emails, or names in the text.","8. Millinery, could you explain what this field involves in the context of the college?"
8,65a74015-b62a-4036-8f8c-6ce61fdced53," The text mentions several areas of study in the Arts and Design field at George Brown College. These include graphic and web design, fashion, home and garden, visual and fine arts, and image consulting, merchandising, jewellery and millinery. The college is located on the traditional territory of the Mississaugas of the Credit First Nation. Students can explore success stories of graduates by browsing a list or visiting the Student Success Stories webpage. The text includes a disclaimer stating that the information contained in the website is subject to change without notice and should not be viewed as a representation, offer or warranty. There is no specific mention of programs or courses offered, years, numbers, emails, or names in the text.",9. Where is George Brown College situated geographically?
9,65a74015-b62a-4036-8f8c-6ce61fdced53," The text mentions several areas of study in the Arts and Design field at George Brown College. These include graphic and web design, fashion, home and garden, visual and fine arts, and image consulting, merchandising, jewellery and millinery. The college is located on the traditional territory of the Mississaugas of the Credit First Nation. Students can explore success stories of graduates by browsing a list or visiting the Student Success Stories webpage. The text includes a disclaimer stating that the information contained in the website is subject to change without notice and should not be viewed as a representation, offer or warranty. There is no specific mention of programs or courses offered, years, numbers, emails, or names in the text.",10. Who is the land on which the college resides traditionally owned by?
