,contextId,context,question
0,f7469247-38a9-4140-9302-78e53aff69f9," Library Contact Information:
- Phone Line Hours: 647-931-1830 (in person support during open hours, online support through GBC Assist during offline hours) and 416-415-5000 x8255 for speaking to a library representative by telephone
- Email: Available 24/7
- Library Help Desk: Submit a support ticket online through GBC Assist or email the Library
- LLC Orientation Materials and Library Events information can be found on the library website

Library Services and Policies:
- The library is always open, online
- Borrowing of Wifi hotspots, iPads, and technology equipment for up to 7 days with two renewals (subject to availability)
- Changes to LLC Laptop Loan Policy: as of Dec 18, 2023, laptop loan period is 8 hours and there will be a limited number of devices available for one-week loans. Continuing Education students are eligible for 8 hour loans, while Centre for Business students may be eligible for longer term loans depending on their course registration. Late fee for laptop late return has been lowered from $5/hr to $1/hr
- Eligibility for long term laptop loans for Centre for Business students: students registered in courses requiring a laptop to participate and complete work are eligible for term-length loans
- VR Lab booking information can be found through the provided link.

Note: Please speak with your instructor or program coordinator to determine eligibility for longer term laptop loans for Centre for Business students.",What are the phone line hours for in person and online library support?
1,f7469247-38a9-4140-9302-78e53aff69f9," Library Contact Information:
- Phone Line Hours: 647-931-1830 (in person support during open hours, online support through GBC Assist during offline hours) and 416-415-5000 x8255 for speaking to a library representative by telephone
- Email: Available 24/7
- Library Help Desk: Submit a support ticket online through GBC Assist or email the Library
- LLC Orientation Materials and Library Events information can be found on the library website

Library Services and Policies:
- The library is always open, online
- Borrowing of Wifi hotspots, iPads, and technology equipment for up to 7 days with two renewals (subject to availability)
- Changes to LLC Laptop Loan Policy: as of Dec 18, 2023, laptop loan period is 8 hours and there will be a limited number of devices available for one-week loans. Continuing Education students are eligible for 8 hour loans, while Centre for Business students may be eligible for longer term loans depending on their course registration. Late fee for laptop late return has been lowered from $5/hr to $1/hr
- Eligibility for long term laptop loans for Centre for Business students: students registered in courses requiring a laptop to participate and complete work are eligible for term-length loans
- VR Lab booking information can be found through the provided link.

Note: Please speak with your instructor or program coordinator to determine eligibility for longer term laptop loans for Centre for Business students.",", Can I submit a support ticket online for library help desk?"
2,f7469247-38a9-4140-9302-78e53aff69f9," Library Contact Information:
- Phone Line Hours: 647-931-1830 (in person support during open hours, online support through GBC Assist during offline hours) and 416-415-5000 x8255 for speaking to a library representative by telephone
- Email: Available 24/7
- Library Help Desk: Submit a support ticket online through GBC Assist or email the Library
- LLC Orientation Materials and Library Events information can be found on the library website

Library Services and Policies:
- The library is always open, online
- Borrowing of Wifi hotspots, iPads, and technology equipment for up to 7 days with two renewals (subject to availability)
- Changes to LLC Laptop Loan Policy: as of Dec 18, 2023, laptop loan period is 8 hours and there will be a limited number of devices available for one-week loans. Continuing Education students are eligible for 8 hour loans, while Centre for Business students may be eligible for longer term loans depending on their course registration. Late fee for laptop late return has been lowered from $5/hr to $1/hr
- Eligibility for long term laptop loans for Centre for Business students: students registered in courses requiring a laptop to participate and complete work are eligible for term-length loans
- VR Lab booking information can be found through the provided link.

Note: Please speak with your instructor or program coordinator to determine eligibility for longer term laptop loans for Centre for Business students.",", What is the email address for the library?"
3,f7469247-38a9-4140-9302-78e53aff69f9," Library Contact Information:
- Phone Line Hours: 647-931-1830 (in person support during open hours, online support through GBC Assist during offline hours) and 416-415-5000 x8255 for speaking to a library representative by telephone
- Email: Available 24/7
- Library Help Desk: Submit a support ticket online through GBC Assist or email the Library
- LLC Orientation Materials and Library Events information can be found on the library website

Library Services and Policies:
- The library is always open, online
- Borrowing of Wifi hotspots, iPads, and technology equipment for up to 7 days with two renewals (subject to availability)
- Changes to LLC Laptop Loan Policy: as of Dec 18, 2023, laptop loan period is 8 hours and there will be a limited number of devices available for one-week loans. Continuing Education students are eligible for 8 hour loans, while Centre for Business students may be eligible for longer term loans depending on their course registration. Late fee for laptop late return has been lowered from $5/hr to $1/hr
- Eligibility for long term laptop loans for Centre for Business students: students registered in courses requiring a laptop to participate and complete work are eligible for term-length loans
- VR Lab booking information can be found through the provided link.

Note: Please speak with your instructor or program coordinator to determine eligibility for longer term laptop loans for Centre for Business students.",", What is the policy for borrowing Wifi hotspots, iPads, and technology equipment?"
4,f7469247-38a9-4140-9302-78e53aff69f9," Library Contact Information:
- Phone Line Hours: 647-931-1830 (in person support during open hours, online support through GBC Assist during offline hours) and 416-415-5000 x8255 for speaking to a library representative by telephone
- Email: Available 24/7
- Library Help Desk: Submit a support ticket online through GBC Assist or email the Library
- LLC Orientation Materials and Library Events information can be found on the library website

Library Services and Policies:
- The library is always open, online
- Borrowing of Wifi hotspots, iPads, and technology equipment for up to 7 days with two renewals (subject to availability)
- Changes to LLC Laptop Loan Policy: as of Dec 18, 2023, laptop loan period is 8 hours and there will be a limited number of devices available for one-week loans. Continuing Education students are eligible for 8 hour loans, while Centre for Business students may be eligible for longer term loans depending on their course registration. Late fee for laptop late return has been lowered from $5/hr to $1/hr
- Eligibility for long term laptop loans for Centre for Business students: students registered in courses requiring a laptop to participate and complete work are eligible for term-length loans
- VR Lab booking information can be found through the provided link.

Note: Please speak with your instructor or program coordinator to determine eligibility for longer term laptop loans for Centre for Business students.",", How long can Centre for Business students borrow laptops as of Dec 18, 2023?"
5,f7469247-38a9-4140-9302-78e53aff69f9," Library Contact Information:
- Phone Line Hours: 647-931-1830 (in person support during open hours, online support through GBC Assist during offline hours) and 416-415-5000 x8255 for speaking to a library representative by telephone
- Email: Available 24/7
- Library Help Desk: Submit a support ticket online through GBC Assist or email the Library
- LLC Orientation Materials and Library Events information can be found on the library website

Library Services and Policies:
- The library is always open, online
- Borrowing of Wifi hotspots, iPads, and technology equipment for up to 7 days with two renewals (subject to availability)
- Changes to LLC Laptop Loan Policy: as of Dec 18, 2023, laptop loan period is 8 hours and there will be a limited number of devices available for one-week loans. Continuing Education students are eligible for 8 hour loans, while Centre for Business students may be eligible for longer term loans depending on their course registration. Late fee for laptop late return has been lowered from $5/hr to $1/hr
- Eligibility for long term laptop loans for Centre for Business students: students registered in courses requiring a laptop to participate and complete work are eligible for term-length loans
- VR Lab booking information can be found through the provided link.

Note: Please speak with your instructor or program coordinator to determine eligibility for longer term laptop loans for Centre for Business students.",", What is the late fee for returning a laptop late?"
6,f7469247-38a9-4140-9302-78e53aff69f9," Library Contact Information:
- Phone Line Hours: 647-931-1830 (in person support during open hours, online support through GBC Assist during offline hours) and 416-415-5000 x8255 for speaking to a library representative by telephone
- Email: Available 24/7
- Library Help Desk: Submit a support ticket online through GBC Assist or email the Library
- LLC Orientation Materials and Library Events information can be found on the library website

Library Services and Policies:
- The library is always open, online
- Borrowing of Wifi hotspots, iPads, and technology equipment for up to 7 days with two renewals (subject to availability)
- Changes to LLC Laptop Loan Policy: as of Dec 18, 2023, laptop loan period is 8 hours and there will be a limited number of devices available for one-week loans. Continuing Education students are eligible for 8 hour loans, while Centre for Business students may be eligible for longer term loans depending on their course registration. Late fee for laptop late return has been lowered from $5/hr to $1/hr
- Eligibility for long term laptop loans for Centre for Business students: students registered in courses requiring a laptop to participate and complete work are eligible for term-length loans
- VR Lab booking information can be found through the provided link.

Note: Please speak with your instructor or program coordinator to determine eligibility for longer term laptop loans for Centre for Business students.",", Who is eligible for term-length laptop loans in the Centre for Business program?"
7,f7469247-38a9-4140-9302-78e53aff69f9," Library Contact Information:
- Phone Line Hours: 647-931-1830 (in person support during open hours, online support through GBC Assist during offline hours) and 416-415-5000 x8255 for speaking to a library representative by telephone
- Email: Available 24/7
- Library Help Desk: Submit a support ticket online through GBC Assist or email the Library
- LLC Orientation Materials and Library Events information can be found on the library website

Library Services and Policies:
- The library is always open, online
- Borrowing of Wifi hotspots, iPads, and technology equipment for up to 7 days with two renewals (subject to availability)
- Changes to LLC Laptop Loan Policy: as of Dec 18, 2023, laptop loan period is 8 hours and there will be a limited number of devices available for one-week loans. Continuing Education students are eligible for 8 hour loans, while Centre for Business students may be eligible for longer term loans depending on their course registration. Late fee for laptop late return has been lowered from $5/hr to $1/hr
- Eligibility for long term laptop loans for Centre for Business students: students registered in courses requiring a laptop to participate and complete work are eligible for term-length loans
- VR Lab booking information can be found through the provided link.

Note: Please speak with your instructor or program coordinator to determine eligibility for longer term laptop loans for Centre for Business students.",", Where can I find information to book the VR Lab?"
8,f7469247-38a9-4140-9302-78e53aff69f9," Library Contact Information:
- Phone Line Hours: 647-931-1830 (in person support during open hours, online support through GBC Assist during offline hours) and 416-415-5000 x8255 for speaking to a library representative by telephone
- Email: Available 24/7
- Library Help Desk: Submit a support ticket online through GBC Assist or email the Library
- LLC Orientation Materials and Library Events information can be found on the library website

Library Services and Policies:
- The library is always open, online
- Borrowing of Wifi hotspots, iPads, and technology equipment for up to 7 days with two renewals (subject to availability)
- Changes to LLC Laptop Loan Policy: as of Dec 18, 2023, laptop loan period is 8 hours and there will be a limited number of devices available for one-week loans. Continuing Education students are eligible for 8 hour loans, while Centre for Business students may be eligible for longer term loans depending on their course registration. Late fee for laptop late return has been lowered from $5/hr to $1/hr
- Eligibility for long term laptop loans for Centre for Business students: students registered in courses requiring a laptop to participate and complete work are eligible for term-length loans
- VR Lab booking information can be found through the provided link.

Note: Please speak with your instructor or program coordinator to determine eligibility for longer term laptop loans for Centre for Business students.",?
9,4dead790-a6dc-430f-b86c-36db74efafd4," The library at George Brown College has introduced a new search and lending system called Page 1+ from College Libraries Ontario (CLO). Users can access Page 1+ through the SEARCH bar on the library homepage. Before accessing resources within the library catalog, users are required to agree to the Acceptable Use Guidelines for Electronic Resources. Instructional videos on how to search for articles and databases are available in the Library Research Video Tutorial Guide. The library also offers a Virtual Reality Lab which can be booked through the link: <https://www.georgebrown.ca/library-learning-commons/services/book-a-vr-lab>.",What is the name of the new search and lending system at George Brown College's library?
