,contextId,context,question
0,ad9df913-4db6-48d4-ad73-1ec11f5bf272," * The text was written by Dr. Gervan Fearon, the President of George Brown College.
* The message reflects on the challenges and accomplishments of 2023 and looks forward to a bright outlook for 2024.
* Construction is taking place on campus for Limberlost Place, expanding the physical footprint of the college.
* There has been leadership on sustainability, housing, accessible education, and other initiatives.
* The community showcased innovation, collaboration, and commitment to student well-being and success.
* A wellness day is scheduled on January 2, 2024.
* There will be employees working throughout the holiday break to keep campuses operational and safe.
* Contact information for George Brown College includes a phone number (416-415-2000), TTY number (1-877-515-5559), email address (ask.george@georgebrown.ca), and social media hub link.
* The college's website contains information subject to change without notice, and students are responsible for verifying fee requirements.",* Who wrote the text about George Brown College's update for 2023 and 2024?
1,ad9df913-4db6-48d4-ad73-1ec11f5bf272," * The text was written by Dr. Gervan Fearon, the President of George Brown College.
* The message reflects on the challenges and accomplishments of 2023 and looks forward to a bright outlook for 2024.
* Construction is taking place on campus for Limberlost Place, expanding the physical footprint of the college.
* There has been leadership on sustainability, housing, accessible education, and other initiatives.
* The community showcased innovation, collaboration, and commitment to student well-being and success.
* A wellness day is scheduled on January 2, 2024.
* There will be employees working throughout the holiday break to keep campuses operational and safe.
* Contact information for George Brown College includes a phone number (416-415-2000), TTY number (1-877-515-5559), email address (ask.george@georgebrown.ca), and social media hub link.
* The college's website contains information subject to change without notice, and students are responsible for verifying fee requirements.",", What initiatives has there been leadership on at George Brown College?"
2,ad9df913-4db6-48d4-ad73-1ec11f5bf272," * The text was written by Dr. Gervan Fearon, the President of George Brown College.
* The message reflects on the challenges and accomplishments of 2023 and looks forward to a bright outlook for 2024.
* Construction is taking place on campus for Limberlost Place, expanding the physical footprint of the college.
* There has been leadership on sustainability, housing, accessible education, and other initiatives.
* The community showcased innovation, collaboration, and commitment to student well-being and success.
* A wellness day is scheduled on January 2, 2024.
* There will be employees working throughout the holiday break to keep campuses operational and safe.
* Contact information for George Brown College includes a phone number (416-415-2000), TTY number (1-877-515-5559), email address (ask.george@georgebrown.ca), and social media hub link.
* The college's website contains information subject to change without notice, and students are responsible for verifying fee requirements.",", Where is construction taking place on campus?"
3,ad9df913-4db6-48d4-ad73-1ec11f5bf272," * The text was written by Dr. Gervan Fearon, the President of George Brown College.
* The message reflects on the challenges and accomplishments of 2023 and looks forward to a bright outlook for 2024.
* Construction is taking place on campus for Limberlost Place, expanding the physical footprint of the college.
* There has been leadership on sustainability, housing, accessible education, and other initiatives.
* The community showcased innovation, collaboration, and commitment to student well-being and success.
* A wellness day is scheduled on January 2, 2024.
* There will be employees working throughout the holiday break to keep campuses operational and safe.
* Contact information for George Brown College includes a phone number (416-415-2000), TTY number (1-877-515-5559), email address (ask.george@georgebrown.ca), and social media hub link.
* The college's website contains information subject to change without notice, and students are responsible for verifying fee requirements.",", What day is scheduled as a wellness day in 2024?"
4,ad9df913-4db6-48d4-ad73-1ec11f5bf272," * The text was written by Dr. Gervan Fearon, the President of George Brown College.
* The message reflects on the challenges and accomplishments of 2023 and looks forward to a bright outlook for 2024.
* Construction is taking place on campus for Limberlost Place, expanding the physical footprint of the college.
* There has been leadership on sustainability, housing, accessible education, and other initiatives.
* The community showcased innovation, collaboration, and commitment to student well-being and success.
* A wellness day is scheduled on January 2, 2024.
* There will be employees working throughout the holiday break to keep campuses operational and safe.
* Contact information for George Brown College includes a phone number (416-415-2000), TTY number (1-877-515-5559), email address (ask.george@georgebrown.ca), and social media hub link.
* The college's website contains information subject to change without notice, and students are responsible for verifying fee requirements.",", How can one contact George Brown College for inquiries?"
5,ad9df913-4db6-48d4-ad73-1ec11f5bf272," * The text was written by Dr. Gervan Fearon, the President of George Brown College.
* The message reflects on the challenges and accomplishments of 2023 and looks forward to a bright outlook for 2024.
* Construction is taking place on campus for Limberlost Place, expanding the physical footprint of the college.
* There has been leadership on sustainability, housing, accessible education, and other initiatives.
* The community showcased innovation, collaboration, and commitment to student well-being and success.
* A wellness day is scheduled on January 2, 2024.
* There will be employees working throughout the holiday break to keep campuses operational and safe.
* Contact information for George Brown College includes a phone number (416-415-2000), TTY number (1-877-515-5559), email address (ask.george@georgebrown.ca), and social media hub link.
* The college's website contains information subject to change without notice, and students are responsible for verifying fee requirements.",", What should students be aware of regarding the college's website information?"
6,ad9df913-4db6-48d4-ad73-1ec11f5bf272," * The text was written by Dr. Gervan Fearon, the President of George Brown College.
* The message reflects on the challenges and accomplishments of 2023 and looks forward to a bright outlook for 2024.
* Construction is taking place on campus for Limberlost Place, expanding the physical footprint of the college.
* There has been leadership on sustainability, housing, accessible education, and other initiatives.
* The community showcased innovation, collaboration, and commitment to student well-being and success.
* A wellness day is scheduled on January 2, 2024.
* There will be employees working throughout the holiday break to keep campuses operational and safe.
* Contact information for George Brown College includes a phone number (416-415-2000), TTY number (1-877-515-5559), email address (ask.george@georgebrown.ca), and social media hub link.
* The college's website contains information subject to change without notice, and students are responsible for verifying fee requirements.",", Who will be working on campus during the holiday break?"
7,ad9df913-4db6-48d4-ad73-1ec11f5bf272," * The text was written by Dr. Gervan Fearon, the President of George Brown College.
* The message reflects on the challenges and accomplishments of 2023 and looks forward to a bright outlook for 2024.
* Construction is taking place on campus for Limberlost Place, expanding the physical footprint of the college.
* There has been leadership on sustainability, housing, accessible education, and other initiatives.
* The community showcased innovation, collaboration, and commitment to student well-being and success.
* A wellness day is scheduled on January 2, 2024.
* There will be employees working throughout the holiday break to keep campuses operational and safe.
* Contact information for George Brown College includes a phone number (416-415-2000), TTY number (1-877-515-5559), email address (ask.george@georgebrown.ca), and social media hub link.
* The college's website contains information subject to change without notice, and students are responsible for verifying fee requirements.",?
8,b8eeaf0f-bfd1-469a-8dce-0d786cd2d7af," Brown College: fee requirements.

No specific information about fees or requirements was provided in the text. If there is a need to extract this information from another source or page, please let me know and I will be happy to help.",What are the fee requirements for George Brown College?
9,b8eeaf0f-bfd1-469a-8dce-0d786cd2d7af," Brown College: fee requirements.

No specific information about fees or requirements was provided in the text. If there is a need to extract this information from another source or page, please let me know and I will be happy to help.",", Could you provide more details about the fee structure in George Brown College?"
10,b8eeaf0f-bfd1-469a-8dce-0d786cd2d7af," Brown College: fee requirements.

No specific information about fees or requirements was provided in the text. If there is a need to extract this information from another source or page, please let me know and I will be happy to help.",", Is financial aid available for students in George Brown College and what are the eligibility criteria?"
11,b8eeaf0f-bfd1-469a-8dce-0d786cd2d7af," Brown College: fee requirements.

No specific information about fees or requirements was provided in the text. If there is a need to extract this information from another source or page, please let me know and I will be happy to help.",?
