,contextId,context,question
0,eadaa6c9-9e0c-41a7-9201-158701eab4b9," Changes to LLC Laptop Loan Policy effective from December 18, 2023. For more details, visit Library News & Services.

Contact Information:
- GBC Line: 416-415-5000
- Tech Support ext. 8255

Ext. numbers for specific locations:
- Casa Loma: ext. 4634, press 2
- St. James: ext. 2173, press 2
- Waterfront: ext. 5757

Individual contacts for tech support:
- Ciaran Megahey (St. James): ext. 3463
- Robert Marshall (Waterfront): ext. 5766

Locate your Liaison Librarian by program
Sign Up to be kept in the loop about application deadlines, college news, upcoming events, tours and more.

Other contact information:
- Email: ask.george@georgebrown.ca
- TTY: 1-877-515-5559

Website note: Information contained in this website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",What is the effective date of the LLC Laptop Loan Policy changes?
1,eadaa6c9-9e0c-41a7-9201-158701eab4b9," Changes to LLC Laptop Loan Policy effective from December 18, 2023. For more details, visit Library News & Services.

Contact Information:
- GBC Line: 416-415-5000
- Tech Support ext. 8255

Ext. numbers for specific locations:
- Casa Loma: ext. 4634, press 2
- St. James: ext. 2173, press 2
- Waterfront: ext. 5757

Individual contacts for tech support:
- Ciaran Megahey (St. James): ext. 3463
- Robert Marshall (Waterfront): ext. 5766

Locate your Liaison Librarian by program
Sign Up to be kept in the loop about application deadlines, college news, upcoming events, tours and more.

Other contact information:
- Email: ask.george@georgebrown.ca
- TTY: 1-877-515-5559

Website note: Information contained in this website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", Where can I find more details about these changes?"
2,eadaa6c9-9e0c-41a7-9201-158701eab4b9," Changes to LLC Laptop Loan Policy effective from December 18, 2023. For more details, visit Library News & Services.

Contact Information:
- GBC Line: 416-415-5000
- Tech Support ext. 8255

Ext. numbers for specific locations:
- Casa Loma: ext. 4634, press 2
- St. James: ext. 2173, press 2
- Waterfront: ext. 5757

Individual contacts for tech support:
- Ciaran Megahey (St. James): ext. 3463
- Robert Marshall (Waterfront): ext. 5766

Locate your Liaison Librarian by program
Sign Up to be kept in the loop about application deadlines, college news, upcoming events, tours and more.

Other contact information:
- Email: ask.george@georgebrown.ca
- TTY: 1-877-515-5559

Website note: Information contained in this website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", What are the extension numbers for tech support at Casa Loma and St. James branches?"
3,eadaa6c9-9e0c-41a7-9201-158701eab4b9," Changes to LLC Laptop Loan Policy effective from December 18, 2023. For more details, visit Library News & Services.

Contact Information:
- GBC Line: 416-415-5000
- Tech Support ext. 8255

Ext. numbers for specific locations:
- Casa Loma: ext. 4634, press 2
- St. James: ext. 2173, press 2
- Waterfront: ext. 5757

Individual contacts for tech support:
- Ciaran Megahey (St. James): ext. 3463
- Robert Marshall (Waterfront): ext. 5766

Locate your Liaison Librarian by program
Sign Up to be kept in the loop about application deadlines, college news, upcoming events, tours and more.

Other contact information:
- Email: ask.george@georgebrown.ca
- TTY: 1-877-515-5559

Website note: Information contained in this website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", Who are the individual contacts for tech support at Waterfront and St. James branches?"
4,eadaa6c9-9e0c-41a7-9201-158701eab4b9," Changes to LLC Laptop Loan Policy effective from December 18, 2023. For more details, visit Library News & Services.

Contact Information:
- GBC Line: 416-415-5000
- Tech Support ext. 8255

Ext. numbers for specific locations:
- Casa Loma: ext. 4634, press 2
- St. James: ext. 2173, press 2
- Waterfront: ext. 5757

Individual contacts for tech support:
- Ciaran Megahey (St. James): ext. 3463
- Robert Marshall (Waterfront): ext. 5766

Locate your Liaison Librarian by program
Sign Up to be kept in the loop about application deadlines, college news, upcoming events, tours and more.

Other contact information:
- Email: ask.george@georgebrown.ca
- TTY: 1-877-515-5559

Website note: Information contained in this website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", How can I locate my Liaison Librarian by program?"
5,eadaa6c9-9e0c-41a7-9201-158701eab4b9," Changes to LLC Laptop Loan Policy effective from December 18, 2023. For more details, visit Library News & Services.

Contact Information:
- GBC Line: 416-415-5000
- Tech Support ext. 8255

Ext. numbers for specific locations:
- Casa Loma: ext. 4634, press 2
- St. James: ext. 2173, press 2
- Waterfront: ext. 5757

Individual contacts for tech support:
- Ciaran Megahey (St. James): ext. 3463
- Robert Marshall (Waterfront): ext. 5766

Locate your Liaison Librarian by program
Sign Up to be kept in the loop about application deadlines, college news, upcoming events, tours and more.

Other contact information:
- Email: ask.george@georgebrown.ca
- TTY: 1-877-515-5559

Website note: Information contained in this website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", How can I sign up to receive college news and updates?"
6,eadaa6c9-9e0c-41a7-9201-158701eab4b9," Changes to LLC Laptop Loan Policy effective from December 18, 2023. For more details, visit Library News & Services.

Contact Information:
- GBC Line: 416-415-5000
- Tech Support ext. 8255

Ext. numbers for specific locations:
- Casa Loma: ext. 4634, press 2
- St. James: ext. 2173, press 2
- Waterfront: ext. 5757

Individual contacts for tech support:
- Ciaran Megahey (St. James): ext. 3463
- Robert Marshall (Waterfront): ext. 5766

Locate your Liaison Librarian by program
Sign Up to be kept in the loop about application deadlines, college news, upcoming events, tours and more.

Other contact information:
- Email: ask.george@georgebrown.ca
- TTY: 1-877-515-5559

Website note: Information contained in this website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", What is the email address for general inquiries at George Brown College?"
7,eadaa6c9-9e0c-41a7-9201-158701eab4b9," Changes to LLC Laptop Loan Policy effective from December 18, 2023. For more details, visit Library News & Services.

Contact Information:
- GBC Line: 416-415-5000
- Tech Support ext. 8255

Ext. numbers for specific locations:
- Casa Loma: ext. 4634, press 2
- St. James: ext. 2173, press 2
- Waterfront: ext. 5757

Individual contacts for tech support:
- Ciaran Megahey (St. James): ext. 3463
- Robert Marshall (Waterfront): ext. 5766

Locate your Liaison Librarian by program
Sign Up to be kept in the loop about application deadlines, college news, upcoming events, tours and more.

Other contact information:
- Email: ask.george@georgebrown.ca
- TTY: 1-877-515-5559

Website note: Information contained in this website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", What number should I call if I require TTY services?"
8,eadaa6c9-9e0c-41a7-9201-158701eab4b9," Changes to LLC Laptop Loan Policy effective from December 18, 2023. For more details, visit Library News & Services.

Contact Information:
- GBC Line: 416-415-5000
- Tech Support ext. 8255

Ext. numbers for specific locations:
- Casa Loma: ext. 4634, press 2
- St. James: ext. 2173, press 2
- Waterfront: ext. 5757

Individual contacts for tech support:
- Ciaran Megahey (St. James): ext. 3463
- Robert Marshall (Waterfront): ext. 5766

Locate your Liaison Librarian by program
Sign Up to be kept in the loop about application deadlines, college news, upcoming events, tours and more.

Other contact information:
- Email: ask.george@georgebrown.ca
- TTY: 1-877-515-5559

Website note: Information contained in this website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.","., Is the information on this website subject to change without notice?"
9,eadaa6c9-9e0c-41a7-9201-158701eab4b9," Changes to LLC Laptop Loan Policy effective from December 18, 2023. For more details, visit Library News & Services.

Contact Information:
- GBC Line: 416-415-5000
- Tech Support ext. 8255

Ext. numbers for specific locations:
- Casa Loma: ext. 4634, press 2
- St. James: ext. 2173, press 2
- Waterfront: ext. 5757

Individual contacts for tech support:
- Ciaran Megahey (St. James): ext. 3463
- Robert Marshall (Waterfront): ext. 5766

Locate your Liaison Librarian by program
Sign Up to be kept in the loop about application deadlines, college news, upcoming events, tours and more.

Other contact information:
- Email: ask.george@georgebrown.ca
- TTY: 1-877-515-5559

Website note: Information contained in this website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.","., What are the fee requirements for students at George Brown College?"
