,contextId,context,question
0,541965b6-7536-466e-9417-58be447c3d89," The George Brown School of Liberal Arts and Sciences offers certificate and diploma programs in the Arts and Humanities, Social Sciences, Natural Sciences, and Technology. These programs aim to develop critical-thinking, problem-solving, and communication skills. General Education and Liberal Studies electives are available to enhance critical thinking and analytic reasoning skills while expanding knowledge in various fields. The college provides a free Entry Advising service for students to help match their skills and career goals with program options. Information sessions are offered to learn more about the programs and facilities, and application deadlines, news, events, and tours can be accessed by signing up. The contact information is 416-415-2000 for regular inquiries and 1-877-515-5559 for TTY services. The email address is ask.george@georgebrown.ca, and social media hub can be visited for further information. Program offerings and information are subject to change without notice.",What programs does the George Brown School of Liberal Arts and Sciences offer in the Arts and Humanities?
1,541965b6-7536-466e-9417-58be447c3d89," The George Brown School of Liberal Arts and Sciences offers certificate and diploma programs in the Arts and Humanities, Social Sciences, Natural Sciences, and Technology. These programs aim to develop critical-thinking, problem-solving, and communication skills. General Education and Liberal Studies electives are available to enhance critical thinking and analytic reasoning skills while expanding knowledge in various fields. The college provides a free Entry Advising service for students to help match their skills and career goals with program options. Information sessions are offered to learn more about the programs and facilities, and application deadlines, news, events, and tours can be accessed by signing up. The contact information is 416-415-2000 for regular inquiries and 1-877-515-5559 for TTY services. The email address is ask.george@georgebrown.ca, and social media hub can be visited for further information. Program offerings and information are subject to change without notice.",", In which fields do the Social Sciences programs focus?"
2,541965b6-7536-466e-9417-58be447c3d89," The George Brown School of Liberal Arts and Sciences offers certificate and diploma programs in the Arts and Humanities, Social Sciences, Natural Sciences, and Technology. These programs aim to develop critical-thinking, problem-solving, and communication skills. General Education and Liberal Studies electives are available to enhance critical thinking and analytic reasoning skills while expanding knowledge in various fields. The college provides a free Entry Advising service for students to help match their skills and career goals with program options. Information sessions are offered to learn more about the programs and facilities, and application deadlines, news, events, and tours can be accessed by signing up. The contact information is 416-415-2000 for regular inquiries and 1-877-515-5559 for TTY services. The email address is ask.george@georgebrown.ca, and social media hub can be visited for further information. Program offerings and information are subject to change without notice.",", Which skills are developed through Natural Sciences programs?"
3,541965b6-7536-466e-9417-58be447c3d89," The George Brown School of Liberal Arts and Sciences offers certificate and diploma programs in the Arts and Humanities, Social Sciences, Natural Sciences, and Technology. These programs aim to develop critical-thinking, problem-solving, and communication skills. General Education and Liberal Studies electives are available to enhance critical thinking and analytic reasoning skills while expanding knowledge in various fields. The college provides a free Entry Advising service for students to help match their skills and career goals with program options. Information sessions are offered to learn more about the programs and facilities, and application deadlines, news, events, and tours can be accessed by signing up. The contact information is 416-415-2000 for regular inquiries and 1-877-515-5559 for TTY services. The email address is ask.george@georgebrown.ca, and social media hub can be visited for further information. Program offerings and information are subject to change without notice.",", What are General Education and Liberal Studies electives used for?"
4,541965b6-7536-466e-9417-58be447c3d89," The George Brown School of Liberal Arts and Sciences offers certificate and diploma programs in the Arts and Humanities, Social Sciences, Natural Sciences, and Technology. These programs aim to develop critical-thinking, problem-solving, and communication skills. General Education and Liberal Studies electives are available to enhance critical thinking and analytic reasoning skills while expanding knowledge in various fields. The college provides a free Entry Advising service for students to help match their skills and career goals with program options. Information sessions are offered to learn more about the programs and facilities, and application deadlines, news, events, and tours can be accessed by signing up. The contact information is 416-415-2000 for regular inquiries and 1-877-515-5559 for TTY services. The email address is ask.george@georgebrown.ca, and social media hub can be visited for further information. Program offerings and information are subject to change without notice.",", How can students access information about application deadlines?"
5,541965b6-7536-466e-9417-58be447c3d89," The George Brown School of Liberal Arts and Sciences offers certificate and diploma programs in the Arts and Humanities, Social Sciences, Natural Sciences, and Technology. These programs aim to develop critical-thinking, problem-solving, and communication skills. General Education and Liberal Studies electives are available to enhance critical thinking and analytic reasoning skills while expanding knowledge in various fields. The college provides a free Entry Advising service for students to help match their skills and career goals with program options. Information sessions are offered to learn more about the programs and facilities, and application deadlines, news, events, and tours can be accessed by signing up. The contact information is 416-415-2000 for regular inquiries and 1-877-515-5559 for TTY services. The email address is ask.george@georgebrown.ca, and social media hub can be visited for further information. Program offerings and information are subject to change without notice.",", Where can one sign up for information sessions?"
6,541965b6-7536-466e-9417-58be447c3d89," The George Brown School of Liberal Arts and Sciences offers certificate and diploma programs in the Arts and Humanities, Social Sciences, Natural Sciences, and Technology. These programs aim to develop critical-thinking, problem-solving, and communication skills. General Education and Liberal Studies electives are available to enhance critical thinking and analytic reasoning skills while expanding knowledge in various fields. The college provides a free Entry Advising service for students to help match their skills and career goals with program options. Information sessions are offered to learn more about the programs and facilities, and application deadlines, news, events, and tours can be accessed by signing up. The contact information is 416-415-2000 for regular inquiries and 1-877-515-5559 for TTY services. The email address is ask.george@georgebrown.ca, and social media hub can be visited for further information. Program offerings and information are subject to change without notice.",", What is the phone number for regular inquiries?"
7,541965b6-7536-466e-9417-58be447c3d89," The George Brown School of Liberal Arts and Sciences offers certificate and diploma programs in the Arts and Humanities, Social Sciences, Natural Sciences, and Technology. These programs aim to develop critical-thinking, problem-solving, and communication skills. General Education and Liberal Studies electives are available to enhance critical thinking and analytic reasoning skills while expanding knowledge in various fields. The college provides a free Entry Advising service for students to help match their skills and career goals with program options. Information sessions are offered to learn more about the programs and facilities, and application deadlines, news, events, and tours can be accessed by signing up. The contact information is 416-415-2000 for regular inquiries and 1-877-515-5559 for TTY services. The email address is ask.george@georgebrown.ca, and social media hub can be visited for further information. Program offerings and information are subject to change without notice.",", What is the phone number for TTY services?"
8,541965b6-7536-466e-9417-58be447c3d89," The George Brown School of Liberal Arts and Sciences offers certificate and diploma programs in the Arts and Humanities, Social Sciences, Natural Sciences, and Technology. These programs aim to develop critical-thinking, problem-solving, and communication skills. General Education and Liberal Studies electives are available to enhance critical thinking and analytic reasoning skills while expanding knowledge in various fields. The college provides a free Entry Advising service for students to help match their skills and career goals with program options. Information sessions are offered to learn more about the programs and facilities, and application deadlines, news, events, and tours can be accessed by signing up. The contact information is 416-415-2000 for regular inquiries and 1-877-515-5559 for TTY services. The email address is ask.george@georgebrown.ca, and social media hub can be visited for further information. Program offerings and information are subject to change without notice.",", What is the email address to contact the college?"
9,541965b6-7536-466e-9417-58be447c3d89," The George Brown School of Liberal Arts and Sciences offers certificate and diploma programs in the Arts and Humanities, Social Sciences, Natural Sciences, and Technology. These programs aim to develop critical-thinking, problem-solving, and communication skills. General Education and Liberal Studies electives are available to enhance critical thinking and analytic reasoning skills while expanding knowledge in various fields. The college provides a free Entry Advising service for students to help match their skills and career goals with program options. Information sessions are offered to learn more about the programs and facilities, and application deadlines, news, events, and tours can be accessed by signing up. The contact information is 416-415-2000 for regular inquiries and 1-877-515-5559 for TTY services. The email address is ask.george@georgebrown.ca, and social media hub can be visited for further information. Program offerings and information are subject to change without notice.",", Where can students find further information on social media?"
10,541965b6-7536-466e-9417-58be447c3d89," The George Brown School of Liberal Arts and Sciences offers certificate and diploma programs in the Arts and Humanities, Social Sciences, Natural Sciences, and Technology. These programs aim to develop critical-thinking, problem-solving, and communication skills. General Education and Liberal Studies electives are available to enhance critical thinking and analytic reasoning skills while expanding knowledge in various fields. The college provides a free Entry Advising service for students to help match their skills and career goals with program options. Information sessions are offered to learn more about the programs and facilities, and application deadlines, news, events, and tours can be accessed by signing up. The contact information is 416-415-2000 for regular inquiries and 1-877-515-5559 for TTY services. The email address is ask.george@georgebrown.ca, and social media hub can be visited for further information. Program offerings and information are subject to change without notice.",?
