,contextId,context,question
0,40e59ddb-c077-4e31-a2c6-dfaf7ab7002c," The Centre for Hospitality and Culinary Arts (CHCA) at George Brown College held two competitions last month - a Gingerbread House Competition and a Holiday Mocktail Competition. The former was won by Madeleine Sooklal, a Baking and Pastry Arts Management student, who received $2,000 and the top honour. Cheung Ming Ngai came in second place and earned $1,000 for his Wong Tai Sin Temple, while Thomas Villiger took bronze with his Alberta Wheat Pool design and won $500. Yolanda Buitrago Caicedo received the People's Choice Award and gifts for her sweet vacation home.

In the Mocktail Competition, Soumini Agate and Anabel Ochalefu tied for first place. Pari Keyvani finished second, and Hunter Truong came in third. The competitions were sponsored by Dawn Foods and Russell-Hendrix respectively, with cash prizes totaling $6,500 awarded to the winners. The Gingerbread House Competition theme was 'Main Street' and the Mocktail Competition theme was 'My Mainstreet Yonge Street'.

No specific program information was mentioned in the text.",1. Who won the first place in the Gingerbread House Competition at George Brown College?
1,40e59ddb-c077-4e31-a2c6-dfaf7ab7002c," The Centre for Hospitality and Culinary Arts (CHCA) at George Brown College held two competitions last month - a Gingerbread House Competition and a Holiday Mocktail Competition. The former was won by Madeleine Sooklal, a Baking and Pastry Arts Management student, who received $2,000 and the top honour. Cheung Ming Ngai came in second place and earned $1,000 for his Wong Tai Sin Temple, while Thomas Villiger took bronze with his Alberta Wheat Pool design and won $500. Yolanda Buitrago Caicedo received the People's Choice Award and gifts for her sweet vacation home.

In the Mocktail Competition, Soumini Agate and Anabel Ochalefu tied for first place. Pari Keyvani finished second, and Hunter Truong came in third. The competitions were sponsored by Dawn Foods and Russell-Hendrix respectively, with cash prizes totaling $6,500 awarded to the winners. The Gingerbread House Competition theme was 'Main Street' and the Mocktail Competition theme was 'My Mainstreet Yonge Street'.

No specific program information was mentioned in the text.",2. Which student secured the second position in the Holiday Mocktail Competition?
2,40e59ddb-c077-4e31-a2c6-dfaf7ab7002c," The Centre for Hospitality and Culinary Arts (CHCA) at George Brown College held two competitions last month - a Gingerbread House Competition and a Holiday Mocktail Competition. The former was won by Madeleine Sooklal, a Baking and Pastry Arts Management student, who received $2,000 and the top honour. Cheung Ming Ngai came in second place and earned $1,000 for his Wong Tai Sin Temple, while Thomas Villiger took bronze with his Alberta Wheat Pool design and won $500. Yolanda Buitrago Caicedo received the People's Choice Award and gifts for her sweet vacation home.

In the Mocktail Competition, Soumini Agate and Anabel Ochalefu tied for first place. Pari Keyvani finished second, and Hunter Truong came in third. The competitions were sponsored by Dawn Foods and Russell-Hendrix respectively, with cash prizes totaling $6,500 awarded to the winners. The Gingerbread House Competition theme was 'Main Street' and the Mocktail Competition theme was 'My Mainstreet Yonge Street'.

No specific program information was mentioned in the text.",3. What was the name of the person who finished third in the Gingerball House Competition and which design did they submit?
3,40e59ddb-c077-4e31-a2c6-dfaf7ab7002c," The Centre for Hospitality and Culinary Arts (CHCA) at George Brown College held two competitions last month - a Gingerbread House Competition and a Holiday Mocktail Competition. The former was won by Madeleine Sooklal, a Baking and Pastry Arts Management student, who received $2,000 and the top honour. Cheung Ming Ngai came in second place and earned $1,000 for his Wong Tai Sin Temple, while Thomas Villiger took bronze with his Alberta Wheat Pool design and won $500. Yolanda Buitrago Caicedo received the People's Choice Award and gifts for her sweet vacation home.

In the Mocktail Competition, Soumini Agate and Anabel Ochalefu tied for first place. Pari Keyvani finished second, and Hunter Truong came in third. The competitions were sponsored by Dawn Foods and Russell-Hendrix respectively, with cash prizes totaling $6,500 awarded to the winners. The Gingerbread House Competition theme was 'Main Street' and the Mocktail Competition theme was 'My Mainstreet Yonge Street'.

No specific program information was mentioned in the text.",4. Who received the People's Choice Award in the Gingerbread House Competition and what did they create?
4,40e59ddb-c077-4e31-a2c6-dfaf7ab7002c," The Centre for Hospitality and Culinary Arts (CHCA) at George Brown College held two competitions last month - a Gingerbread House Competition and a Holiday Mocktail Competition. The former was won by Madeleine Sooklal, a Baking and Pastry Arts Management student, who received $2,000 and the top honour. Cheung Ming Ngai came in second place and earned $1,000 for his Wong Tai Sin Temple, while Thomas Villiger took bronze with his Alberta Wheat Pool design and won $500. Yolanda Buitrago Caicedo received the People's Choice Award and gifts for her sweet vacation home.

In the Mocktail Competition, Soumini Agate and Anabel Ochalefu tied for first place. Pari Keyvani finished second, and Hunter Truong came in third. The competitions were sponsored by Dawn Foods and Russell-Hendrix respectively, with cash prizes totaling $6,500 awarded to the winners. The Gingerbread House Competition theme was 'Main Street' and the Mocktail Competition theme was 'My Mainstreet Yonge Street'.

No specific program information was mentioned in the text.",5. Which students tied for the first place in the Holiday Mocktail Competition?
5,40e59ddb-c077-4e31-a2c6-dfaf7ab7002c," The Centre for Hospitality and Culinary Arts (CHCA) at George Brown College held two competitions last month - a Gingerbread House Competition and a Holiday Mocktail Competition. The former was won by Madeleine Sooklal, a Baking and Pastry Arts Management student, who received $2,000 and the top honour. Cheung Ming Ngai came in second place and earned $1,000 for his Wong Tai Sin Temple, while Thomas Villiger took bronze with his Alberta Wheat Pool design and won $500. Yolanda Buitrago Caicedo received the People's Choice Award and gifts for her sweet vacation home.

In the Mocktail Competition, Soumini Agate and Anabel Ochalefu tied for first place. Pari Keyvani finished second, and Hunter Truong came in third. The competitions were sponsored by Dawn Foods and Russell-Hendrix respectively, with cash prizes totaling $6,500 awarded to the winners. The Gingerbread House Competition theme was 'Main Street' and the Mocktail Competition theme was 'My Mainstreet Yonge Street'.

No specific program information was mentioned in the text.",6. Who came in second place in the Gingerball House Competition and which theme did their design follow?
6,40e59ddb-c077-4e31-a2c6-dfaf7ab7002c," The Centre for Hospitality and Culinary Arts (CHCA) at George Brown College held two competitions last month - a Gingerbread House Competition and a Holiday Mocktail Competition. The former was won by Madeleine Sooklal, a Baking and Pastry Arts Management student, who received $2,000 and the top honour. Cheung Ming Ngai came in second place and earned $1,000 for his Wong Tai Sin Temple, while Thomas Villiger took bronze with his Alberta Wheat Pool design and won $500. Yolanda Buitrago Caicedo received the People's Choice Award and gifts for her sweet vacation home.

In the Mocktail Competition, Soumini Agate and Anabel Ochalefu tied for first place. Pari Keyvani finished second, and Hunter Truong came in third. The competitions were sponsored by Dawn Foods and Russell-Hendrix respectively, with cash prizes totaling $6,500 awarded to the winners. The Gingerbread House Competition theme was 'Main Street' and the Mocktail Competition theme was 'My Mainstreet Yonge Street'.

No specific program information was mentioned in the text.",7. What were the cash prizes for each competition sponsored by and how much was awarded in total?
7,40e59ddb-c077-4e31-a2c6-dfaf7ab7002c," The Centre for Hospitality and Culinary Arts (CHCA) at George Brown College held two competitions last month - a Gingerbread House Competition and a Holiday Mocktail Competition. The former was won by Madeleine Sooklal, a Baking and Pastry Arts Management student, who received $2,000 and the top honour. Cheung Ming Ngai came in second place and earned $1,000 for his Wong Tai Sin Temple, while Thomas Villiger took bronze with his Alberta Wheat Pool design and won $500. Yolanda Buitrago Caicedo received the People's Choice Award and gifts for her sweet vacation home.

In the Mocktail Competition, Soumini Agate and Anabel Ochalefu tied for first place. Pari Keyvani finished second, and Hunter Truong came in third. The competitions were sponsored by Dawn Foods and Russell-Hendrix respectively, with cash prizes totaling $6,500 awarded to the winners. The Gingerbread House Competition theme was 'Main Street' and the Mocktail Competition theme was 'My Mainstreet Yonge Street'.

No specific program information was mentioned in the text.",8. In what themes were the two competitions held at George Brown College's Centre for Hospitality and Culinary Arts?
8,40e59ddb-c077-4e31-a2c6-dfaf7ab7002c," The Centre for Hospitality and Culinary Arts (CHCA) at George Brown College held two competitions last month - a Gingerbread House Competition and a Holiday Mocktail Competition. The former was won by Madeleine Sooklal, a Baking and Pastry Arts Management student, who received $2,000 and the top honour. Cheung Ming Ngai came in second place and earned $1,000 for his Wong Tai Sin Temple, while Thomas Villiger took bronze with his Alberta Wheat Pool design and won $500. Yolanda Buitrago Caicedo received the People's Choice Award and gifts for her sweet vacation home.

In the Mocktail Competition, Soumini Agate and Anabel Ochalefu tied for first place. Pari Keyvani finished second, and Hunter Truong came in third. The competitions were sponsored by Dawn Foods and Russell-Hendrix respectively, with cash prizes totaling $6,500 awarded to the winners. The Gingerbread House Competition theme was 'Main Street' and the Mocktail Competition theme was 'My Mainstreet Yonge Street'.

No specific program information was mentioned in the text.",?
9,cededf87-2313-4fd1-910e-ac02b9f8d0a4," Phone number: 416-415-2000
TTY number: 1-877-515-5559
Email address: ask.george@georgebrown.ca
Social Media Hub link (mentioned twice): Visit Our Social Media Hub

Note: No specific information about the programs offered by George Brown College was found in the given text.",What is the phone number to contact George Brown College?
