,contextId,context,question
0,b75ed5a7-b5a8-44ab-8198-e50ff0e52284," Event Details:
- Date: January 5, 2023
- Location: Casa Loma campus
- Activities: Tours, information sessions, workshops, games, giveaways, and a showcase of services and supports.
- Opportunity to meet faculty, staff, and classmates.
- Students can attend their own campus days or explore other campuses.
- Photographers/videographers will be present.
- Registration is required to attend.
- Contact information: 416-415-2000 (voice), TTY: 1-877-515-5559, ask.george@georgebrown.ca.
- Social Media Hub available for more information.
- Note: Information contained in the website is subject to change without notice and should be verified by students for fee requirements.",What is the date of the event at Casa Loma campus?
1,b75ed5a7-b5a8-44ab-8198-e50ff0e52284," Event Details:
- Date: January 5, 2023
- Location: Casa Loma campus
- Activities: Tours, information sessions, workshops, games, giveaways, and a showcase of services and supports.
- Opportunity to meet faculty, staff, and classmates.
- Students can attend their own campus days or explore other campuses.
- Photographers/videographers will be present.
- Registration is required to attend.
- Contact information: 416-415-2000 (voice), TTY: 1-877-515-5559, ask.george@georgebrown.ca.
- Social Media Hub available for more information.
- Note: Information contained in the website is subject to change without notice and should be verified by students for fee requirements.",", Where can I find the location of the Casa Loma campus event?"
2,b75ed5a7-b5a8-44ab-8198-e50ff0e52284," Event Details:
- Date: January 5, 2023
- Location: Casa Loma campus
- Activities: Tours, information sessions, workshops, games, giveaways, and a showcase of services and supports.
- Opportunity to meet faculty, staff, and classmates.
- Students can attend their own campus days or explore other campuses.
- Photographers/videographers will be present.
- Registration is required to attend.
- Contact information: 416-415-2000 (voice), TTY: 1-877-515-5559, ask.george@georgebrown.ca.
- Social Media Hub available for more information.
- Note: Information contained in the website is subject to change without notice and should be verified by students for fee requirements.",", What types of activities are planned for the event?"
3,b75ed5a7-b5a8-44ab-8198-e50ff0e52284," Event Details:
- Date: January 5, 2023
- Location: Casa Loma campus
- Activities: Tours, information sessions, workshops, games, giveaways, and a showcase of services and supports.
- Opportunity to meet faculty, staff, and classmates.
- Students can attend their own campus days or explore other campuses.
- Photographers/videographers will be present.
- Registration is required to attend.
- Contact information: 416-415-2000 (voice), TTY: 1-877-515-5559, ask.george@georgebrown.ca.
- Social Media Hub available for more information.
- Note: Information contained in the website is subject to change without notice and should be verified by students for fee requirements.",", Can I meet faculty, staff, and classmates at the event?"
4,b75ed5a7-b5a8-44ab-8198-e50ff0e52284," Event Details:
- Date: January 5, 2023
- Location: Casa Loma campus
- Activities: Tours, information sessions, workshops, games, giveaways, and a showcase of services and supports.
- Opportunity to meet faculty, staff, and classmates.
- Students can attend their own campus days or explore other campuses.
- Photographers/videographers will be present.
- Registration is required to attend.
- Contact information: 416-415-2000 (voice), TTY: 1-877-515-5559, ask.george@georgebrown.ca.
- Social Media Hub available for more information.
- Note: Information contained in the website is subject to change without notice and should be verified by students for fee requirements.",", Are students allowed to attend their own campus days or explore other campuses during the event?"
5,b75ed5a7-b5a8-44ab-8198-e50ff0e52284," Event Details:
- Date: January 5, 2023
- Location: Casa Loma campus
- Activities: Tours, information sessions, workshops, games, giveaways, and a showcase of services and supports.
- Opportunity to meet faculty, staff, and classmates.
- Students can attend their own campus days or explore other campuses.
- Photographers/videographers will be present.
- Registration is required to attend.
- Contact information: 416-415-2000 (voice), TTY: 1-877-515-5559, ask.george@georgebrown.ca.
- Social Media Hub available for more information.
- Note: Information contained in the website is subject to change without notice and should be verified by students for fee requirements.",", Will photographers and videographers be present at the event?"
6,b75ed5a7-b5a8-44ab-8198-e50ff0e52284," Event Details:
- Date: January 5, 2023
- Location: Casa Loma campus
- Activities: Tours, information sessions, workshops, games, giveaways, and a showcase of services and supports.
- Opportunity to meet faculty, staff, and classmates.
- Students can attend their own campus days or explore other campuses.
- Photographers/videographers will be present.
- Registration is required to attend.
- Contact information: 416-415-2000 (voice), TTY: 1-877-515-5559, ask.george@georgebrown.ca.
- Social Media Hub available for more information.
- Note: Information contained in the website is subject to change without notice and should be verified by students for fee requirements.",", How do I register to attend the event?"
7,b75ed5a7-b5a8-44ab-8198-e50ff0e52284," Event Details:
- Date: January 5, 2023
- Location: Casa Loma campus
- Activities: Tours, information sessions, workshops, games, giveaways, and a showcase of services and supports.
- Opportunity to meet faculty, staff, and classmates.
- Students can attend their own campus days or explore other campuses.
- Photographers/videographers will be present.
- Registration is required to attend.
- Contact information: 416-415-2000 (voice), TTY: 1-877-515-5559, ask.george@georgebrown.ca.
- Social Media Hub available for more information.
- Note: Information contained in the website is subject to change without notice and should be verified by students for fee requirements.",", What is the contact information for inquiries about the event?"
8,b75ed5a7-b5a8-44ab-8198-e50ff0e52284," Event Details:
- Date: January 5, 2023
- Location: Casa Loma campus
- Activities: Tours, information sessions, workshops, games, giveaways, and a showcase of services and supports.
- Opportunity to meet faculty, staff, and classmates.
- Students can attend their own campus days or explore other campuses.
- Photographers/videographers will be present.
- Registration is required to attend.
- Contact information: 416-415-2000 (voice), TTY: 1-877-515-5559, ask.george@georgebrown.ca.
- Social Media Hub available for more information.
- Note: Information contained in the website is subject to change without notice and should be verified by students for fee requirements.",", Is there a Social Media Hub available for more information about the event?"
9,b75ed5a7-b5a8-44ab-8198-e50ff0e52284," Event Details:
- Date: January 5, 2023
- Location: Casa Loma campus
- Activities: Tours, information sessions, workshops, games, giveaways, and a showcase of services and supports.
- Opportunity to meet faculty, staff, and classmates.
- Students can attend their own campus days or explore other campuses.
- Photographers/videographers will be present.
- Registration is required to attend.
- Contact information: 416-415-2000 (voice), TTY: 1-877-515-5559, ask.george@georgebrown.ca.
- Social Media Hub available for more information.
- Note: Information contained in the website is subject to change without notice and should be verified by students for fee requirements.",", Is the information on the website subject to change without notice?"
10,b75ed5a7-b5a8-44ab-8198-e50ff0e52284," Event Details:
- Date: January 5, 2023
- Location: Casa Loma campus
- Activities: Tours, information sessions, workshops, games, giveaways, and a showcase of services and supports.
- Opportunity to meet faculty, staff, and classmates.
- Students can attend their own campus days or explore other campuses.
- Photographers/videographers will be present.
- Registration is required to attend.
- Contact information: 416-415-2000 (voice), TTY: 1-877-515-5559, ask.george@georgebrown.ca.
- Social Media Hub available for more information.
- Note: Information contained in the website is subject to change without notice and should be verified by students for fee requirements.",?
