,contextId,context,question
0,e62abcf5-e08d-4351-84a8-97f2d0b64541," To access Brightspace, the learning platform of George Brown College, visit learn.georgebrown.ca. You will need this information to log in: ""Visit D2L-Brightspace"". If you encounter issues with logging into Brightspace or your GBC account, contact the Help Desk at helpdesk@georgebrown.ca or 416-415-5000, ext. 4357. Additionally, resources like demos and student FAQs are available to help navigate Brightspace. For more information, sign up for college updates or contact ask.george@georgebrown.ca (416-415-2000) or the TTY number: 1-877-515-5559.

George Brown College resources and contacts:
- Brightspace login: Visit D2L-Brightspace
- Help Desk: helpdesk@georgebrown.ca, 416-415-5000, ext. 4357
- Student FAQ: Not explicitly stated in the text
- Demos and tools: Available in Brightspace
- Application deadlines, college news, upcoming events, tours, and more: Sign Up Now
- George Brown College general contact: ask.george@georgebrown.ca, 416-415-2000
- Social Media Hub: Not explicitly stated in the text

Note: The text does not provide any explicit information on programs offered by the college.","* Where can I access Brightspace, George Brown College's learning platform?"
1,e62abcf5-e08d-4351-84a8-97f2d0b64541," To access Brightspace, the learning platform of George Brown College, visit learn.georgebrown.ca. You will need this information to log in: ""Visit D2L-Brightspace"". If you encounter issues with logging into Brightspace or your GBC account, contact the Help Desk at helpdesk@georgebrown.ca or 416-415-5000, ext. 4357. Additionally, resources like demos and student FAQs are available to help navigate Brightspace. For more information, sign up for college updates or contact ask.george@georgebrown.ca (416-415-2000) or the TTY number: 1-877-515-5559.

George Brown College resources and contacts:
- Brightspace login: Visit D2L-Brightspace
- Help Desk: helpdesk@georgebrown.ca, 416-415-5000, ext. 4357
- Student FAQ: Not explicitly stated in the text
- Demos and tools: Available in Brightspace
- Application deadlines, college news, upcoming events, tours, and more: Sign Up Now
- George Brown College general contact: ask.george@georgebrown.ca, 416-415-2000
- Social Media Hub: Not explicitly stated in the text

Note: The text does not provide any explicit information on programs offered by the college.",",
* What is the contact email for the Help Desk at George Brown College?"
2,e62abcf5-e08d-4351-84a8-97f2d0b64541," To access Brightspace, the learning platform of George Brown College, visit learn.georgebrown.ca. You will need this information to log in: ""Visit D2L-Brightspace"". If you encounter issues with logging into Brightspace or your GBC account, contact the Help Desk at helpdesk@georgebrown.ca or 416-415-5000, ext. 4357. Additionally, resources like demos and student FAQs are available to help navigate Brightspace. For more information, sign up for college updates or contact ask.george@georgebrown.ca (416-415-2000) or the TTY number: 1-877-515-5559.

George Brown College resources and contacts:
- Brightspace login: Visit D2L-Brightspace
- Help Desk: helpdesk@georgebrown.ca, 416-415-5000, ext. 4357
- Student FAQ: Not explicitly stated in the text
- Demos and tools: Available in Brightspace
- Application deadlines, college news, upcoming events, tours, and more: Sign Up Now
- George Brown College general contact: ask.george@georgebrown.ca, 416-415-2000
- Social Media Hub: Not explicitly stated in the text

Note: The text does not provide any explicit information on programs offered by the college.",",
* What number should I call to reach the Help Desk at George Brown College?"
3,e62abcf5-e08d-4351-84a8-97f2d0b64541," To access Brightspace, the learning platform of George Brown College, visit learn.georgebrown.ca. You will need this information to log in: ""Visit D2L-Brightspace"". If you encounter issues with logging into Brightspace or your GBC account, contact the Help Desk at helpdesk@georgebrown.ca or 416-415-5000, ext. 4357. Additionally, resources like demos and student FAQs are available to help navigate Brightspace. For more information, sign up for college updates or contact ask.george@georgebrown.ca (416-415-2000) or the TTY number: 1-877-515-5559.

George Brown College resources and contacts:
- Brightspace login: Visit D2L-Brightspace
- Help Desk: helpdesk@georgebrown.ca, 416-415-5000, ext. 4357
- Student FAQ: Not explicitly stated in the text
- Demos and tools: Available in Brightspace
- Application deadlines, college news, upcoming events, tours, and more: Sign Up Now
- George Brown College general contact: ask.george@georgebrown.ca, 416-415-2000
- Social Media Hub: Not explicitly stated in the text

Note: The text does not provide any explicit information on programs offered by the college.",",
* Which extension number should I use to contact the Help Desk at George Brown College via phone?"
4,e62abcf5-e08d-4351-84a8-97f2d0b64541," To access Brightspace, the learning platform of George Brown College, visit learn.georgebrown.ca. You will need this information to log in: ""Visit D2L-Brightspace"". If you encounter issues with logging into Brightspace or your GBC account, contact the Help Desk at helpdesk@georgebrown.ca or 416-415-5000, ext. 4357. Additionally, resources like demos and student FAQs are available to help navigate Brightspace. For more information, sign up for college updates or contact ask.george@georgebrown.ca (416-415-2000) or the TTY number: 1-877-515-5559.

George Brown College resources and contacts:
- Brightspace login: Visit D2L-Brightspace
- Help Desk: helpdesk@georgebrown.ca, 416-415-5000, ext. 4357
- Student FAQ: Not explicitly stated in the text
- Demos and tools: Available in Brightspace
- Application deadlines, college news, upcoming events, tours, and more: Sign Up Now
- George Brown College general contact: ask.george@georgebrown.ca, 416-415-2000
- Social Media Hub: Not explicitly stated in the text

Note: The text does not provide any explicit information on programs offered by the college.",",
* Are demos and tools available in Brightspace to help navigate the platform?"
5,e62abcf5-e08d-4351-84a8-97f2d0b64541," To access Brightspace, the learning platform of George Brown College, visit learn.georgebrown.ca. You will need this information to log in: ""Visit D2L-Brightspace"". If you encounter issues with logging into Brightspace or your GBC account, contact the Help Desk at helpdesk@georgebrown.ca or 416-415-5000, ext. 4357. Additionally, resources like demos and student FAQs are available to help navigate Brightspace. For more information, sign up for college updates or contact ask.george@georgebrown.ca (416-415-2000) or the TTY number: 1-877-515-5559.

George Brown College resources and contacts:
- Brightspace login: Visit D2L-Brightspace
- Help Desk: helpdesk@georgebrown.ca, 416-415-5000, ext. 4357
- Student FAQ: Not explicitly stated in the text
- Demos and tools: Available in Brightspace
- Application deadlines, college news, upcoming events, tours, and more: Sign Up Now
- George Brown College general contact: ask.george@georgebrown.ca, 416-415-2000
- Social Media Hub: Not explicitly stated in the text

Note: The text does not provide any explicit information on programs offered by the college.",",
* How can I sign up for college updates and other relevant information from George Brown College?"
6,e62abcf5-e08d-4351-84a8-97f2d0b64541," To access Brightspace, the learning platform of George Brown College, visit learn.georgebrown.ca. You will need this information to log in: ""Visit D2L-Brightspace"". If you encounter issues with logging into Brightspace or your GBC account, contact the Help Desk at helpdesk@georgebrown.ca or 416-415-5000, ext. 4357. Additionally, resources like demos and student FAQs are available to help navigate Brightspace. For more information, sign up for college updates or contact ask.george@georgebrown.ca (416-415-2000) or the TTY number: 1-877-515-5559.

George Brown College resources and contacts:
- Brightspace login: Visit D2L-Brightspace
- Help Desk: helpdesk@georgebrown.ca, 416-415-5000, ext. 4357
- Student FAQ: Not explicitly stated in the text
- Demos and tools: Available in Brightspace
- Application deadlines, college news, upcoming events, tours, and more: Sign Up Now
- George Brown College general contact: ask.george@georgebrown.ca, 416-415-2000
- Social Media Hub: Not explicitly stated in the text

Note: The text does not provide any explicit information on programs offered by the college.",",
* What is the contact email or phone number for asking general questions about George Brown College?"
7,e62abcf5-e08d-4351-84a8-97f2d0b64541," To access Brightspace, the learning platform of George Brown College, visit learn.georgebrown.ca. You will need this information to log in: ""Visit D2L-Brightspace"". If you encounter issues with logging into Brightspace or your GBC account, contact the Help Desk at helpdesk@georgebrown.ca or 416-415-5000, ext. 4357. Additionally, resources like demos and student FAQs are available to help navigate Brightspace. For more information, sign up for college updates or contact ask.george@georgebrown.ca (416-415-2000) or the TTY number: 1-877-515-5559.

George Brown College resources and contacts:
- Brightspace login: Visit D2L-Brightspace
- Help Desk: helpdesk@georgebrown.ca, 416-415-5000, ext. 4357
- Student FAQ: Not explicitly stated in the text
- Demos and tools: Available in Brightspace
- Application deadlines, college news, upcoming events, tours, and more: Sign Up Now
- George Brown College general contact: ask.george@georgebrown.ca, 416-415-2000
- Social Media Hub: Not explicitly stated in the text

Note: The text does not provide any explicit information on programs offered by the college.",",
* Is there a TTY number provided for contacting George Brown College?"
8,e62abcf5-e08d-4351-84a8-97f2d0b64541," To access Brightspace, the learning platform of George Brown College, visit learn.georgebrown.ca. You will need this information to log in: ""Visit D2L-Brightspace"". If you encounter issues with logging into Brightspace or your GBC account, contact the Help Desk at helpdesk@georgebrown.ca or 416-415-5000, ext. 4357. Additionally, resources like demos and student FAQs are available to help navigate Brightspace. For more information, sign up for college updates or contact ask.george@georgebrown.ca (416-415-2000) or the TTY number: 1-877-515-5559.

George Brown College resources and contacts:
- Brightspace login: Visit D2L-Brightspace
- Help Desk: helpdesk@georgebrown.ca, 416-415-5000, ext. 4357
- Student FAQ: Not explicitly stated in the text
- Demos and tools: Available in Brightspace
- Application deadlines, college news, upcoming events, tours, and more: Sign Up Now
- George Brown College general contact: ask.george@georgebrown.ca, 416-415-2000
- Social Media Hub: Not explicitly stated in the text

Note: The text does not provide any explicit information on programs offered by the college.",",
* Are there any explicitly stated resources for student FAQs in Brightspace?"
9,e62abcf5-e08d-4351-84a8-97f2d0b64541," To access Brightspace, the learning platform of George Brown College, visit learn.georgebrown.ca. You will need this information to log in: ""Visit D2L-Brightspace"". If you encounter issues with logging into Brightspace or your GBC account, contact the Help Desk at helpdesk@georgebrown.ca or 416-415-5000, ext. 4357. Additionally, resources like demos and student FAQs are available to help navigate Brightspace. For more information, sign up for college updates or contact ask.george@georgebrown.ca (416-415-2000) or the TTY number: 1-877-515-5559.

George Brown College resources and contacts:
- Brightspace login: Visit D2L-Brightspace
- Help Desk: helpdesk@georgebrown.ca, 416-415-5000, ext. 4357
- Student FAQ: Not explicitly stated in the text
- Demos and tools: Available in Brightspace
- Application deadlines, college news, upcoming events, tours, and more: Sign Up Now
- George Brown College general contact: ask.george@georgebrown.ca, 416-415-2000
- Social Media Hub: Not explicitly stated in the text

Note: The text does not provide any explicit information on programs offered by the college.",?
