,contextId,context,question
0,57cac1c4-bcf5-40b2-98d7-6f9107d658e0," The Academic Upgrading Program (A751) is an online program offered by George Brown College for English-speaking adults to improve reading, writing, math, and science skills. New classes begin every month, and the program runs Monday to Friday between 9:00 a.m. and 4:30 p.m. Interested individuals can contact the department at 416-415-2000 or TTY: 1-877-515-5559, or send an email to ask.george@georgebrown.ca for more information. The program's schedule and application deadlines, as well as college news and upcoming events, can be kept up-to-date by signing up. The contact information is also available on the college's Social Media Hub. Please note that the information contained in the website may be subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",What program is named Academic Upgrading Program (A751) at George Brown College?
1,57cac1c4-bcf5-40b2-98d7-6f9107d658e0," The Academic Upgrading Program (A751) is an online program offered by George Brown College for English-speaking adults to improve reading, writing, math, and science skills. New classes begin every month, and the program runs Monday to Friday between 9:00 a.m. and 4:30 p.m. Interested individuals can contact the department at 416-415-2000 or TTY: 1-877-515-5559, or send an email to ask.george@georgebrown.ca for more information. The program's schedule and application deadlines, as well as college news and upcoming events, can be kept up-to-date by signing up. The contact information is also available on the college's Social Media Hub. Please note that the information contained in the website may be subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", In what ways does this online program help adults improve skills?"
2,57cac1c4-bcf5-40b2-98d7-6f9107d658e0," The Academic Upgrading Program (A751) is an online program offered by George Brown College for English-speaking adults to improve reading, writing, math, and science skills. New classes begin every month, and the program runs Monday to Friday between 9:00 a.m. and 4:30 p.m. Interested individuals can contact the department at 416-415-2000 or TTY: 1-877-515-5559, or send an email to ask.george@georgebrown.ca for more information. The program's schedule and application deadlines, as well as college news and upcoming events, can be kept up-to-date by signing up. The contact information is also available on the college's Social Media Hub. Please note that the information contained in the website may be subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", When do new classes begin in this program?"
3,57cac1c4-bcf5-40b2-98d7-6f9107d658e0," The Academic Upgrading Program (A751) is an online program offered by George Brown College for English-speaking adults to improve reading, writing, math, and science skills. New classes begin every month, and the program runs Monday to Friday between 9:00 a.m. and 4:30 p.m. Interested individuals can contact the department at 416-415-2000 or TTY: 1-877-515-5559, or send an email to ask.george@georgebrown.ca for more information. The program's schedule and application deadlines, as well as college news and upcoming events, can be kept up-to-date by signing up. The contact information is also available on the college's Social Media Hub. Please note that the information contained in the website may be subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", What are the operating hours of this program Monday to Friday?"
4,57cac1c4-bcf5-40b2-98d7-6f9107d658e0," The Academic Upgrading Program (A751) is an online program offered by George Brown College for English-speaking adults to improve reading, writing, math, and science skills. New classes begin every month, and the program runs Monday to Friday between 9:00 a.m. and 4:30 p.m. Interested individuals can contact the department at 416-415-2000 or TTY: 1-877-515-5559, or send an email to ask.george@georgebrown.ca for more information. The program's schedule and application deadlines, as well as college news and upcoming events, can be kept up-to-date by signing up. The contact information is also available on the college's Social Media Hub. Please note that the information contained in the website may be subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", How can interested individuals contact the department for more information regarding this program?"
5,57cac1c4-bcf5-40b2-98d7-6f9107d658e0," The Academic Upgrading Program (A751) is an online program offered by George Brown College for English-speaking adults to improve reading, writing, math, and science skills. New classes begin every month, and the program runs Monday to Friday between 9:00 a.m. and 4:30 p.m. Interested individuals can contact the department at 416-415-2000 or TTY: 1-877-515-5559, or send an email to ask.george@georgebrown.ca for more information. The program's schedule and application deadlines, as well as college news and upcoming events, can be kept up-to-date by signing up. The contact information is also available on the college's Social Media Hub. Please note that the information contained in the website may be subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", Is there a toll-free number for those with hearing impairments to call?"
6,57cac1c4-bcf5-40b2-98d7-6f9107d658e0," The Academic Upgrading Program (A751) is an online program offered by George Brown College for English-speaking adults to improve reading, writing, math, and science skills. New classes begin every month, and the program runs Monday to Friday between 9:00 a.m. and 4:30 p.m. Interested individuals can contact the department at 416-415-2000 or TTY: 1-877-515-5559, or send an email to ask.george@georgebrown.ca for more information. The program's schedule and application deadlines, as well as college news and upcoming events, can be kept up-to-date by signing up. The contact information is also available on the college's Social Media Hub. Please note that the information contained in the website may be subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", What email address can be used to send queries related to this program?"
7,57cac1c4-bcf5-40b2-98d7-6f9107d658e0," The Academic Upgrading Program (A751) is an online program offered by George Brown College for English-speaking adults to improve reading, writing, math, and science skills. New classes begin every month, and the program runs Monday to Friday between 9:00 a.m. and 4:30 p.m. Interested individuals can contact the department at 416-415-2000 or TTY: 1-877-515-5559, or send an email to ask.george@georgebrown.ca for more information. The program's schedule and application deadlines, as well as college news and upcoming events, can be kept up-to-date by signing up. The contact information is also available on the college's Social Media Hub. Please note that the information contained in the website may be subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", Where else can one find the contact information for this program?"
8,57cac1c4-bcf5-40b2-98d7-6f9107d658e0," The Academic Upgrading Program (A751) is an online program offered by George Brown College for English-speaking adults to improve reading, writing, math, and science skills. New classes begin every month, and the program runs Monday to Friday between 9:00 a.m. and 4:30 p.m. Interested individuals can contact the department at 416-415-2000 or TTY: 1-877-515-5559, or send an email to ask.george@georgebrown.ca for more information. The program's schedule and application deadlines, as well as college news and upcoming events, can be kept up-to-date by signing up. The contact information is also available on the college's Social Media Hub. Please note that the information contained in the website may be subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", Can the schedule and application deadlines be kept updated by signing up?"
9,57cac1c4-bcf5-40b2-98d7-6f9107d658e0," The Academic Upgrading Program (A751) is an online program offered by George Brown College for English-speaking adults to improve reading, writing, math, and science skills. New classes begin every month, and the program runs Monday to Friday between 9:00 a.m. and 4:30 p.m. Interested individuals can contact the department at 416-415-2000 or TTY: 1-877-515-5559, or send an email to ask.george@georgebrown.ca for more information. The program's schedule and application deadlines, as well as college news and upcoming events, can be kept up-to-date by signing up. The contact information is also available on the college's Social Media Hub. Please note that the information contained in the website may be subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", What topics does signing up cover besides the program schedule and application deadlines?"
