,contextId,context,question
0,aba4536e-e7c5-4192-a152-f6521450db77," Ontario Colges begins accepting applications in October for academic cycle of Fall 2023, Winter 2024 and Spring 2024. Equal consideration date is February 1st of the academic year. Highly competitive programs are recommended to be applied by this date.

Contact Information:
- Phone: 416-415-2000 (local) or 1-800-265-2002 (toll-free in Canada and USA)
- TTY: 1-877-515-5559
- Email: ask.george@georgebrown.ca

Winter 2024 programs delivery information is available to learn more.

Sign up for college news, application deadlines, tours and events.

George Brown College contact information is subject to change without notice. Students are responsible for verifying college fee requirements.",What is the starting month for Ontario Colleges to accept applications in academic year 2023-2024?
1,aba4536e-e7c5-4192-a152-f6521450db77," Ontario Colges begins accepting applications in October for academic cycle of Fall 2023, Winter 2024 and Spring 2024. Equal consideration date is February 1st of the academic year. Highly competitive programs are recommended to be applied by this date.

Contact Information:
- Phone: 416-415-2000 (local) or 1-800-265-2002 (toll-free in Canada and USA)
- TTY: 1-877-515-5559
- Email: ask.george@georgebrown.ca

Winter 2024 programs delivery information is available to learn more.

Sign up for college news, application deadlines, tours and events.

George Brown College contact information is subject to change without notice. Students are responsible for verifying college fee requirements.",", When is the equal consideration date for applying to Ontario Colleges?"
2,aba4536e-e7c5-4192-a152-f6521450db77," Ontario Colges begins accepting applications in October for academic cycle of Fall 2023, Winter 2024 and Spring 2024. Equal consideration date is February 1st of the academic year. Highly competitive programs are recommended to be applied by this date.

Contact Information:
- Phone: 416-415-2000 (local) or 1-800-265-2002 (toll-free in Canada and USA)
- TTY: 1-877-515-5559
- Email: ask.george@georgebrown.ca

Winter 2024 programs delivery information is available to learn more.

Sign up for college news, application deadlines, tours and events.

George Brown College contact information is subject to change without notice. Students are responsible for verifying college fee requirements.",", Which programs are considered highly competitive and recommended to be applied by February 1st?"
3,aba4536e-e7c5-4192-a152-f6521450db77," Ontario Colges begins accepting applications in October for academic cycle of Fall 2023, Winter 2024 and Spring 2024. Equal consideration date is February 1st of the academic year. Highly competitive programs are recommended to be applied by this date.

Contact Information:
- Phone: 416-415-2000 (local) or 1-800-265-2002 (toll-free in Canada and USA)
- TTY: 1-877-515-5559
- Email: ask.george@georgebrown.ca

Winter 2024 programs delivery information is available to learn more.

Sign up for college news, application deadlines, tours and events.

George Brown College contact information is subject to change without notice. Students are responsible for verifying college fee requirements.",", What is the phone number to contact George Brown College (local)?"
4,aba4536e-e7c5-4192-a152-f6521450db77," Ontario Colges begins accepting applications in October for academic cycle of Fall 2023, Winter 2024 and Spring 2024. Equal consideration date is February 1st of the academic year. Highly competitive programs are recommended to be applied by this date.

Contact Information:
- Phone: 416-415-2000 (local) or 1-800-265-2002 (toll-free in Canada and USA)
- TTY: 1-877-515-5559
- Email: ask.george@georgebrown.ca

Winter 2024 programs delivery information is available to learn more.

Sign up for college news, application deadlines, tours and events.

George Brown College contact information is subject to change without notice. Students are responsible for verifying college fee requirements.",", What is the toll-free phone number to contact George Brown College in Canada and USA?"
5,aba4536e-e7c5-4192-a152-f6521450db77," Ontario Colges begins accepting applications in October for academic cycle of Fall 2023, Winter 2024 and Spring 2024. Equal consideration date is February 1st of the academic year. Highly competitive programs are recommended to be applied by this date.

Contact Information:
- Phone: 416-415-2000 (local) or 1-800-265-2002 (toll-free in Canada and USA)
- TTY: 1-877-515-5559
- Email: ask.george@georgebrown.ca

Winter 2024 programs delivery information is available to learn more.

Sign up for college news, application deadlines, tours and events.

George Brown College contact information is subject to change without notice. Students are responsible for verifying college fee requirements.",", What is the TTY number for contacting George Brown College?"
6,aba4536e-e7c5-4192-a152-f6521450db77," Ontario Colges begins accepting applications in October for academic cycle of Fall 2023, Winter 2024 and Spring 2024. Equal consideration date is February 1st of the academic year. Highly competitive programs are recommended to be applied by this date.

Contact Information:
- Phone: 416-415-2000 (local) or 1-800-265-2002 (toll-free in Canada and USA)
- TTY: 1-877-515-5559
- Email: ask.george@georgebrown.ca

Winter 2024 programs delivery information is available to learn more.

Sign up for college news, application deadlines, tours and events.

George Brown College contact information is subject to change without notice. Students are responsible for verifying college fee requirements.",", How can students contact George Brown College via email?"
7,aba4536e-e7c5-4192-a152-f6521450db77," Ontario Colges begins accepting applications in October for academic cycle of Fall 2023, Winter 2024 and Spring 2024. Equal consideration date is February 1st of the academic year. Highly competitive programs are recommended to be applied by this date.

Contact Information:
- Phone: 416-415-2000 (local) or 1-800-265-2002 (toll-free in Canada and USA)
- TTY: 1-877-515-5559
- Email: ask.george@georgebrown.ca

Winter 2024 programs delivery information is available to learn more.

Sign up for college news, application deadlines, tours and events.

George Brown College contact information is subject to change without notice. Students are responsible for verifying college fee requirements.",", Where can students find information about Winter 2024 programs delivery?"
8,aba4536e-e7c5-4192-a152-f6521450db77," Ontario Colges begins accepting applications in October for academic cycle of Fall 2023, Winter 2024 and Spring 2024. Equal consideration date is February 1st of the academic year. Highly competitive programs are recommended to be applied by this date.

Contact Information:
- Phone: 416-415-2000 (local) or 1-800-265-2002 (toll-free in Canada and USA)
- TTY: 1-877-515-5559
- Email: ask.george@georgebrown.ca

Winter 2024 programs delivery information is available to learn more.

Sign up for college news, application deadlines, tours and events.

George Brown College contact information is subject to change without notice. Students are responsible for verifying college fee requirements.",", How can students sign up for college news, application deadlines, tours and events?"
9,aba4536e-e7c5-4192-a152-f6521450db77," Ontario Colges begins accepting applications in October for academic cycle of Fall 2023, Winter 2024 and Spring 2024. Equal consideration date is February 1st of the academic year. Highly competitive programs are recommended to be applied by this date.

Contact Information:
- Phone: 416-415-2000 (local) or 1-800-265-2002 (toll-free in Canada and USA)
- TTY: 1-877-515-5559
- Email: ask.george@georgebrown.ca

Winter 2024 programs delivery information is available to learn more.

Sign up for college news, application deadlines, tours and events.

George Brown College contact information is subject to change without notice. Students are responsible for verifying college fee requirements.",", Can the George Brown College contact information change without notice?"
