,contextId,context,question
0,8e17e7c7-1bad-48d2-9f4a-65022ebbd1cd," The George Brown College offers facilities with up-to-date technology and industry standards for hands-on training. They provide both full-time and part-time training options. Their faculty is comprised of working professionals in their respective industries, including celebrated chefs, Red Seal Qualified tradespeople, and professional engineers. The college is located in Toronto, Canada's largest city and one of the most diverse cities in the world. They develop curriculum with important input from industry partners and offer apprenticeship programs that combine hands-on learning in school with on-the-job training in the workplace. Students can get started through the Accelerated Ontario Youth Apprenticeship Program (OYAP) for Secondary School students by applying through their high schools. For more information, contact ask.george@georgebrown.ca or visit their social media hub. Their website is subject to change without notice. Phone: 416-415-2000; TTY: 1-877-515-5559.",What technologies and industry standards does George Brown College provide for hands-on training?
1,8e17e7c7-1bad-48d2-9f4a-65022ebbd1cd," The George Brown College offers facilities with up-to-date technology and industry standards for hands-on training. They provide both full-time and part-time training options. Their faculty is comprised of working professionals in their respective industries, including celebrated chefs, Red Seal Qualified tradespeople, and professional engineers. The college is located in Toronto, Canada's largest city and one of the most diverse cities in the world. They develop curriculum with important input from industry partners and offer apprenticeship programs that combine hands-on learning in school with on-the-job training in the workplace. Students can get started through the Accelerated Ontario Youth Apprenticeship Program (OYAP) for Secondary School students by applying through their high schools. For more information, contact ask.george@georgebrown.ca or visit their social media hub. Their website is subject to change without notice. Phone: 416-415-2000; TTY: 1-877-515-5559.",", Which training options are available at George Brown College (full-time or part-time)?"
2,8e17e7c7-1bad-48d2-9f4a-65022ebbd1cd," The George Brown College offers facilities with up-to-date technology and industry standards for hands-on training. They provide both full-time and part-time training options. Their faculty is comprised of working professionals in their respective industries, including celebrated chefs, Red Seal Qualified tradespeople, and professional engineers. The college is located in Toronto, Canada's largest city and one of the most diverse cities in the world. They develop curriculum with important input from industry partners and offer apprenticeship programs that combine hands-on learning in school with on-the-job training in the workplace. Students can get started through the Accelerated Ontario Youth Apprenticeship Program (OYAP) for Secondary School students by applying through their high schools. For more information, contact ask.george@georgebrown.ca or visit their social media hub. Their website is subject to change without notice. Phone: 416-415-2000; TTY: 1-877-515-5559.",", Who makes up the faculty at George Brown College?"
3,8e17e7c7-1bad-48d2-9f4a-65022ebbd1cd," The George Brown College offers facilities with up-to-date technology and industry standards for hands-on training. They provide both full-time and part-time training options. Their faculty is comprised of working professionals in their respective industries, including celebrated chefs, Red Seal Qualified tradespeople, and professional engineers. The college is located in Toronto, Canada's largest city and one of the most diverse cities in the world. They develop curriculum with important input from industry partners and offer apprenticeship programs that combine hands-on learning in school with on-the-job training in the workplace. Students can get started through the Accelerated Ontario Youth Apprenticeship Program (OYAP) for Secondary School students by applying through their high schools. For more information, contact ask.george@georgebrown.ca or visit their social media hub. Their website is subject to change without notice. Phone: 416-415-2000; TTY: 1-877-515-5559.",", In which city is George Brown College located?"
4,8e17e7c7-1bad-48d2-9f4a-65022ebbd1cd," The George Brown College offers facilities with up-to-date technology and industry standards for hands-on training. They provide both full-time and part-time training options. Their faculty is comprised of working professionals in their respective industries, including celebrated chefs, Red Seal Qualified tradespeople, and professional engineers. The college is located in Toronto, Canada's largest city and one of the most diverse cities in the world. They develop curriculum with important input from industry partners and offer apprenticeship programs that combine hands-on learning in school with on-the-job training in the workplace. Students can get started through the Accelerated Ontario Youth Apprenticeship Program (OYAP) for Secondary School students by applying through their high schools. For more information, contact ask.george@georgebrown.ca or visit their social media hub. Their website is subject to change without notice. Phone: 416-415-2000; TTY: 1-877-515-5559.",", How does George Brown College develop their curriculum?"
5,8e17e7c7-1bad-48d2-9f4a-65022ebbd1cd," The George Brown College offers facilities with up-to-date technology and industry standards for hands-on training. They provide both full-time and part-time training options. Their faculty is comprised of working professionals in their respective industries, including celebrated chefs, Red Seal Qualified tradespeople, and professional engineers. The college is located in Toronto, Canada's largest city and one of the most diverse cities in the world. They develop curriculum with important input from industry partners and offer apprenticeship programs that combine hands-on learning in school with on-the-job training in the workplace. Students can get started through the Accelerated Ontario Youth Apprenticeship Program (OYAP) for Secondary School students by applying through their high schools. For more information, contact ask.george@georgebrown.ca or visit their social media hub. Their website is subject to change without notice. Phone: 416-415-2000; TTY: 1-877-515-5559.",",, What apprenticeship programs does George Brown College offer?"
6,8e17e7c7-1bad-48d2-9f4a-65022ebbd1cd," The George Brown College offers facilities with up-to-date technology and industry standards for hands-on training. They provide both full-time and part-time training options. Their faculty is comprised of working professionals in their respective industries, including celebrated chefs, Red Seal Qualified tradespeople, and professional engineers. The college is located in Toronto, Canada's largest city and one of the most diverse cities in the world. They develop curriculum with important input from industry partners and offer apprenticeship programs that combine hands-on learning in school with on-the-job training in the workplace. Students can get started through the Accelerated Ontario Youth Apprenticeship Program (OYAP) for Secondary School students by applying through their high schools. For more information, contact ask.george@georgebrown.ca or visit their social media hub. Their website is subject to change without notice. Phone: 416-415-2000; TTY: 1-877-515-5559.",", How can Secondary School students get started through OYAP program?"
7,8e17e7c7-1bad-48d2-9f4a-65022ebbd1cd," The George Brown College offers facilities with up-to-date technology and industry standards for hands-on training. They provide both full-time and part-time training options. Their faculty is comprised of working professionals in their respective industries, including celebrated chefs, Red Seal Qualified tradespeople, and professional engineers. The college is located in Toronto, Canada's largest city and one of the most diverse cities in the world. They develop curriculum with important input from industry partners and offer apprenticeship programs that combine hands-on learning in school with on-the-job training in the workplace. Students can get started through the Accelerated Ontario Youth Apprenticeship Program (OYAP) for Secondary School students by applying through their high schools. For more information, contact ask.george@georgebrown.ca or visit their social media hub. Their website is subject to change without notice. Phone: 416-415-2000; TTY: 1-877-515-5559.","., How can one contact George Brown College for more information?"
8,8e17e7c7-1bad-48d2-9f4a-65022ebbd1cd," The George Brown College offers facilities with up-to-date technology and industry standards for hands-on training. They provide both full-time and part-time training options. Their faculty is comprised of working professionals in their respective industries, including celebrated chefs, Red Seal Qualified tradespeople, and professional engineers. The college is located in Toronto, Canada's largest city and one of the most diverse cities in the world. They develop curriculum with important input from industry partners and offer apprenticeship programs that combine hands-on learning in school with on-the-job training in the workplace. Students can get started through the Accelerated Ontario Youth Apprenticeship Program (OYAP) for Secondary School students by applying through their high schools. For more information, contact ask.george@georgebrown.ca or visit their social media hub. Their website is subject to change without notice. Phone: 416-415-2000; TTY: 1-877-515-5559.",", What is the phone number for George Brown College?"
9,8e17e7c7-1bad-48d2-9f4a-65022ebbd1cd," The George Brown College offers facilities with up-to-date technology and industry standards for hands-on training. They provide both full-time and part-time training options. Their faculty is comprised of working professionals in their respective industries, including celebrated chefs, Red Seal Qualified tradespeople, and professional engineers. The college is located in Toronto, Canada's largest city and one of the most diverse cities in the world. They develop curriculum with important input from industry partners and offer apprenticeship programs that combine hands-on learning in school with on-the-job training in the workplace. Students can get started through the Accelerated Ontario Youth Apprenticeship Program (OYAP) for Secondary School students by applying through their high schools. For more information, contact ask.george@georgebrown.ca or visit their social media hub. Their website is subject to change without notice. Phone: 416-415-2000; TTY: 1-877-515-5559.","., What is the TTY number for George Brown College?"
