,contextId,context,question
0,d67d1f5f-68b2-4db6-88d2-13612ef92618," The School of Accounting and Finance offers diploma, advanced diploma, degree, and graduate certificate programs. Their practical approach to financial services studies combines business and finance to prepare students for diverse career options in the financial services sector. The financial services sector is critical to both the Canadian economy and that of the Toronto region. George Brown College provides a free Entry Advising service to help match skills, backgrounds, and career goals with program options. Prospective students can attend an information session or sign up for a campus tour to learn more about the programs and facilities. The contact information is 416-415-2000 (TTY: 1-877-515-5559) and ask.george@georgebrown.ca. Additional resources include their social media hub, land acknowledgment page, and sign-up form for college news and updates. The information on this website is subject to change without notice, and students are responsible for verifying George Brown College fee requirements.",What programs does the School of Accounting and Finance offer?
1,d67d1f5f-68b2-4db6-88d2-13612ef92618," The School of Accounting and Finance offers diploma, advanced diploma, degree, and graduate certificate programs. Their practical approach to financial services studies combines business and finance to prepare students for diverse career options in the financial services sector. The financial services sector is critical to both the Canadian economy and that of the Toronto region. George Brown College provides a free Entry Advising service to help match skills, backgrounds, and career goals with program options. Prospective students can attend an information session or sign up for a campus tour to learn more about the programs and facilities. The contact information is 416-415-2000 (TTY: 1-877-515-5559) and ask.george@georgebrown.ca. Additional resources include their social media hub, land acknowledgment page, and sign-up form for college news and updates. The information on this website is subject to change without notice, and students are responsible for verifying George Brown College fee requirements.",", Which career options can be pursued with the financial services sector knowledge?"
2,d67d1f5f-68b2-4db6-88d2-13612ef92618," The School of Accounting and Finance offers diploma, advanced diploma, degree, and graduate certificate programs. Their practical approach to financial services studies combines business and finance to prepare students for diverse career options in the financial services sector. The financial services sector is critical to both the Canadian economy and that of the Toronto region. George Brown College provides a free Entry Advising service to help match skills, backgrounds, and career goals with program options. Prospective students can attend an information session or sign up for a campus tour to learn more about the programs and facilities. The contact information is 416-415-2000 (TTY: 1-877-515-5559) and ask.george@georgebrown.ca. Additional resources include their social media hub, land acknowledgment page, and sign-up form for college news and updates. The information on this website is subject to change without notice, and students are responsible for verifying George Brown College fee requirements.",", How is the financial services sector important to the Canadian economy and Toronto region?"
3,d67d1f5f-68b2-4db6-88d2-13612ef92618," The School of Accounting and Finance offers diploma, advanced diploma, degree, and graduate certificate programs. Their practical approach to financial services studies combines business and finance to prepare students for diverse career options in the financial services sector. The financial services sector is critical to both the Canadian economy and that of the Toronto region. George Brown College provides a free Entry Advising service to help match skills, backgrounds, and career goals with program options. Prospective students can attend an information session or sign up for a campus tour to learn more about the programs and facilities. The contact information is 416-415-2000 (TTY: 1-877-515-5559) and ask.george@georgebrown.ca. Additional resources include their social media hub, land acknowledgment page, and sign-up form for college news and updates. The information on this website is subject to change without notice, and students are responsible for verifying George Brown College fee requirements.",", What is the purpose of George Brown College's Entry Advising service?"
4,d67d1f5f-68b2-4db6-88d2-13612ef92618," The School of Accounting and Finance offers diploma, advanced diploma, degree, and graduate certificate programs. Their practical approach to financial services studies combines business and finance to prepare students for diverse career options in the financial services sector. The financial services sector is critical to both the Canadian economy and that of the Toronto region. George Brown College provides a free Entry Advising service to help match skills, backgrounds, and career goals with program options. Prospective students can attend an information session or sign up for a campus tour to learn more about the programs and facilities. The contact information is 416-415-2000 (TTY: 1-877-515-5559) and ask.george@georgebrown.ca. Additional resources include their social media hub, land acknowledgment page, and sign-up form for college news and updates. The information on this website is subject to change without notice, and students are responsible for verifying George Brown College fee requirements.",", How do I sign up for an information session or campus tour?"
5,d67d1f5f-68b2-4db6-88d2-13612ef92618," The School of Accounting and Finance offers diploma, advanced diploma, degree, and graduate certificate programs. Their practical approach to financial services studies combines business and finance to prepare students for diverse career options in the financial services sector. The financial services sector is critical to both the Canadian economy and that of the Toronto region. George Brown College provides a free Entry Advising service to help match skills, backgrounds, and career goals with program options. Prospective students can attend an information session or sign up for a campus tour to learn more about the programs and facilities. The contact information is 416-415-2000 (TTY: 1-877-515-5559) and ask.george@georgebrown.ca. Additional resources include their social media hub, land acknowledgment page, and sign-up form for college news and updates. The information on this website is subject to change without notice, and students are responsible for verifying George Brown College fee requirements.",", What is the contact information for George Brown College (including TTY number)?"
6,d67d1f5f-68b2-4db6-88d2-13612ef92618," The School of Accounting and Finance offers diploma, advanced diploma, degree, and graduate certificate programs. Their practical approach to financial services studies combines business and finance to prepare students for diverse career options in the financial services sector. The financial services sector is critical to both the Canadian economy and that of the Toronto region. George Brown College provides a free Entry Advising service to help match skills, backgrounds, and career goals with program options. Prospective students can attend an information session or sign up for a campus tour to learn more about the programs and facilities. The contact information is 416-415-2000 (TTY: 1-877-515-5559) and ask.george@georgebrown.ca. Additional resources include their social media hub, land acknowledgment page, and sign-up form for college news and updates. The information on this website is subject to change without notice, and students are responsible for verifying George Brown College fee requirements.",", Where can I find additional resources related to George Brown College (social media hub, land acknowledgment page, sign-up form for college news and updates)?"
7,d67d1f5f-68b2-4db6-88d2-13612ef92618," The School of Accounting and Finance offers diploma, advanced diploma, degree, and graduate certificate programs. Their practical approach to financial services studies combines business and finance to prepare students for diverse career options in the financial services sector. The financial services sector is critical to both the Canadian economy and that of the Toronto region. George Brown College provides a free Entry Advising service to help match skills, backgrounds, and career goals with program options. Prospective students can attend an information session or sign up for a campus tour to learn more about the programs and facilities. The contact information is 416-415-2000 (TTY: 1-877-515-5559) and ask.george@georgebrown.ca. Additional resources include their social media hub, land acknowledgment page, and sign-up form for college news and updates. The information on this website is subject to change without notice, and students are responsible for verifying George Brown College fee requirements.",", Is the information on the George Brown College website subject to change without notice?"
8,d67d1f5f-68b2-4db6-88d2-13612ef92618," The School of Accounting and Finance offers diploma, advanced diploma, degree, and graduate certificate programs. Their practical approach to financial services studies combines business and finance to prepare students for diverse career options in the financial services sector. The financial services sector is critical to both the Canadian economy and that of the Toronto region. George Brown College provides a free Entry Advising service to help match skills, backgrounds, and career goals with program options. Prospective students can attend an information session or sign up for a campus tour to learn more about the programs and facilities. The contact information is 416-415-2000 (TTY: 1-877-515-5559) and ask.george@georgebrown.ca. Additional resources include their social media hub, land acknowledgment page, and sign-up form for college news and updates. The information on this website is subject to change without notice, and students are responsible for verifying George Brown College fee requirements.",", Who is responsible for verifying George Brown College fee requirements?"
9,d67d1f5f-68b2-4db6-88d2-13612ef92618," The School of Accounting and Finance offers diploma, advanced diploma, degree, and graduate certificate programs. Their practical approach to financial services studies combines business and finance to prepare students for diverse career options in the financial services sector. The financial services sector is critical to both the Canadian economy and that of the Toronto region. George Brown College provides a free Entry Advising service to help match skills, backgrounds, and career goals with program options. Prospective students can attend an information session or sign up for a campus tour to learn more about the programs and facilities. The contact information is 416-415-2000 (TTY: 1-877-515-5559) and ask.george@georgebrown.ca. Additional resources include their social media hub, land acknowledgment page, and sign-up form for college news and updates. The information on this website is subject to change without notice, and students are responsible for verifying George Brown College fee requirements.",?
