,contextId,context,question
0,1523e074-0032-472c-b4c0-2aab4610c9dd," Title: Interdisciplinary Design Strategy (Postgraduate) at the Institute Without Boundaries (G414) program
Information Session: ONLINE, registration required due to limited space, contact Sandhya Casson (Sandhya.casson@georgebrown.ca) for details
Location: ONLINE, webinar style
Program-specific information and application deadlines: Sign up to receive updates
Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Social Media Hub: Visit for more information
Note: Information contained in the website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",What is the title of the postgraduate program at the Institute Without Boundaries (G41interactivenewline14)?
1,1523e074-0032-472c-b4c0-2aab4610c9dd," Title: Interdisciplinary Design Strategy (Postgraduate) at the Institute Without Boundaries (G414) program
Information Session: ONLINE, registration required due to limited space, contact Sandhya Casson (Sandhya.casson@georgebrown.ca) for details
Location: ONLINE, webinar style
Program-specific information and application deadlines: Sign up to receive updates
Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Social Media Hub: Visit for more information
Note: Information contained in the website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", Is the information session for this program online only?"
2,1523e074-0032-472c-b4c0-2aab4610c9dd," Title: Interdisciplinary Design Strategy (Postgraduate) at the Institute Without Boundaries (G414) program
Information Session: ONLINE, registration required due to limited space, contact Sandhya Casson (Sandhya.casson@georgebrown.ca) for details
Location: ONLINE, webinar style
Program-specific information and application deadlines: Sign up to receive updates
Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Social Media Hub: Visit for more information
Note: Information contained in the website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", How do I register for the information session?"
3,1523e074-0032-472c-b4c0-2aab4610c9dd," Title: Interdisciplinary Design Strategy (Postgraduate) at the Institute Without Boundaries (G414) program
Information Session: ONLINE, registration required due to limited space, contact Sandhya Casson (Sandhya.casson@georgebrown.ca) for details
Location: ONLINE, webinar style
Program-specific information and application deadlines: Sign up to receive updates
Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Social Media Hub: Visit for more information
Note: Information contained in the website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", Who should I contact for details regarding the registration?"
4,1523e074-0032-472c-b4c0-2aab4610c9dd," Title: Interdisciplinary Design Strategy (Postgraduate) at the Institute Without Boundaries (G414) program
Information Session: ONLINE, registration required due to limited space, contact Sandhya Casson (Sandhya.casson@georgebrown.ca) for details
Location: ONLINE, webinar style
Program-specific information and application deadlines: Sign up to receive updates
Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Social Media Hub: Visit for more information
Note: Information contained in the website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", What is the location of the information session?"
5,1523e074-0032-472c-b4c0-2aab4610c9dd," Title: Interdisciplinary Design Strategy (Postgraduate) at the Institute Without Boundaries (G414) program
Information Session: ONLINE, registration required due to limited space, contact Sandhya Casson (Sandhya.casson@georgebrown.ca) for details
Location: ONLINE, webinar style
Program-specific information and application deadlines: Sign up to receive updates
Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Social Media Hub: Visit for more information
Note: Information contained in the website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", Is the program-specific information and application deadlines available on the website?"
6,1523e074-0032-472c-b4c0-2aab4610c9dd," Title: Interdisciplinary Design Strategy (Postgraduate) at the Institute Without Boundaries (G414) program
Information Session: ONLINE, registration required due to limited space, contact Sandhya Casson (Sandhya.casson@georgebrown.ca) for details
Location: ONLINE, webinar style
Program-specific information and application deadlines: Sign up to receive updates
Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Social Media Hub: Visit for more information
Note: Information contained in the website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", How can I receive updates on the program and application deadlines?"
7,1523e074-0032-472c-b4c0-2aab4610c9dd," Title: Interdisciplinary Design Strategy (Postgraduate) at the Institute Without Boundaries (G414) program
Information Session: ONLINE, registration required due to limited space, contact Sandhya Casson (Sandhya.casson@georgebrown.ca) for details
Location: ONLINE, webinar style
Program-specific information and application deadlines: Sign up to receive updates
Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Social Media Hub: Visit for more information
Note: Information contained in the website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", What are the contact details for George Brown College?"
8,1523e074-0032-472c-b4c0-2aab4610c9dd," Title: Interdisciplinary Design Strategy (Postgraduate) at the Institute Without Boundaries (G414) program
Information Session: ONLINE, registration required due to limited space, contact Sandhya Casson (Sandhya.casson@georgebrown.ca) for details
Location: ONLINE, webinar style
Program-specific information and application deadlines: Sign up to receive updates
Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Social Media Hub: Visit for more information
Note: Information contained in the website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", What is the TTY number for George Brown College?"
9,1523e074-0032-472c-b4c0-2aab4610c9dd," Title: Interdisciplinary Design Strategy (Postgraduate) at the Institute Without Boundaries (G414) program
Information Session: ONLINE, registration required due to limited space, contact Sandhya Casson (Sandhya.casson@georgebrown.ca) for details
Location: ONLINE, webinar style
Program-specific information and application deadlines: Sign up to receive updates
Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Social Media Hub: Visit for more information
Note: Information contained in the website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", Who do I contact for general inquiries about the college?"
10,1523e074-0032-472c-b4c0-2aab4610c9dd," Title: Interdisciplinary Design Strategy (Postgraduate) at the Institute Without Boundaries (G414) program
Information Session: ONLINE, registration required due to limited space, contact Sandhya Casson (Sandhya.casson@georgebrown.ca) for details
Location: ONLINE, webinar style
Program-specific information and application deadlines: Sign up to receive updates
Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Social Media Hub: Visit for more information
Note: Information contained in the website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", Where can I find more information about this program on social media?"
11,1523e074-0032-472c-b4c0-2aab4610c9dd," Title: Interdisciplinary Design Strategy (Postgraduate) at the Institute Without Boundaries (G414) program
Information Session: ONLINE, registration required due to limited space, contact Sandhya Casson (Sandhya.casson@georgebrown.ca) for details
Location: ONLINE, webinar style
Program-specific information and application deadlines: Sign up to receive updates
Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Social Media Hub: Visit for more information
Note: Information contained in the website is subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",?
