,contextId,context,question
0,3ab7cae8-2379-4e34-8a39-7ef79f53f49d," There are several episodes of a podcast called ""Work Shift"" discussed in the text. The episodes cover topics such as streaming in the special events industry, UX design, and service robots. Paul Araujo is a professor at George Brown's School of Hospitality & Tourism Management, DJ Starting from Scratch is a well-known Canadian DJ, Xavier Masse and Dr. Ana Rita Morais are from George Brown College's School of Design, Peter Sicard is the Co-Founder and Partner of Toronto design firm TuesdayAfternoon Media, and Rami Wehbe is the co-founder and CTO of tech solutions provider GlobalDWS. Tanya Spasic is a Toronto restaurateur who uses a service robot named Geoffrey for deliveries. The podcast can be listened to on Apple Podcasts, Google Play, Spotify, and Soundcloud.","1. Who are the guests in the ""Work Shift"" podcast episodes discussed in the text?"
1,3ab7cae8-2379-4e34-8a39-7ef79f53f49d," There are several episodes of a podcast called ""Work Shift"" discussed in the text. The episodes cover topics such as streaming in the special events industry, UX design, and service robots. Paul Araujo is a professor at George Brown's School of Hospitality & Tourism Management, DJ Starting from Scratch is a well-known Canadian DJ, Xavier Masse and Dr. Ana Rita Morais are from George Brown College's School of Design, Peter Sicard is the Co-Founder and Partner of Toronto design firm TuesdayAfternoon Media, and Rami Wehbe is the co-founder and CTO of tech solutions provider GlobalDWS. Tanya Spasic is a Toronto restaurateur who uses a service robot named Geoffrey for deliveries. The podcast can be listened to on Apple Podcasts, Google Play, Spotify, and Soundcloud.","2. What topics are covered in different episodes of the ""Work Shift"" podcast mentioned in the text?"
2,3ab7cae8-2379-4e34-8a39-7ef79f53f49d," There are several episodes of a podcast called ""Work Shift"" discussed in the text. The episodes cover topics such as streaming in the special events industry, UX design, and service robots. Paul Araujo is a professor at George Brown's School of Hospitality & Tourism Management, DJ Starting from Scratch is a well-known Canadian DJ, Xavier Masse and Dr. Ana Rita Morais are from George Brown College's School of Design, Peter Sicard is the Co-Founder and Partner of Toronto design firm TuesdayAfternoon Media, and Rami Wehbe is the co-founder and CTO of tech solutions provider GlobalDWS. Tanya Spasic is a Toronto restaurateur who uses a service robot named Geoffrey for deliveries. The podcast can be listened to on Apple Podcasts, Google Play, Spotify, and Soundcloud.","3. Where can one listen to the ""Work Shift"" podcast as per the information given in the text?"
3,3ab7cae8-2379-4e34-8a39-7ef79f53f49d," There are several episodes of a podcast called ""Work Shift"" discussed in the text. The episodes cover topics such as streaming in the special events industry, UX design, and service robots. Paul Araujo is a professor at George Brown's School of Hospitality & Tourism Management, DJ Starting from Scratch is a well-known Canadian DJ, Xavier Masse and Dr. Ana Rita Morais are from George Brown College's School of Design, Peter Sicard is the Co-Founder and Partner of Toronto design firm TuesdayAfternoon Media, and Rami Wehbe is the co-founder and CTO of tech solutions provider GlobalDWS. Tanya Spasic is a Toronto restaurateur who uses a service robot named Geoffrey for deliveries. The podcast can be listened to on Apple Podcasts, Google Play, Spotify, and Soundcloud.",4. Who is Paul Araujo and where does he teach?
4,3ab7cae8-2379-4e34-8a39-7ef79f53f49d," There are several episodes of a podcast called ""Work Shift"" discussed in the text. The episodes cover topics such as streaming in the special events industry, UX design, and service robots. Paul Araujo is a professor at George Brown's School of Hospitality & Tourism Management, DJ Starting from Scratch is a well-known Canadian DJ, Xavier Masse and Dr. Ana Rita Morais are from George Brown College's School of Design, Peter Sicard is the Co-Founder and Partner of Toronto design firm TuesdayAfternoon Media, and Rami Wehbe is the co-founder and CTO of tech solutions provider GlobalDWS. Tanya Spasic is a Toronto restaurateur who uses a service robot named Geoffrey for deliveries. The podcast can be listened to on Apple Podcasts, Google Play, Spotify, and Soundcloud.",5. Who is DJ Starting from Scratch and what is he known for?
5,3ab7cae8-2379-4e34-8a39-7ef79f53f49d," There are several episodes of a podcast called ""Work Shift"" discussed in the text. The episodes cover topics such as streaming in the special events industry, UX design, and service robots. Paul Araujo is a professor at George Brown's School of Hospitality & Tourism Management, DJ Starting from Scratch is a well-known Canadian DJ, Xavier Masse and Dr. Ana Rita Morais are from George Brown College's School of Design, Peter Sicard is the Co-Founder and Partner of Toronto design firm TuesdayAfternoon Media, and Rami Wehbe is the co-founder and CTO of tech solutions provider GlobalDWS. Tanya Spasic is a Toronto restaurateur who uses a service robot named Geoffrey for deliveries. The podcast can be listened to on Apple Podcasts, Google Play, Spotify, and Soundcloud.",6. Which colleges are attended by Xavier Masse and Dr. Ana Rita Morais?
6,3ab7cae8-2379-4e34-8a39-7ef79f53f49d," There are several episodes of a podcast called ""Work Shift"" discussed in the text. The episodes cover topics such as streaming in the special events industry, UX design, and service robots. Paul Araujo is a professor at George Brown's School of Hospitality & Tourism Management, DJ Starting from Scratch is a well-known Canadian DJ, Xavier Masse and Dr. Ana Rita Morais are from George Brown College's School of Design, Peter Sicard is the Co-Founder and Partner of Toronto design firm TuesdayAfternoon Media, and Rami Wehbe is the co-founder and CTO of tech solutions provider GlobalDWS. Tanya Spasic is a Toronto restaurateur who uses a service robot named Geoffrey for deliveries. The podcast can be listened to on Apple Podcasts, Google Play, Spotify, and Soundcloud.",7. Who is Peter Sicard and what is his professional association?
7,3ab7cae8-2379-4e34-8a39-7ef79f53f49d," There are several episodes of a podcast called ""Work Shift"" discussed in the text. The episodes cover topics such as streaming in the special events industry, UX design, and service robots. Paul Araujo is a professor at George Brown's School of Hospitality & Tourism Management, DJ Starting from Scratch is a well-known Canadian DJ, Xavier Masse and Dr. Ana Rita Morais are from George Brown College's School of Design, Peter Sicard is the Co-Founder and Partner of Toronto design firm TuesdayAfternoon Media, and Rami Wehbe is the co-founder and CTO of tech solutions provider GlobalDWS. Tanya Spasic is a Toronto restaurateur who uses a service robot named Geoffrey for deliveries. The podcast can be listened to on Apple Podcasts, Google Play, Spotify, and Soundcloud.",8. What is the name of the tech solutions provider co-founded by Rami Wehbe?
8,3ab7cae8-2379-4e34-8a39-7ef79f53f49d," There are several episodes of a podcast called ""Work Shift"" discussed in the text. The episodes cover topics such as streaming in the special events industry, UX design, and service robots. Paul Araujo is a professor at George Brown's School of Hospitality & Tourism Management, DJ Starting from Scratch is a well-known Canadian DJ, Xavier Masse and Dr. Ana Rita Morais are from George Brown College's School of Design, Peter Sicard is the Co-Founder and Partner of Toronto design firm TuesdayAfternoon Media, and Rami Wehbe is the co-founder and CTO of tech solutions provider GlobalDWS. Tanya Spasic is a Toronto restaurateur who uses a service robot named Geoffrey for deliveries. The podcast can be listened to on Apple Podcasts, Google Play, Spotify, and Soundcloud.",9. Who is Tanya Spasic and how does she use a robot named Geoffrey in her Toronto restaurant?
9,3ab7cae8-2379-4e34-8a39-7ef79f53f49d," There are several episodes of a podcast called ""Work Shift"" discussed in the text. The episodes cover topics such as streaming in the special events industry, UX design, and service robots. Paul Araujo is a professor at George Brown's School of Hospitality & Tourism Management, DJ Starting from Scratch is a well-known Canadian DJ, Xavier Masse and Dr. Ana Rita Morais are from George Brown College's School of Design, Peter Sicard is the Co-Founder and Partner of Toronto design firm TuesdayAfternoon Media, and Rami Wehbe is the co-founder and CTO of tech solutions provider GlobalDWS. Tanya Spasic is a Toronto restaurateur who uses a service robot named Geoffrey for deliveries. The podcast can be listened to on Apple Podcasts, Google Play, Spotify, and Soundcloud.",?
