,contextId,context,question
0,9cd50dc9-60b0-4f43-93c2-95788a9336ff," Emergency Contact Numbers:
- Emergency services (police, fire, ambulance): 911
- Security: (416) 415-4000 or ""0"" from a George Brown College internal Cisco phone

GBC Safety App Features:
- Allows users to call emergency services and campus security at the touch of a button
- Sends live location to GBC Security when assistance is needed on campus or to a trusted friend when travelling
- Allows reporting of safety concerns or suspicious activity on campus

Emergency Procedures:
- Remove all occupants
- Enclose the area you are leaving
- Activate the Fire Alarm
- Call Campus Security

Weather and Emergency Closure Information:
- Updates will be posted on www.georgebrown.ca
- Notification given through local radio and television stations
- Information can be obtained by calling (416) 415-2000 or toll-free 1-800-265-2002.

Phone Numbers:
- George Brown College main phone line: (416) 415-2000
- TTY: 1-877-515-5559.","What is the emergency services number for police, fire, and ambulance?"
1,9cd50dc9-60b0-4f43-93c2-95788a9336ff," Emergency Contact Numbers:
- Emergency services (police, fire, ambulance): 911
- Security: (416) 415-4000 or ""0"" from a George Brown College internal Cisco phone

GBC Safety App Features:
- Allows users to call emergency services and campus security at the touch of a button
- Sends live location to GBC Security when assistance is needed on campus or to a trusted friend when travelling
- Allows reporting of safety concerns or suspicious activity on campus

Emergency Procedures:
- Remove all occupants
- Enclose the area you are leaving
- Activate the Fire Alarm
- Call Campus Security

Weather and Emergency Closure Information:
- Updates will be posted on www.georgebrown.ca
- Notification given through local radio and television stations
- Information can be obtained by calling (416) 415-2000 or toll-free 1-800-265-2002.

Phone Numbers:
- George Brown College main phone line: (416) 415-2000
- TTY: 1-877-515-5559.",", Which number should I call for George Brown College security?"
2,9cd50dc9-60b0-4f43-93c2-95788a9336ff," Emergency Contact Numbers:
- Emergency services (police, fire, ambulance): 911
- Security: (416) 415-4000 or ""0"" from a George Brown College internal Cisco phone

GBC Safety App Features:
- Allows users to call emergency services and campus security at the touch of a button
- Sends live location to GBC Security when assistance is needed on campus or to a trusted friend when travelling
- Allows reporting of safety concerns or suspicious activity on campus

Emergency Procedures:
- Remove all occupants
- Enclose the area you are leaving
- Activate the Fire Alarm
- Call Campus Security

Weather and Emergency Closure Information:
- Updates will be posted on www.georgebrown.ca
- Notification given through local radio and television stations
- Information can be obtained by calling (416) 415-2000 or toll-free 1-800-265-2002.

Phone Numbers:
- George Brown College main phone line: (416) 415-2000
- TTY: 1-877-515-5559.",", What are the features of the GBC Safety App?"
3,9cd50dc9-60b0-4f43-93c2-95788a9336ff," Emergency Contact Numbers:
- Emergency services (police, fire, ambulance): 911
- Security: (416) 415-4000 or ""0"" from a George Brown College internal Cisco phone

GBC Safety App Features:
- Allows users to call emergency services and campus security at the touch of a button
- Sends live location to GBC Security when assistance is needed on campus or to a trusted friend when travelling
- Allows reporting of safety concerns or suspicious activity on campus

Emergency Procedures:
- Remove all occupants
- Enclose the area you are leaving
- Activate the Fire Alarm
- Call Campus Security

Weather and Emergency Closure Information:
- Updates will be posted on www.georgebrown.ca
- Notification given through local radio and television stations
- Information can be obtained by calling (416) 415-2000 or toll-free 1-800-265-2002.

Phone Numbers:
- George Brown College main phone line: (416) 415-2000
- TTY: 1-877-515-5559.",", How can I report safety concerns or suspicious activity on campus?"
4,9cd50dc9-60b0-4f43-93c2-95788a9336ff," Emergency Contact Numbers:
- Emergency services (police, fire, ambulance): 911
- Security: (416) 415-4000 or ""0"" from a George Brown College internal Cisco phone

GBC Safety App Features:
- Allows users to call emergency services and campus security at the touch of a button
- Sends live location to GBC Security when assistance is needed on campus or to a trusted friend when travelling
- Allows reporting of safety concerns or suspicious activity on campus

Emergency Procedures:
- Remove all occupants
- Enclose the area you are leaving
- Activate the Fire Alarm
- Call Campus Security

Weather and Emergency Closure Information:
- Updates will be posted on www.georgebrown.ca
- Notification given through local radio and television stations
- Information can be obtained by calling (416) 415-2000 or toll-free 1-800-265-2002.

Phone Numbers:
- George Brown College main phone line: (416) 415-2000
- TTY: 1-877-515-5559.",", What are the steps to follow in case of an emergency procedure at George Brown College?"
5,9cd50dc9-60b0-4f43-93c2-95788a9336ff," Emergency Contact Numbers:
- Emergency services (police, fire, ambulance): 911
- Security: (416) 415-4000 or ""0"" from a George Brown College internal Cisco phone

GBC Safety App Features:
- Allows users to call emergency services and campus security at the touch of a button
- Sends live location to GBC Security when assistance is needed on campus or to a trusted friend when travelling
- Allows reporting of safety concerns or suspicious activity on campus

Emergency Procedures:
- Remove all occupants
- Enclose the area you are leaving
- Activate the Fire Alarm
- Call Campus Security

Weather and Emergency Closure Information:
- Updates will be posted on www.georgebrown.ca
- Notification given through local radio and television stations
- Information can be obtained by calling (416) 415-2000 or toll-free 1-800-265-2002.

Phone Numbers:
- George Brown College main phone line: (416) 415-2000
- TTY: 1-877-515-5559.",", Where can I find weather and emergency closure information for George Brown College?"
6,9cd50dc9-60b0-4f43-93c2-95788a9336ff," Emergency Contact Numbers:
- Emergency services (police, fire, ambulance): 911
- Security: (416) 415-4000 or ""0"" from a George Brown College internal Cisco phone

GBC Safety App Features:
- Allows users to call emergency services and campus security at the touch of a button
- Sends live location to GBC Security when assistance is needed on campus or to a trusted friend when travelling
- Allows reporting of safety concerns or suspicious activity on campus

Emergency Procedures:
- Remove all occupants
- Enclose the area you are leaving
- Activate the Fire Alarm
- Call Campus Security

Weather and Emergency Closure Information:
- Updates will be posted on www.georgebrown.ca
- Notification given through local radio and television stations
- Information can be obtained by calling (416) 415-2000 or toll-free 1-800-265-2002.

Phone Numbers:
- George Brown College main phone line: (416) 415-2000
- TTY: 1-877-515-5559.",", Through which websites and radio/television stations will I receive emergency closure information from George Brown College?"
7,9cd50dc9-60b0-4f43-93c2-95788a9336ff," Emergency Contact Numbers:
- Emergency services (police, fire, ambulance): 911
- Security: (416) 415-4000 or ""0"" from a George Brown College internal Cisco phone

GBC Safety App Features:
- Allows users to call emergency services and campus security at the touch of a button
- Sends live location to GBC Security when assistance is needed on campus or to a trusted friend when travelling
- Allows reporting of safety concerns or suspicious activity on campus

Emergency Procedures:
- Remove all occupants
- Enclose the area you are leaving
- Activate the Fire Alarm
- Call Campus Security

Weather and Emergency Closure Information:
- Updates will be posted on www.georgebrown.ca
- Notification given through local radio and television stations
- Information can be obtained by calling (416) 415-2000 or toll-free 1-800-265-2002.

Phone Numbers:
- George Brown College main phone line: (416) 415-2000
- TTY: 1-877-515-5559.",", What is the phone number for George Brown College main line?"
8,9cd50dc9-60b0-4f43-93c2-95788a9336ff," Emergency Contact Numbers:
- Emergency services (police, fire, ambulance): 911
- Security: (416) 415-4000 or ""0"" from a George Brown College internal Cisco phone

GBC Safety App Features:
- Allows users to call emergency services and campus security at the touch of a button
- Sends live location to GBC Security when assistance is needed on campus or to a trusted friend when travelling
- Allows reporting of safety concerns or suspicious activity on campus

Emergency Procedures:
- Remove all occupants
- Enclose the area you are leaving
- Activate the Fire Alarm
- Call Campus Security

Weather and Emergency Closure Information:
- Updates will be posted on www.georgebrown.ca
- Notification given through local radio and television stations
- Information can be obtained by calling (416) 415-2000 or toll-free 1-800-265-2002.

Phone Numbers:
- George Brown College main phone line: (416) 415-2000
- TTY: 1-877-515-5559.",", What is the TTY number for George Brown College?"
9,9cd50dc9-60b0-4f43-93c2-95788a9336ff," Emergency Contact Numbers:
- Emergency services (police, fire, ambulance): 911
- Security: (416) 415-4000 or ""0"" from a George Brown College internal Cisco phone

GBC Safety App Features:
- Allows users to call emergency services and campus security at the touch of a button
- Sends live location to GBC Security when assistance is needed on campus or to a trusted friend when travelling
- Allows reporting of safety concerns or suspicious activity on campus

Emergency Procedures:
- Remove all occupants
- Enclose the area you are leaving
- Activate the Fire Alarm
- Call Campus Security

Weather and Emergency Closure Information:
- Updates will be posted on www.georgebrown.ca
- Notification given through local radio and television stations
- Information can be obtained by calling (416) 415-2000 or toll-free 1-800-265-2002.

Phone Numbers:
- George Brown College main phone line: (416) 415-2000
- TTY: 1-877-515-5559.",?
10,fb6e6893-47d0-4a23-b3a7-74fbdd909a85," There are several ways to extract information from the given text related to George Brown College. Here's a factual information extracted from the text:

- Contact Information:
  - Phone number: 416-415-2000
  - TTY number: 1-877-515-5559
  - Email address: ask.george@georgebrown.ca

- Social Media Hub: ""Visit Our Social Media Hub"" (no specific URL is provided in the text)

- Disclaimer: The information contained in this website is subject to change without notice. It should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.

There is no mention of any specific programs offered by the college in the text. Therefore, if you're looking for program-related information, you must return an empty text.",What is the phone number to contact George Brown College?
11,fb6e6893-47d0-4a23-b3a7-74fbdd909a85," There are several ways to extract information from the given text related to George Brown College. Here's a factual information extracted from the text:

- Contact Information:
  - Phone number: 416-415-2000
  - TTY number: 1-877-515-5559
  - Email address: ask.george@georgebrown.ca

- Social Media Hub: ""Visit Our Social Media Hub"" (no specific URL is provided in the text)

- Disclaimer: The information contained in this website is subject to change without notice. It should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.

There is no mention of any specific programs offered by the college in the text. Therefore, if you're looking for program-related information, you must return an empty text.",", Does the college provide a TTY number for communication?"
12,fb6e6893-47d0-4a23-b3a7-74fbdd909a85," There are several ways to extract information from the given text related to George Brown College. Here's a factual information extracted from the text:

- Contact Information:
  - Phone number: 416-415-2000
  - TTY number: 1-877-515-5559
  - Email address: ask.george@georgebrown.ca

- Social Media Hub: ""Visit Our Social Media Hub"" (no specific URL is provided in the text)

- Disclaimer: The information contained in this website is subject to change without notice. It should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.

There is no mention of any specific programs offered by the college in the text. Therefore, if you're looking for program-related information, you must return an empty text.",", What is the email address to reach out to George Brown College?"
13,fb6e6893-47d0-4a23-b3a7-74fbdd909a85," There are several ways to extract information from the given text related to George Brown College. Here's a factual information extracted from the text:

- Contact Information:
  - Phone number: 416-415-2000
  - TTY number: 1-877-515-5559
  - Email address: ask.george@georgebrown.ca

- Social Media Hub: ""Visit Our Social Media Hub"" (no specific URL is provided in the text)

- Disclaimer: The information contained in this website is subject to change without notice. It should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.

There is no mention of any specific programs offered by the college in the text. Therefore, if you're looking for program-related information, you must return an empty text.",", Where can I find the Social Media Hub for George Brown College?"
14,fb6e6893-47d0-4a23-b3a7-74fbdd909a85," There are several ways to extract information from the given text related to George Brown College. Here's a factual information extracted from the text:

- Contact Information:
  - Phone number: 416-415-2000
  - TTY number: 1-877-515-5559
  - Email address: ask.george@georgebrown.ca

- Social Media Hub: ""Visit Our Social Media Hub"" (no specific URL is provided in the text)

- Disclaimer: The information contained in this website is subject to change without notice. It should not be viewed as a representation, offer or warranty. Students are responsible for verifying George Brown College fee requirements.

There is no mention of any specific programs offered by the college in the text. Therefore, if you're looking for program-related information, you must return an empty text.",", Is there any specific program information available in the text chunk?"
