,contextId,context,question
0,a012c177-c099-4718-8b1d-130fd999284f," At George Brown College, there are three ways to get more information and tour the campuses: 1) general campus tours for prospective students and their families, 2) program-specific information sessions, and 3) orientation sessions for accepted students. The college offers various facilities including cafeterias, fitness centers, athletics facilities, student services, and classrooms and labs. Prospective students can contact George Brown College at 416-415-2000 or TTY: 1-877-515-5559, or email ask.george@georgebrown.ca. The college has a social media hub that can be visited. The information on the website is subject to change without notice and should not be viewed as a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements. There is an invitation to learn more about the college's land acknowledgment and to sign up for updates on application deadlines, college news, upcoming events, tours, and more.",1. Which ways does George Brown College offer for getting more information and campus tours?
1,a012c177-c099-4718-8b1d-130fd999284f," At George Brown College, there are three ways to get more information and tour the campuses: 1) general campus tours for prospective students and their families, 2) program-specific information sessions, and 3) orientation sessions for accepted students. The college offers various facilities including cafeterias, fitness centers, athletics facilities, student services, and classrooms and labs. Prospective students can contact George Brown College at 416-415-2000 or TTY: 1-877-515-5559, or email ask.george@georgebrown.ca. The college has a social media hub that can be visited. The information on the website is subject to change without notice and should not be viewed as a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements. There is an invitation to learn more about the college's land acknowledgment and to sign up for updates on application deadlines, college news, upcoming events, tours, and more.",",
2. What are the offerings in program-specific information sessions?"
2,a012c177-c099-4718-8b1d-130fd999284f," At George Brown College, there are three ways to get more information and tour the campuses: 1) general campus tours for prospective students and their families, 2) program-specific information sessions, and 3) orientation sessions for accepted students. The college offers various facilities including cafeterias, fitness centers, athletics facilities, student services, and classrooms and labs. Prospective students can contact George Brown College at 416-415-2000 or TTY: 1-877-515-5559, or email ask.george@georgebrown.ca. The college has a social media hub that can be visited. The information on the website is subject to change without notice and should not be viewed as a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements. There is an invitation to learn more about the college's land acknowledgment and to sign up for updates on application deadlines, college news, upcoming events, tours, and more.",",
3. Where can prospective students find orientation sessions at George Brown College?"
3,a012c177-c099-4718-8b1d-130fd999284f," At George Brown College, there are three ways to get more information and tour the campuses: 1) general campus tours for prospective students and their families, 2) program-specific information sessions, and 3) orientation sessions for accepted students. The college offers various facilities including cafeterias, fitness centers, athletics facilities, student services, and classrooms and labs. Prospective students can contact George Brown College at 416-415-2000 or TTY: 1-877-515-5559, or email ask.george@georgebrown.ca. The college has a social media hub that can be visited. The information on the website is subject to change without notice and should not be viewed as a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements. There is an invitation to learn more about the college's land acknowledgment and to sign up for updates on application deadlines, college news, upcoming events, tours, and more.",",
4. What facilities are available at George Brown College besides classrooms and labs?"
4,a012c177-c099-4718-8b1d-130fd999284f," At George Brown College, there are three ways to get more information and tour the campuses: 1) general campus tours for prospective students and their families, 2) program-specific information sessions, and 3) orientation sessions for accepted students. The college offers various facilities including cafeterias, fitness centers, athletics facilities, student services, and classrooms and labs. Prospective students can contact George Brown College at 416-415-2000 or TTY: 1-877-515-5559, or email ask.george@georgebrown.ca. The college has a social media hub that can be visited. The information on the website is subject to change without notice and should not be viewed as a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements. There is an invitation to learn more about the college's land acknowledgment and to sign up for updates on application deadlines, college news, upcoming events, tours, and more.",",
5. How can prospective students contact George Brown College for more information?"
5,a012c177-c099-4718-8b1d-130fd999284f," At George Brown College, there are three ways to get more information and tour the campuses: 1) general campus tours for prospective students and their families, 2) program-specific information sessions, and 3) orientation sessions for accepted students. The college offers various facilities including cafeterias, fitness centers, athletics facilities, student services, and classrooms and labs. Prospective students can contact George Brown College at 416-415-2000 or TTY: 1-877-515-5559, or email ask.george@georgebrown.ca. The college has a social media hub that can be visited. The information on the website is subject to change without notice and should not be viewed as a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements. There is an invitation to learn more about the college's land acknowledgment and to sign up for updates on application deadlines, college news, upcoming events, tours, and more.",",
6. What is the TTY number for prospective students who are deaf or hard of hearing to contact George Brown College?"
6,a012c177-c099-4718-8b1d-130fd999284f," At George Brown College, there are three ways to get more information and tour the campuses: 1) general campus tours for prospective students and their families, 2) program-specific information sessions, and 3) orientation sessions for accepted students. The college offers various facilities including cafeterias, fitness centers, athletics facilities, student services, and classrooms and labs. Prospective students can contact George Brown College at 416-415-2000 or TTY: 1-877-515-5559, or email ask.george@georgebrown.ca. The college has a social media hub that can be visited. The information on the website is subject to change without notice and should not be viewed as a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements. There is an invitation to learn more about the college's land acknowledgment and to sign up for updates on application deadlines, college news, upcoming events, tours, and more.",",
7. Where can visitors find George Brown College's social media hub?"
7,a012c177-c099-4718-8b1d-130fd999284f," At George Brown College, there are three ways to get more information and tour the campuses: 1) general campus tours for prospective students and their families, 2) program-specific information sessions, and 3) orientation sessions for accepted students. The college offers various facilities including cafeterias, fitness centers, athletics facilities, student services, and classrooms and labs. Prospective students can contact George Brown College at 416-415-2000 or TTY: 1-877-515-5559, or email ask.george@georgebrown.ca. The college has a social media hub that can be visited. The information on the website is subject to change without notice and should not be viewed as a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements. There is an invitation to learn more about the college's land acknowledgment and to sign up for updates on application deadlines, college news, upcoming events, tours, and more.",",
8. Is the information on the college website guaranteed not to change without notice?"
8,a012c177-c099-4718-8b1d-130fd999284f," At George Brown College, there are three ways to get more information and tour the campuses: 1) general campus tours for prospective students and their families, 2) program-specific information sessions, and 3) orientation sessions for accepted students. The college offers various facilities including cafeterias, fitness centers, athletics facilities, student services, and classrooms and labs. Prospective students can contact George Brown College at 416-415-2000 or TTY: 1-877-515-5559, or email ask.george@georgebrown.ca. The college has a social media hub that can be visited. The information on the website is subject to change without notice and should not be viewed as a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements. There is an invitation to learn more about the college's land acknowledgment and to sign up for updates on application deadlines, college news, upcoming events, tours, and more.",",
9. Who is responsible for verifying George Brown College fee requirements?"
9,a012c177-c099-4718-8b1d-130fd999284f," At George Brown College, there are three ways to get more information and tour the campuses: 1) general campus tours for prospective students and their families, 2) program-specific information sessions, and 3) orientation sessions for accepted students. The college offers various facilities including cafeterias, fitness centers, athletics facilities, student services, and classrooms and labs. Prospective students can contact George Brown College at 416-415-2000 or TTY: 1-877-515-5559, or email ask.george@georgebrown.ca. The college has a social media hub that can be visited. The information on the website is subject to change without notice and should not be viewed as a representation, offer, or warranty. Students are responsible for verifying George Brown College fee requirements. There is an invitation to learn more about the college's land acknowledgment and to sign up for updates on application deadlines, college news, upcoming events, tours, and more.",",
10. How can students sign up for updates on application deadlines, college news, upcoming events, tours and more?"
