,contextId,context,question
0,6238db10-3cab-408e-9581-bcf03b64887d," The text provides several resources for exploring topics related to race, racism, and anti-racism work. Some of these resources include:

* A podcast called ""Conversations on Race in Canada"" hosted by Denise Balkissoon and Hannah Sung.
* The history and meaning of whiteness explored in the podcast ""Seeing White.""
* Resources from the United Nations' Fight Racism campaign.
* Activities that ask users to rethink their perspectives and test their knowledge of fighting racism.
* A wellness hotline available in Cree, Ojibway, Inuktitut, English and French for support and a guided meditation to support Black individuals with stress recovery.

The text also mentions the arrival of more than 20 enslaved Africans in Virginia in August of 1619, marking the beginning of America. It is important to note that this text does not provide any factual information about the programs offered by the college.","* What is the focus of ""Conversations on Race in Canada"" podcast?"
1,6238db10-3cab-408e-9581-bcf03b64887d," The text provides several resources for exploring topics related to race, racism, and anti-racism work. Some of these resources include:

* A podcast called ""Conversations on Race in Canada"" hosted by Denise Balkissoon and Hannah Sung.
* The history and meaning of whiteness explored in the podcast ""Seeing White.""
* Resources from the United Nations' Fight Racism campaign.
* Activities that ask users to rethink their perspectives and test their knowledge of fighting racism.
* A wellness hotline available in Cree, Ojibway, Inuktitut, English and French for support and a guided meditation to support Black individuals with stress recovery.

The text also mentions the arrival of more than 20 enslaved Africans in Virginia in August of 1619, marking the beginning of America. It is important to note that this text does not provide any factual information about the programs offered by the college.",", Who are the hosts of ""Conversations on Race in Canada"" podcast?"
2,6238db10-3cab-408e-9581-bcf03b64887d," The text provides several resources for exploring topics related to race, racism, and anti-racism work. Some of these resources include:

* A podcast called ""Conversations on Race in Canada"" hosted by Denise Balkissoon and Hannah Sung.
* The history and meaning of whiteness explored in the podcast ""Seeing White.""
* Resources from the United Nations' Fight Racism campaign.
* Activities that ask users to rethink their perspectives and test their knowledge of fighting racism.
* A wellness hotline available in Cree, Ojibway, Inuktitut, English and French for support and a guided meditation to support Black individuals with stress recovery.

The text also mentions the arrival of more than 20 enslaved Africans in Virginia in August of 1619, marking the beginning of America. It is important to note that this text does not provide any factual information about the programs offered by the college.",",
* What topics are explored in the ""Seeing White"" podcast regarding whiteness?"
3,6238db10-3cab-408e-9581-bcf03b64887d," The text provides several resources for exploring topics related to race, racism, and anti-racism work. Some of these resources include:

* A podcast called ""Conversations on Race in Canada"" hosted by Denise Balkissoon and Hannah Sung.
* The history and meaning of whiteness explored in the podcast ""Seeing White.""
* Resources from the United Nations' Fight Racism campaign.
* Activities that ask users to rethink their perspectives and test their knowledge of fighting racism.
* A wellness hotline available in Cree, Ojibway, Inuktitut, English and French for support and a guided meditation to support Black individuals with stress recovery.

The text also mentions the arrival of more than 20 enslaved Africans in Virginia in August of 1619, marking the beginning of America. It is important to note that this text does not provide any factual information about the programs offered by the college.",", Where can one access resources from the United Nations' Fight Racism campaign?"
4,6238db10-3cab-408e-9581-bcf03b64887d," The text provides several resources for exploring topics related to race, racism, and anti-racism work. Some of these resources include:

* A podcast called ""Conversations on Race in Canada"" hosted by Denise Balkissoon and Hannah Sung.
* The history and meaning of whiteness explored in the podcast ""Seeing White.""
* Resources from the United Nations' Fight Racism campaign.
* Activities that ask users to rethink their perspectives and test their knowledge of fighting racism.
* A wellness hotline available in Cree, Ojibway, Inuktitut, English and French for support and a guided meditation to support Black individuals with stress recovery.

The text also mentions the arrival of more than 20 enslaved Africans in Virginia in August of 1619, marking the beginning of America. It is important to note that this text does not provide any factual information about the programs offered by the college.",",
* What types of activities are provided to rethink perspectives and test knowledge on fighting racism?"
5,6238db10-3cab-408e-9581-bcf03b64887d," The text provides several resources for exploring topics related to race, racism, and anti-racism work. Some of these resources include:

* A podcast called ""Conversations on Race in Canada"" hosted by Denise Balkissoon and Hannah Sung.
* The history and meaning of whiteness explored in the podcast ""Seeing White.""
* Resources from the United Nations' Fight Racism campaign.
* Activities that ask users to rethink their perspectives and test their knowledge of fighting racism.
* A wellness hotline available in Cree, Ojibway, Inuktitut, English and French for support and a guided meditation to support Black individuals with stress recovery.

The text also mentions the arrival of more than 20 enslaved Africans in Virginia in August of 1619, marking the beginning of America. It is important to note that this text does not provide any factual information about the programs offered by the college.",", What languages is the wellness hotline available in?"
6,6238db10-3cab-408e-9581-bcf03b64887d," The text provides several resources for exploring topics related to race, racism, and anti-racism work. Some of these resources include:

* A podcast called ""Conversations on Race in Canada"" hosted by Denise Balkissoon and Hannah Sung.
* The history and meaning of whiteness explored in the podcast ""Seeing White.""
* Resources from the United Nations' Fight Racism campaign.
* Activities that ask users to rethink their perspectives and test their knowledge of fighting racism.
* A wellness hotline available in Cree, Ojibway, Inuktitut, English and French for support and a guided meditation to support Black individuals with stress recovery.

The text also mentions the arrival of more than 20 enslaved Africans in Virginia in August of 1619, marking the beginning of America. It is important to note that this text does not provide any factual information about the programs offered by the college.",",
* When did the arrival of the first enslaved Africans occur in America according to this text?"
7,6238db10-3cab-408e-9581-bcf03b64887d," The text provides several resources for exploring topics related to race, racism, and anti-racism work. Some of these resources include:

* A podcast called ""Conversations on Race in Canada"" hosted by Denise Balkissoon and Hannah Sung.
* The history and meaning of whiteness explored in the podcast ""Seeing White.""
* Resources from the United Nations' Fight Racism campaign.
* Activities that ask users to rethink their perspectives and test their knowledge of fighting racism.
* A wellness hotline available in Cree, Ojibway, Inuktitut, English and French for support and a guided meditation to support Black individuals with stress recovery.

The text also mentions the arrival of more than 20 enslaved Africans in Virginia in August of 1619, marking the beginning of America. It is important to note that this text does not provide any factual information about the programs offered by the college.",?
8,307fe612-9e94-4987-9dee-7dccade453e0," Based on the provided text, there is no explicit mention of any program or key information related to it offered by George Brown College. Therefore, the extracted information will be empty.",What is the name of the program offered by George Brown College mentioned in the text?
9,307fe612-9e94-4987-9dee-7dccade453e0," Based on the provided text, there is no explicit mention of any program or key information related to it offered by George Brown College. Therefore, the extracted information will be empty.",", Can you provide some details about the courses included in this program?"
10,307fe612-9e94-4987-9dee-7dccade453e0," Based on the provided text, there is no explicit mention of any program or key information related to it offered by George Brown College. Therefore, the extracted information will be empty.",", Does George Brown College have any other programs related to Artificial Intelligence?"
