,contextId,context,question
0,a37b1fb8-c0ab-4bfa-b0cf-58db7d9796ec," * The text mentions an opportunity to ""chat and connect with other students"" during orientation. No specific program name is mentioned.
* There are two phone numbers provided: 416-415-2000 and TTY: 1-877-515-5559.
* The email address for inquiries is ask.george@georgebrown.ca.
* The text encourages visitors to ""Sign Up Now"" and ""Learn more about our land acknowledgment"". No further details are provided regarding the land acknowledgment.
* Visitors are advised to ""Visit Our Social Media Hub"".
* It is stated that ""The information contained in this website is subject to change without notice.""
* Students are responsible for verifying George Brown College fee requirements.

Therefore, no specific program-related information was extracted from the text.",* What is the purpose of orientation mentioned in the text?
1,a37b1fb8-c0ab-4bfa-b0cf-58db7d9796ec," * The text mentions an opportunity to ""chat and connect with other students"" during orientation. No specific program name is mentioned.
* There are two phone numbers provided: 416-415-2000 and TTY: 1-877-515-5559.
* The email address for inquiries is ask.george@georgebrown.ca.
* The text encourages visitors to ""Sign Up Now"" and ""Learn more about our land acknowledgment"". No further details are provided regarding the land acknowledgment.
* Visitors are advised to ""Visit Our Social Media Hub"".
* It is stated that ""The information contained in this website is subject to change without notice.""
* Students are responsible for verifying George Brown College fee requirements.

Therefore, no specific program-related information was extracted from the text.",",
* How can I get in touch with George Brown College using phone numbers provided?"
2,a37b1fb8-c0ab-4bfa-b0cf-58db7d9796ec," * The text mentions an opportunity to ""chat and connect with other students"" during orientation. No specific program name is mentioned.
* There are two phone numbers provided: 416-415-2000 and TTY: 1-877-515-5559.
* The email address for inquiries is ask.george@georgebrown.ca.
* The text encourages visitors to ""Sign Up Now"" and ""Learn more about our land acknowledgment"". No further details are provided regarding the land acknowledgment.
* Visitors are advised to ""Visit Our Social Media Hub"".
* It is stated that ""The information contained in this website is subject to change without notice.""
* Students are responsible for verifying George Brown College fee requirements.

Therefore, no specific program-related information was extracted from the text.",", TTY:?"
3,a37b1fb8-c0ab-4bfa-b0cf-58db7d9796ec," * The text mentions an opportunity to ""chat and connect with other students"" during orientation. No specific program name is mentioned.
* There are two phone numbers provided: 416-415-2000 and TTY: 1-877-515-5559.
* The email address for inquiries is ask.george@georgebrown.ca.
* The text encourages visitors to ""Sign Up Now"" and ""Learn more about our land acknowledgment"". No further details are provided regarding the land acknowledgment.
* Visitors are advised to ""Visit Our Social Media Hub"".
* It is stated that ""The information contained in this website is subject to change without notice.""
* Students are responsible for verifying George Brown College fee requirements.

Therefore, no specific program-related information was extracted from the text.",* Where can I send my inquiries regarding the college via email?
4,a37b1fb8-c0ab-4bfa-b0cf-58db7d9796ec," * The text mentions an opportunity to ""chat and connect with other students"" during orientation. No specific program name is mentioned.
* There are two phone numbers provided: 416-415-2000 and TTY: 1-877-515-5559.
* The email address for inquiries is ask.george@georgebrown.ca.
* The text encourages visitors to ""Sign Up Now"" and ""Learn more about our land acknowledgment"". No further details are provided regarding the land acknowledgment.
* Visitors are advised to ""Visit Our Social Media Hub"".
* It is stated that ""The information contained in this website is subject to change without notice.""
* Students are responsible for verifying George Brown College fee requirements.

Therefore, no specific program-related information was extracted from the text.",", ask.george@georgebrown.ca?"
5,a37b1fb8-c0ab-4bfa-b0cf-58db7d9796ec," * The text mentions an opportunity to ""chat and connect with other students"" during orientation. No specific program name is mentioned.
* There are two phone numbers provided: 416-415-2000 and TTY: 1-877-515-5559.
* The email address for inquiries is ask.george@georgebrown.ca.
* The text encourages visitors to ""Sign Up Now"" and ""Learn more about our land acknowledgment"". No further details are provided regarding the land acknowledgment.
* Visitors are advised to ""Visit Our Social Media Hub"".
* It is stated that ""The information contained in this website is subject to change without notice.""
* Students are responsible for verifying George Brown College fee requirements.

Therefore, no specific program-related information was extracted from the text.","* What is the ""Sign Up Now"" call-to-action about?"
6,a37b1fb8-c0ab-4bfa-b0cf-58db7d9796ec," * The text mentions an opportunity to ""chat and connect with other students"" during orientation. No specific program name is mentioned.
* There are two phone numbers provided: 416-415-2000 and TTY: 1-877-515-5559.
* The email address for inquiries is ask.george@georgebrown.ca.
* The text encourages visitors to ""Sign Up Now"" and ""Learn more about our land acknowledgment"". No further details are provided regarding the land acknowledgment.
* Visitors are advised to ""Visit Our Social Media Hub"".
* It is stated that ""The information contained in this website is subject to change without notice.""
* Students are responsible for verifying George Brown College fee requirements.

Therefore, no specific program-related information was extracted from the text.",",
* What is the land acknowledgment and how can I learn more about it?"
7,a37b1fb8-c0ab-4bfa-b0cf-58db7d9796ec," * The text mentions an opportunity to ""chat and connect with other students"" during orientation. No specific program name is mentioned.
* There are two phone numbers provided: 416-415-2000 and TTY: 1-877-515-5559.
* The email address for inquiries is ask.george@georgebrown.ca.
* The text encourages visitors to ""Sign Up Now"" and ""Learn more about our land acknowledgment"". No further details are provided regarding the land acknowledgment.
* Visitors are advised to ""Visit Our Social Media Hub"".
* It is stated that ""The information contained in this website is subject to change without notice.""
* Students are responsible for verifying George Brown College fee requirements.

Therefore, no specific program-related information was extracted from the text.",",
* Where can I find George Brown College's social media hub?"
8,a37b1fb8-c0ab-4bfa-b0cf-58db7d9796ec," * The text mentions an opportunity to ""chat and connect with other students"" during orientation. No specific program name is mentioned.
* There are two phone numbers provided: 416-415-2000 and TTY: 1-877-515-5559.
* The email address for inquiries is ask.george@georgebrown.ca.
* The text encourages visitors to ""Sign Up Now"" and ""Learn more about our land acknowledgment"". No further details are provided regarding the land acknowledgment.
* Visitors are advised to ""Visit Our Social Media Hub"".
* It is stated that ""The information contained in this website is subject to change without notice.""
* Students are responsible for verifying George Brown College fee requirements.

Therefore, no specific program-related information was extracted from the text.",",
* Is the information on the website subject to change without notice?"
9,a37b1fb8-c0ab-4bfa-b0cf-58db7d9796ec," * The text mentions an opportunity to ""chat and connect with other students"" during orientation. No specific program name is mentioned.
* There are two phone numbers provided: 416-415-2000 and TTY: 1-877-515-5559.
* The email address for inquiries is ask.george@georgebrown.ca.
* The text encourages visitors to ""Sign Up Now"" and ""Learn more about our land acknowledgment"". No further details are provided regarding the land acknowledgment.
* Visitors are advised to ""Visit Our Social Media Hub"".
* It is stated that ""The information contained in this website is subject to change without notice.""
* Students are responsible for verifying George Brown College fee requirements.

Therefore, no specific program-related information was extracted from the text.",",
* What are the fee requirements for students at George Brown College?"
