,contextId,context,question
0,d90cb5bb-6061-4826-9225-f86beff95c79," Title: Two-Part November IKKS Installment with EJ Kwandibens
Speaker: EJ Kwandibens
Topics: Eagle Staff Teachings, Preservation of Indigenous culture and wisdom, Belonging, Acceptance, Societal norms, Healing (personal and community level)
Dates: Nov. 21, 12:00pm – 1:30pm (ET) and Nov. 30, 12:00pm – 1:30pm (ET)
Location: George Brown College
Goals: Increase awareness of Indigenous culture among students and staff, Host events, workshops, social gatherings to share cultural knowledge
Indigenous Counselor: Laraine Hale
Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Website Links: Check out past events, Learn more about our land acknowledgment, Sign Up Now
Anonymous Sponsor: Support for George Brown College’s Indigenous Education Strategy
Note: Information subject to change without notice.",1. Who is the speaker for the Two-Part November IKKS Installment?
1,d90cb5bb-6061-4826-9225-f86beff95c79," Title: Two-Part November IKKS Installment with EJ Kwandibens
Speaker: EJ Kwandibens
Topics: Eagle Staff Teachings, Preservation of Indigenous culture and wisdom, Belonging, Acceptance, Societal norms, Healing (personal and community level)
Dates: Nov. 21, 12:00pm – 1:30pm (ET) and Nov. 30, 12:00pm – 1:30pm (ET)
Location: George Brown College
Goals: Increase awareness of Indigenous culture among students and staff, Host events, workshops, social gatherings to share cultural knowledge
Indigenous Counselor: Laraine Hale
Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Website Links: Check out past events, Learn more about our land acknowledgment, Sign Up Now
Anonymous Sponsor: Support for George Brown College’s Indigenous Education Strategy
Note: Information subject to change without notice.",2. What are the topics covered in the Two-Part November IKKS Installment?
2,d90cb5bb-6061-4826-9225-f86beff95c79," Title: Two-Part November IKKS Installment with EJ Kwandibens
Speaker: EJ Kwandibens
Topics: Eagle Staff Teachings, Preservation of Indigenous culture and wisdom, Belonging, Acceptance, Societal norms, Healing (personal and community level)
Dates: Nov. 21, 12:00pm – 1:30pm (ET) and Nov. 30, 12:00pm – 1:30pm (ET)
Location: George Brown College
Goals: Increase awareness of Indigenous culture among students and staff, Host events, workshops, social gatherings to share cultural knowledge
Indigenous Counselor: Laraine Hale
Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Website Links: Check out past events, Learn more about our land acknowledgment, Sign Up Now
Anonymous Sponsor: Support for George Brown College’s Indigenous Education Strategy
Note: Information subject to change without notice.",3. When does the first part of the Two-Part November IKKS Installation take place?
3,d90cb5bb-6061-4826-9225-f86beff95c79," Title: Two-Part November IKKS Installment with EJ Kwandibens
Speaker: EJ Kwandibens
Topics: Eagle Staff Teachings, Preservation of Indigenous culture and wisdom, Belonging, Acceptance, Societal norms, Healing (personal and community level)
Dates: Nov. 21, 12:00pm – 1:30pm (ET) and Nov. 30, 12:00pm – 1:30pm (ET)
Location: George Brown College
Goals: Increase awareness of Indigenous culture among students and staff, Host events, workshops, social gatherings to share cultural knowledge
Indigenous Counselor: Laraine Hale
Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Website Links: Check out past events, Learn more about our land acknowledgment, Sign Up Now
Anonymous Sponsor: Support for George Brown College’s Indigenous Education Strategy
Note: Information subject to change without notice.",4. Where will the Two-Part November IKKS Installation be held?
4,d90cb5bb-6061-4826-9225-f86beff95c79," Title: Two-Part November IKKS Installment with EJ Kwandibens
Speaker: EJ Kwandibens
Topics: Eagle Staff Teachings, Preservation of Indigenous culture and wisdom, Belonging, Acceptance, Societal norms, Healing (personal and community level)
Dates: Nov. 21, 12:00pm – 1:30pm (ET) and Nov. 30, 12:00pm – 1:30pm (ET)
Location: George Brown College
Goals: Increase awareness of Indigenous culture among students and staff, Host events, workshops, social gatherings to share cultural knowledge
Indigenous Counselor: Laraine Hale
Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Website Links: Check out past events, Learn more about our land acknowledgment, Sign Up Now
Anonymous Sponsor: Support for George Brown College’s Indigenous Education Strategy
Note: Information subject to change without notice.",5. What are the goals of the Two-Part November IKKS Installation?
5,d90cb5bb-6061-4826-9225-f86beff95c79," Title: Two-Part November IKKS Installment with EJ Kwandibens
Speaker: EJ Kwandibens
Topics: Eagle Staff Teachings, Preservation of Indigenous culture and wisdom, Belonging, Acceptance, Societal norms, Healing (personal and community level)
Dates: Nov. 21, 12:00pm – 1:30pm (ET) and Nov. 30, 12:00pm – 1:30pm (ET)
Location: George Brown College
Goals: Increase awareness of Indigenous culture among students and staff, Host events, workshops, social gatherings to share cultural knowledge
Indigenous Counselor: Laraine Hale
Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Website Links: Check out past events, Learn more about our land acknowledgment, Sign Up Now
Anonymous Sponsor: Support for George Brown College’s Indigenous Education Strategy
Note: Information subject to change without notice.",6. Who is the Indigenous Counselor for this event?
6,d90cb5bb-6061-4826-9225-f86beff95c79," Title: Two-Part November IKKS Installment with EJ Kwandibens
Speaker: EJ Kwandibens
Topics: Eagle Staff Teachings, Preservation of Indigenous culture and wisdom, Belonging, Acceptance, Societal norms, Healing (personal and community level)
Dates: Nov. 21, 12:00pm – 1:30pm (ET) and Nov. 30, 12:00pm – 1:30pm (ET)
Location: George Brown College
Goals: Increase awareness of Indigenous culture among students and staff, Host events, workshops, social gatherings to share cultural knowledge
Indigenous Counselor: Laraine Hale
Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Website Links: Check out past events, Learn more about our land acknowledgment, Sign Up Now
Anonymous Sponsor: Support for George Brown College’s Indigenous Education Strategy
Note: Information subject to change without notice.",7. How can attendees reach out for more information about the event?
7,d90cb5bb-6061-4826-9225-f86beff95c79," Title: Two-Part November IKKS Installment with EJ Kwandibens
Speaker: EJ Kwandibens
Topics: Eagle Staff Teachings, Preservation of Indigenous culture and wisdom, Belonging, Acceptance, Societal norms, Healing (personal and community level)
Dates: Nov. 21, 12:00pm – 1:30pm (ET) and Nov. 30, 12:00pm – 1:30pm (ET)
Location: George Brown College
Goals: Increase awareness of Indigenous culture among students and staff, Host events, workshops, social gatherings to share cultural knowledge
Indigenous Counselor: Laraine Hale
Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Website Links: Check out past events, Learn more about our land acknowledgment, Sign Up Now
Anonymous Sponsor: Support for George Brown College’s Indigenous Education Strategy
Note: Information subject to change without notice.",8. Where can people find information about past events related to this topic?
8,d90cb5bb-6061-4826-9225-f86beff95c79," Title: Two-Part November IKKS Installment with EJ Kwandibens
Speaker: EJ Kwandibens
Topics: Eagle Staff Teachings, Preservation of Indigenous culture and wisdom, Belonging, Acceptance, Societal norms, Healing (personal and community level)
Dates: Nov. 21, 12:00pm – 1:30pm (ET) and Nov. 30, 12:00pm – 1:30pm (ET)
Location: George Brown College
Goals: Increase awareness of Indigenous culture among students and staff, Host events, workshops, social gatherings to share cultural knowledge
Indigenous Counselor: Laraine Hale
Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Website Links: Check out past events, Learn more about our land acknowledgment, Sign Up Now
Anonymous Sponsor: Support for George Brown College’s Indigenous Education Strategy
Note: Information subject to change without notice.",9. What can attendees learn more about on the website related to this event?
9,d90cb5bb-6061-4826-9225-f86beff95c79," Title: Two-Part November IKKS Installment with EJ Kwandibens
Speaker: EJ Kwandibens
Topics: Eagle Staff Teachings, Preservation of Indigenous culture and wisdom, Belonging, Acceptance, Societal norms, Healing (personal and community level)
Dates: Nov. 21, 12:00pm – 1:30pm (ET) and Nov. 30, 12:00pm – 1:30pm (ET)
Location: George Brown College
Goals: Increase awareness of Indigenous culture among students and staff, Host events, workshops, social gatherings to share cultural knowledge
Indigenous Counselor: Laraine Hale
Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Website Links: Check out past events, Learn more about our land acknowledgment, Sign Up Now
Anonymous Sponsor: Support for George Brown College’s Indigenous Education Strategy
Note: Information subject to change without notice.",10. How can individuals sign up for the Two-Part November IKKS Installation?
10,d90cb5bb-6061-4826-9225-f86beff95c79," Title: Two-Part November IKKS Installment with EJ Kwandibens
Speaker: EJ Kwandibens
Topics: Eagle Staff Teachings, Preservation of Indigenous culture and wisdom, Belonging, Acceptance, Societal norms, Healing (personal and community level)
Dates: Nov. 21, 12:00pm – 1:30pm (ET) and Nov. 30, 12:00pm – 1:30pm (ET)
Location: George Brown College
Goals: Increase awareness of Indigenous culture among students and staff, Host events, workshops, social gatherings to share cultural knowledge
Indigenous Counselor: Laraine Hale
Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Website Links: Check out past events, Learn more about our land acknowledgment, Sign Up Now
Anonymous Sponsor: Support for George Brown College’s Indigenous Education Strategy
Note: Information subject to change without notice.",11. Who is the anonymous sponsor for this event at George Brown College?
11,d90cb5bb-6061-4826-9225-f86beff95c79," Title: Two-Part November IKKS Installment with EJ Kwandibens
Speaker: EJ Kwandibens
Topics: Eagle Staff Teachings, Preservation of Indigenous culture and wisdom, Belonging, Acceptance, Societal norms, Healing (personal and community level)
Dates: Nov. 21, 12:00pm – 1:30pm (ET) and Nov. 30, 12:00pm – 1:30pm (ET)
Location: George Brown College
Goals: Increase awareness of Indigenous culture among students and staff, Host events, workshops, social gatherings to share cultural knowledge
Indigenous Counselor: Laraine Hale
Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Website Links: Check out past events, Learn more about our land acknowledgment, Sign Up Now
Anonymous Sponsor: Support for George Brown College’s Indigenous Education Strategy
Note: Information subject to change without notice.",12. Is the information provided subject to change without notice?
12,d90cb5bb-6061-4826-9225-f86beff95c79," Title: Two-Part November IKKS Installment with EJ Kwandibens
Speaker: EJ Kwandibens
Topics: Eagle Staff Teachings, Preservation of Indigenous culture and wisdom, Belonging, Acceptance, Societal norms, Healing (personal and community level)
Dates: Nov. 21, 12:00pm – 1:30pm (ET) and Nov. 30, 12:00pm – 1:30pm (ET)
Location: George Brown College
Goals: Increase awareness of Indigenous culture among students and staff, Host events, workshops, social gatherings to share cultural knowledge
Indigenous Counselor: Laraine Hale
Contact Information: 416-415-2000, TTY: 1-877-515-5559, ask.george@georgebrown.ca
Website Links: Check out past events, Learn more about our land acknowledgment, Sign Up Now
Anonymous Sponsor: Support for George Brown College’s Indigenous Education Strategy
Note: Information subject to change without notice.",?
