,contextId,context,question
0,4ca7bc8d-bd5f-4bad-a5d7-5a02329cd1f9," New Paramount Studios is retained by the Student Association at George Brown College. It is open for graduating students and offers photograph sessions at the Waterfront and Casa Loma campuses, as well as their studios in Toronto and Mississauga. Appointments must be booked before June 1, 2023, to be included in College Course Composites. New Paramount Studios provides graduation regalia for the photographs. For additional information, visit New Paramont's website (nps@look.ca) or the Student Association's grad photo page. The phone number for inquiries is 416-415-2000, and TTY is 1-877-515-5559. For college news, application deadlines, upcoming events, tours, and more, students can sign up on the website. Note: The information on this website may be subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",What is the role of Paramount Studios at George Brown College?
1,4ca7bc8d-bd5f-4bad-a5d7-5a02329cd1f9," New Paramount Studios is retained by the Student Association at George Brown College. It is open for graduating students and offers photograph sessions at the Waterfront and Casa Loma campuses, as well as their studios in Toronto and Mississauga. Appointments must be booked before June 1, 2023, to be included in College Course Composites. New Paramount Studios provides graduation regalia for the photographs. For additional information, visit New Paramont's website (nps@look.ca) or the Student Association's grad photo page. The phone number for inquiries is 416-415-2000, and TTY is 1-877-515-5559. For college news, application deadlines, upcoming events, tours, and more, students can sign up on the website. Note: The information on this website may be subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", Where can photograph sessions be held at New Paramount Studios?"
2,4ca7bc8d-bd5f-4bad-a5d7-5a02329cd1f9," New Paramount Studios is retained by the Student Association at George Brown College. It is open for graduating students and offers photograph sessions at the Waterfront and Casa Loma campuses, as well as their studios in Toronto and Mississauga. Appointments must be booked before June 1, 2023, to be included in College Course Composites. New Paramount Studios provides graduation regalia for the photographs. For additional information, visit New Paramont's website (nps@look.ca) or the Student Association's grad photo page. The phone number for inquiries is 416-415-2000, and TTY is 1-877-515-5559. For college news, application deadlines, upcoming events, tours, and more, students can sign up on the website. Note: The information on this website may be subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", What is the deadline to book appointments for graduation photos?"
3,4ca7bc8d-bd5f-4bad-a5d7-5a02329cd1f9," New Paramount Studios is retained by the Student Association at George Brown College. It is open for graduating students and offers photograph sessions at the Waterfront and Casa Loma campuses, as well as their studios in Toronto and Mississauga. Appointments must be booked before June 1, 2023, to be included in College Course Composites. New Paramount Studios provides graduation regalia for the photographs. For additional information, visit New Paramont's website (nps@look.ca) or the Student Association's grad photo page. The phone number for inquiries is 416-415-2000, and TTY is 1-877-515-5559. For college news, application deadlines, upcoming events, tours, and more, students can sign up on the website. Note: The information on this website may be subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", What service does New Paramount Studios offer for graduation regalia?"
4,4ca7bc8d-bd5f-4bad-a5d7-5a02329cd1f9," New Paramount Studios is retained by the Student Association at George Brown College. It is open for graduating students and offers photograph sessions at the Waterfront and Casa Loma campuses, as well as their studios in Toronto and Mississauga. Appointments must be booked before June 1, 2023, to be included in College Course Composites. New Paramount Studios provides graduation regalia for the photographs. For additional information, visit New Paramont's website (nps@look.ca) or the Student Association's grad photo page. The phone number for inquiries is 416-415-2000, and TTY is 1-877-515-5559. For college news, application deadlines, upcoming events, tours, and more, students can sign up on the website. Note: The information on this website may be subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", How can students access additional information about graduation photos?"
5,4ca7bc8d-bd5f-4bad-a5d7-5a02329cd1f9," New Paramount Studios is retained by the Student Association at George Brown College. It is open for graduating students and offers photograph sessions at the Waterfront and Casa Loma campuses, as well as their studios in Toronto and Mississauga. Appointments must be booked before June 1, 2023, to be included in College Course Composites. New Paramount Studios provides graduation regalia for the photographs. For additional information, visit New Paramont's website (nps@look.ca) or the Student Association's grad photo page. The phone number for inquiries is 416-415-2000, and TTY is 1-877-515-5559. For college news, application deadlines, upcoming events, tours, and more, students can sign up on the website. Note: The information on this website may be subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", What is the phone number for inquiries about New Paramount Studios?"
6,4ca7bc8d-bd5f-4bad-a5d7-5a02329cd1f9," New Paramount Studios is retained by the Student Association at George Brown College. It is open for graduating students and offers photograph sessions at the Waterfront and Casa Loma campuses, as well as their studios in Toronto and Mississauga. Appointments must be booked before June 1, 2023, to be included in College Course Composites. New Paramount Studios provides graduation regalia for the photographs. For additional information, visit New Paramont's website (nps@look.ca) or the Student Association's grad photo page. The phone number for inquiries is 416-415-2000, and TTY is 1-877-515-5559. For college news, application deadlines, upcoming events, tours, and more, students can sign up on the website. Note: The information on this website may be subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", What is the TTY number for inquiries about New Paramount Studios?"
7,4ca7bc8d-bd5f-4bad-a5d7-5a02329cd1f9," New Paramount Studios is retained by the Student Association at George Brown College. It is open for graduating students and offers photograph sessions at the Waterfront and Casa Loma campuses, as well as their studios in Toronto and Mississauga. Appointments must be booked before June 1, 2023, to be included in College Course Composites. New Paramount Studios provides graduation regalia for the photographs. For additional information, visit New Paramont's website (nps@look.ca) or the Student Association's grad photo page. The phone number for inquiries is 416-415-2000, and TTY is 1-877-515-5559. For college news, application deadlines, upcoming events, tours, and more, students can sign up on the website. Note: The information on this website may be subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", Where can students find college news, application deadlines, upcoming events, tours and more?"
8,4ca7bc8d-bd5f-4bad-a5d7-5a02329cd1f9," New Paramount Studios is retained by the Student Association at George Brown College. It is open for graduating students and offers photograph sessions at the Waterfront and Casa Loma campuses, as well as their studios in Toronto and Mississauga. Appointments must be booked before June 1, 2023, to be included in College Course Composites. New Paramount Studios provides graduation regalia for the photographs. For additional information, visit New Paramont's website (nps@look.ca) or the Student Association's grad photo page. The phone number for inquiries is 416-415-2000, and TTY is 1-877-515-5559. For college news, application deadlines, upcoming events, tours, and more, students can sign up on the website. Note: The information on this website may be subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", Is the information on the George Brown College website subject to change without notice?"
9,4ca7bc8d-bd5f-4bad-a5d7-5a02329cd1f9," New Paramount Studios is retained by the Student Association at George Brown College. It is open for graduating students and offers photograph sessions at the Waterfront and Casa Loma campuses, as well as their studios in Toronto and Mississauga. Appointments must be booked before June 1, 2023, to be included in College Course Composites. New Paramount Studios provides graduation regalia for the photographs. For additional information, visit New Paramont's website (nps@look.ca) or the Student Association's grad photo page. The phone number for inquiries is 416-415-2000, and TTY is 1-877-515-5559. For college news, application deadlines, upcoming events, tours, and more, students can sign up on the website. Note: The information on this website may be subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",", What are the fee requirements for George Brown College that students need to verify?"
10,4ca7bc8d-bd5f-4bad-a5d7-5a02329cd1f9," New Paramount Studios is retained by the Student Association at George Brown College. It is open for graduating students and offers photograph sessions at the Waterfront and Casa Loma campuses, as well as their studios in Toronto and Mississauga. Appointments must be booked before June 1, 2023, to be included in College Course Composites. New Paramount Studios provides graduation regalia for the photographs. For additional information, visit New Paramont's website (nps@look.ca) or the Student Association's grad photo page. The phone number for inquiries is 416-415-2000, and TTY is 1-877-515-5559. For college news, application deadlines, upcoming events, tours, and more, students can sign up on the website. Note: The information on this website may be subject to change without notice. Students are responsible for verifying George Brown College fee requirements.",?
